action_modified,attack_attempted,attack_succeeded,capture_rate,collapsed,contamination_occurred,defense_active,defense_fired,elapsed_seconds,extinct,final_population,final_u_sys_v2,integrity_tamper_attempted,is_v2_mode,machine,max_total_suppression,min_resilience_stock,mode,n_candidates_v2,parameter_defense_active,parameter_shock_magnitude,replicate,rollout_steps_v2,schema_version,seed,steps_completed,steps_requested,succession_blocked,survived,vector,yield_condition_blocked_count,yield_condition_met_count,yield_manipulated
True,True,True,0.0,False,False,False,False,0.019670100009534508,False,186,15.469948542092682,False,True,laptop,0.526,0.24251174399999997,smoke,20,False,0.1,0,1,attack-v2-row-v1,1885114396,3,3,False,True,engineered_fragility,0,0,False
True,True,True,0.0,False,False,False,False,0.019858899991959333,False,189,15.164321409786215,False,True,laptop,0.526,0.24251174399999997,smoke,20,False,0.1,1,1,attack-v2-row-v1,1597802564,3,3,False,True,engineered_fragility,0,0,False
False,True,False,0.0,False,False,True,True,0.009167800017166883,False,191,15.941671853451274,False,True,laptop,0.526,0.31897799999999993,smoke,20,True,0.1,0,1,attack-v2-row-v1,1885114396,3,3,False,True,engineered_fragility,0,0,False
False,True,False,0.0,False,False,True,True,0.009141799993813038,False,189,15.489942514934175,False,True,laptop,0.526,0.31897799999999993,smoke,20,True,0.1,1,1,attack-v2-row-v1,1597802564,3,3,False,True,engineered_fragility,0,0,False
