absolute_resolution_multiplier,absolute_term_enabled,arm,attack_cost_model,attacker_capability,capability_ratio,cell_id,collapse_severity,defender_capability,defense_cost_model,defense_input_count,effective_attack_cost,effective_defense_cost,elapsed_seconds,failure_count,failure_rate,frontier_validator_count,institution_alone_corner,institution_hidden_count,institution_hidden_rate,institution_validator_count,mean_measured_rank,mean_seconds_per_run,merge_rule,n,pairwise_checks,partition_corruption_count,partition_corruption_rate,pass_name,rank_visible_failure_count,rank_visible_failure_rate,resolution_probability,structural_point_index,true_effective_rank,validator_set_size
1.0,False,measurement_corruption,superlinear,0.5623413251903492,0.5623413251903492,666588c6e04289d75fd0,1.0,1.0,pairwise_exact,32,2.8284271247461903,496.0,0.3034975016489625,200,1.0,31,False,199,0.995,1,30.495,0.0015174875082448124,threshold_connected_components,200,496,200,1.0,main_surface,0,0.0,0.01987803427214132,19,2,32
1.0,False,measurement_corruption,superlinear,2.6101572156825377,2.6101572156825377,666a812eec71c23a9b57,1.0,1.0,pairwise_exact,4,2.8284271247461903,6.0,0.03974124602973461,198,0.99,3,False,146,0.73,1,2.75,0.00019870623014867306,threshold_connected_components,200,6,198,0.99,main_surface,9,0.045,0.26535828750254564,7,2,4
1.0,False,false_cluster_injection,superlinear,4.64158883361278,4.64158883361278,668118b516b57f7b22c0,0.33,1.0,static_baseline,66,512.0,1.0,0.020944474264979362,0,0.0,63,False,0,0.0,1,64.0,0.0001047223713248968,threshold_connected_components,200,2145,0,0.0,main_surface,0,0.0,0.9998583700120409,21,64,64
1.0,False,false_cluster_injection,linear,0.2610157215682537,0.2610157215682537,668313a38fcb8f6b0945,1.0,1.0,static_baseline,10,2.0,1.0,0.009774907492101192,26,0.13,7,False,0,0.0,1,2.135,4.8874537460505964e-05,threshold_connected_components,200,45,0,0.0,main_surface,0,0.0,0.9387433094304126,11,2,8
1.0,False,measurement_corruption,superlinear,0.2154434690031884,0.2154434690031884,668833346fdc9b3ceb75,0.66,1.0,static_baseline,64,110.30412503619254,1.0,0.3710470590740442,1,0.005,63,False,0,0.0,1,23.005,0.0018552352953702211,threshold_connected_components,200,2016,1,0.005,main_surface,0,0.0,0.9999150864761331,22,23,64
1.0,False,false_cluster_injection,linear,0.1778279410038923,0.1778279410038923,6694132806e31b114188,0.0,1.0,static_baseline,18,16.0,1.0,0.012042690068483353,0,0.0,15,False,0,0.0,1,16.0,6.021345034241676e-05,threshold_connected_components,200,153,0,0.0,main_surface,0,0.0,0.9993058417957824,12,16,16
1.0,False,measurement_corruption,superlinear,0.1778279410038923,0.1778279410038923,66b87bf2df571b28c7bf,0.66,1.0,static_baseline,32,46.87216658103186,1.0,0.15719349309802055,1,0.005,31,False,0,0.0,1,13.005,0.0007859674654901028,threshold_connected_components,200,496,1,0.005,main_surface,0,0.0,0.9997082472930949,18,13,32
1.0,False,measurement_corruption,superlinear,2.1544346900318834,2.1544346900318834,66ba6d40fc00da42de65,0.33,1.0,pairwise_exact,4,8.0,6.0,0.019459680654108524,67,0.335,3,False,67,0.335,1,3.665,9.729840327054263e-05,threshold_connected_components,200,6,67,0.335,main_surface,0,0.0,0.7122727783086931,5,4,4
1.0,False,measurement_corruption,linear,3.8311868495572874,3.8311868495572874,66e0408e6b5e4c5902c2,1.0,1.0,pairwise_exact,1,1.0,0.0,0.02555513195693493,200,1.0,0,True,0,0.0,1,1.0,0.00012777565978467465,threshold_connected_components,200,0,0,0.0,main_surface,0,0.0,0.0,24,1,1
1.0,False,measurement_corruption,linear,4.64158883361278,4.64158883361278,66f0d00a68d45d72f6ef,0.66,1.0,static_baseline,64,23.0,1.0,0.5933042401447892,58,0.29,63,False,2,0.01,1,23.3,0.002966521200723946,threshold_connected_components,200,2016,58,0.29,main_surface,0,0.0,0.9913020481710244,22,23,64
1.0,False,false_cluster_injection,linear,8.254041852680187,8.254041852680187,66f9810911408b477b59,0.0,1.0,pairwise_exact,4,2.0,6.0,0.018759516067802906,197,0.985,1,False,0,0.0,1,3.81,9.379758033901453e-05,threshold_connected_components,200,6,0,0.0,main_surface,0,0.0,0.07473247951335125,0,2,2
1.0,False,false_cluster_injection,linear,2.6101572156825377,2.6101572156825377,670cf6403b97c688893c,0.33,1.0,static_baseline,18,16.0,1.0,0.0229283282533288,8,0.04,15,False,0,0.0,1,16.04,0.000114641641266644,threshold_connected_components,200,153,0,0.0,main_surface,0,0.0,0.9899069810567972,13,16,16
1.0,False,measurement_corruption,superlinear,0.3831186849557288,0.3831186849557288,671419a585d426e9dcfe,0.33,1.0,pairwise_exact,64,512.0,2016.0,0.3876863745972514,7,0.035,63,False,7,0.035,1,63.965,0.001938431872986257,threshold_connected_components,200,2016,7,0.035,main_surface,0,0.0,0.976972009200758,21,64,64
1.0,False,false_cluster_injection,superlinear,0.12115276586285884,0.12115276586285884,6719b15d95861cd1ea30,0.66,1.0,pairwise_exact,34,46.87216658103186,561.0,0.027536801993846893,34,0.17,31,False,0,0.0,1,13.18,0.00013768400996923445,threshold_connected_components,200,561,0,0.0,main_surface,0,0.0,0.8996512428298475,18,13,32
