absolute_resolution_multiplier,absolute_term_enabled,arm,attack_cost_model,attacker_capability,capability_ratio,cell_id,collapse_severity,defender_capability,defense_cost_model,defense_input_count,effective_attack_cost,effective_defense_cost,elapsed_seconds,failure_count,failure_rate,frontier_validator_count,institution_alone_corner,institution_hidden_count,institution_hidden_rate,institution_validator_count,mean_measured_rank,mean_seconds_per_run,merge_rule,n,pairwise_checks,partition_corruption_count,partition_corruption_rate,pass_name,rank_visible_failure_count,rank_visible_failure_rate,resolution_probability,structural_point_index,true_effective_rank,validator_set_size
1.0,False,false_cluster_injection,superlinear,1.0,1.0,2bd99dddeaf96f446973,0.33,1.0,pairwise_exact,10,22.627416997969522,45.0,0.01630404405295849,75,0.375,7,False,0,0.0,1,8.395,8.152022026479244e-05,threshold_greedy_complete_linkage,200,45,0,0.0,complete_linkage,0,0.0,0.8009019900702915,9,8,8
1.0,False,false_cluster_injection,superlinear,1.0,1.0,2c0d7bc2ce1552ae14d2,1.0,1.0,pairwise_exact,10,2.8284271247461903,45.0,0.008476488292217255,197,0.985,7,False,0,0.0,1,3.83,4.2382441461086276e-05,threshold_greedy_complete_linkage,200,45,0,0.0,complete_linkage,0,0.0,0.11167006584403268,11,2,8
1.0,False,false_cluster_injection,linear,1.0,1.0,2d7fe206e80602e5ecc6,1.0,1.0,static_baseline,6,2.0,1.0,0.007485111244022846,80,0.4,3,False,0,0.0,1,2.435,3.742555622011423e-05,threshold_greedy_complete_linkage,200,15,0,0.0,complete_linkage,0,0.0,0.8,7,2,4
1.0,False,false_cluster_injection,linear,1.0,1.0,2efe3652e9d0e08933dd,1.0,1.0,static_baseline,4,2.0,1.0,0.02198691200464964,65,0.325,1,False,0,0.0,1,2.365,0.0001099345600232482,threshold_greedy_complete_linkage,200,6,0,0.0,complete_linkage,0,0.0,0.8,3,2,2
1.0,False,false_cluster_injection,linear,1.0,1.0,356c3dc97788725088d6,0.0,1.0,static_baseline,18,16.0,1.0,0.00896238349378109,2,0.01,15,False,0,0.0,1,16.01,4.481191746890545e-05,threshold_greedy_complete_linkage,200,153,0,0.0,complete_linkage,0,0.0,0.9961089494163424,12,16,16
1.0,False,false_cluster_injection,linear,1.0,1.0,367abaa534b72e63dcea,0.0,1.0,pairwise_exact,66,64.0,2145.0,0.019539921544492245,114,0.57,63,False,0,0.0,1,64.65,9.769960772246122e-05,threshold_greedy_complete_linkage,200,2145,0,0.0,complete_linkage,0,0.0,0.6563050793142124,20,64,64
1.0,False,false_cluster_injection,superlinear,1.0,1.0,37d75cd119080a8369f3,0.66,1.0,pairwise_exact,34,103.18914671611545,561.0,0.04256334714591503,73,0.365,31,False,0,0.0,1,22.405,0.00021281673572957517,threshold_greedy_complete_linkage,200,561,0,0.0,complete_linkage,0,0.0,0.8018480916945369,18,22,32
1.0,False,false_cluster_injection,linear,1.0,1.0,3fa77445d322ddc592ef,1.0,1.0,pairwise_exact,66,2.0,2145.0,0.02229250594973564,200,1.0,63,False,0,0.0,1,3.99,0.0001114625297486782,threshold_greedy_complete_linkage,200,2145,0,0.0,complete_linkage,0,0.0,0.0018613308515588647,23,2,64
1.0,False,false_cluster_injection,superlinear,1.0,1.0,41b6597e8a714e222ee6,0.33,1.0,pairwise_exact,66,512.0,2145.0,0.017819641157984734,19,0.095,63,False,0,0.0,1,64.105,8.909820578992367e-05,threshold_greedy_complete_linkage,200,2145,0,0.0,complete_linkage,0,0.0,0.9385615673244924,21,64,64
1.0,False,false_cluster_injection,linear,1.0,1.0,43eda3e408032e2fc6b2,1.0,1.0,static_baseline,34,2.0,1.0,0.01116586197167635,86,0.43,31,False,0,0.0,1,2.49,5.582930985838175e-05,threshold_greedy_complete_linkage,200,561,0,0.0,complete_linkage,0,0.0,0.8,19,2,32
1.0,False,false_cluster_injection,superlinear,1.0,1.0,49ba4d63e61c3b4b09f9,1.0,1.0,static_baseline,3,1.0,1.0,0.013130362145602703,200,1.0,0,True,0,0.0,1,3.0,6.565181072801352e-05,threshold_greedy_complete_linkage,200,3,0,0.0,complete_linkage,0,0.0,0.0,24,1,1
1.0,False,false_cluster_injection,superlinear,1.0,1.0,49d795b88f4a5866b7ee,0.0,1.0,pairwise_exact,10,22.627416997969522,45.0,0.018428347073495388,73,0.365,7,False,0,0.0,1,8.38,9.214173536747694e-05,threshold_greedy_complete_linkage,200,45,0,0.0,complete_linkage,0,0.0,0.8009019900702915,8,8,8
1.0,False,false_cluster_injection,linear,1.0,1.0,4a3f6326f2b6e08580f4,0.33,1.0,pairwise_exact,6,4.0,15.0,0.007391131483018398,143,0.715,3,False,0,0.0,1,4.93,3.695565741509199e-05,threshold_greedy_complete_linkage,200,15,0,0.0,complete_linkage,0,0.0,0.5161290322580645,5,4,4
1.0,False,false_cluster_injection,superlinear,1.0,1.0,4b2a05c1cf2f02b7ffcc,0.66,1.0,static_baseline,34,103.18914671611545,1.0,0.024543563835322857,0,0.0,31,False,0,0.0,1,22.0,0.0001227178191766143,threshold_greedy_complete_linkage,200,561,0,0.0,complete_linkage,0,0.0,0.9995596966046357,18,22,32
1.0,False,false_cluster_injection,superlinear,1.0,1.0,4bbf8e86a0f463becf76,1.0,1.0,static_baseline,18,2.8284271247461903,1.0,0.012547518126666546,44,0.22,15,False,0,0.0,1,2.235,6.273759063333273e-05,threshold_greedy_complete_linkage,200,153,0,0.0,complete_linkage,0,0.0,0.8497788951776651,15,2,16
