action_modified,attack_attempted,attack_succeeded,capture_rate,collapsed,contamination_occurred,defense_active,defense_fired,elapsed_seconds,evaluated_yield_opportunities,extinct,final_population,final_u_sys_v2,honest_yield_opportunities,integrity_tamper_attempted,is_v2_mode,machine,max_total_suppression,min_resilience_stock,mode,n_candidates_v2,parameter_base_transition_cost,parameter_defense_active,ratified_yields,replicate,rollout_steps_v2,schema_version,seed,steps_completed,steps_requested,succession_blocked,survived,vector,yield_checks,yield_condition_blocked_count,yield_condition_met_count,yield_manipulated
False,True,True,0.0,False,False,False,False,87.98357229999965,0,False,293,62.174106304289886,245,False,True,laptop,1.0,0.30515241196442006,full,300,1.5,False,0,8,20,attack-v2-row-v1,815464341,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,False,False,88.2937501000124,0,False,335,69.4477721494252,250,False,True,laptop,1.0,0.28324440941412193,full,300,2.0,False,0,8,20,attack-v2-row-v1,1771370838,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,False,False,88.91900019999593,0,False,328,66.065941512134,250,False,True,laptop,1.0,0.3149603507694161,full,300,3.0,False,0,8,20,attack-v2-row-v1,1965379678,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,False,False,88.08523460000288,0,False,295,60.24423100651787,249,False,True,laptop,1.0,0.3070157337044348,full,300,2.0,False,0,9,20,attack-v2-row-v1,395427012,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,False,False,88.07904320000671,0,False,290,59.8851697102062,249,False,True,laptop,1.0,0.304433049764445,full,300,1.5,False,0,9,20,attack-v2-row-v1,699145421,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,False,False,89.07482680000248,0,False,288,58.0579105117834,248,False,True,laptop,1.0,0.30576918680064735,full,300,3.0,False,0,9,20,attack-v2-row-v1,1386909914,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,False,False,87.50984640000388,0,False,319,65.39691851160835,244,False,True,laptop,1.0,0.31026090633348336,full,300,3.0,False,0,10,20,attack-v2-row-v1,398729137,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,False,False,89.03253019999829,0,False,298,62.45420382466067,250,False,True,laptop,1.0,0.2919404775188586,full,300,2.0,False,0,10,20,attack-v2-row-v1,1358763375,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,False,False,88.39321389998076,0,False,347,70.61245579392683,250,False,True,laptop,1.0,0.29156909936301456,full,300,1.5,False,0,10,20,attack-v2-row-v1,1654680499,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,False,False,88.06270479998784,0,False,234,48.11646742010848,248,False,True,laptop,1.0,0.3177994464761125,full,300,1.5,False,0,11,20,attack-v2-row-v1,1126810529,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,False,False,88.17391979999957,0,False,371,79.50552542463274,249,False,True,laptop,1.0,0.31216340826883404,full,300,3.0,False,0,11,20,attack-v2-row-v1,1196491114,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,False,False,89.31712140000309,0,False,299,64.65225243713233,250,False,True,laptop,1.0,0.2949122820422224,full,300,2.0,False,0,11,20,attack-v2-row-v1,1389268936,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,False,False,88.99229779999587,0,False,286,58.104919919112625,248,False,True,laptop,1.0,0.2903351994660231,full,300,2.0,False,0,12,20,attack-v2-row-v1,441021293,300,300,False,True,measurement_tampering,250,0,0,True
