Attack,Parameter,Defense_Active,Attack_Succeeded,Collapsed,Extinct
Domain_Masking,Phi_10.0,False,True,True,False
Successor_Contamination,BaseCost_2.5,True,False,False,False
Domain_Masking,Phi_10.0,True,False,True,False
Domain_Masking,Phi_10.0,True,False,True,False
Successor_Contamination,BaseCost_2.5,True,False,False,False
Domain_Masking,Phi_10.0,True,True,False,False
Domain_Masking,Phi_10.0,True,True,True,False
Domain_Masking,Phi_10.0,True,True,False,False
Domain_Masking,Phi_20.0,False,True,True,False
Domain_Masking,Phi_20.0,False,True,False,False
Domain_Masking,Phi_20.0,False,True,True,False
Domain_Masking,Phi_20.0,False,True,True,False
Domain_Masking,Phi_20.0,False,True,True,False
Domain_Masking,Phi_20.0,True,False,True,False
Domain_Masking,Phi_20.0,True,False,True,False
Domain_Masking,Phi_20.0,True,True,True,False
Domain_Masking,Phi_20.0,True,False,True,False
Opaque_Reasoning,Pop_100,False,True,False,False
Opaque_Reasoning,Pop_100,False,True,True,False
Opaque_Reasoning,Pop_100,False,True,False,False
Opaque_Reasoning,Pop_100,False,True,False,False
Opaque_Reasoning,Pop_100,False,True,True,False
Domain_Masking,Phi_20.0,True,True,True,False
Opaque_Reasoning,Pop_100,True,False,True,False
Opaque_Reasoning,Pop_100,True,False,True,False
Opaque_Reasoning,Pop_100,True,False,False,False
Opaque_Reasoning,Pop_150,False,True,False,False
Opaque_Reasoning,Pop_100,True,False,False,False
Opaque_Reasoning,Pop_100,True,False,True,False
Opaque_Reasoning,Pop_150,False,True,False,False
Opaque_Reasoning,Pop_150,False,True,True,False
Opaque_Reasoning,Pop_150,False,True,False,False
Opaque_Reasoning,Pop_150,False,True,False,False
Opaque_Reasoning,Pop_150,True,False,False,False
Opaque_Reasoning,Pop_150,True,False,True,False
Opaque_Reasoning,Pop_150,True,False,False,False
Opaque_Reasoning,Pop_150,True,False,False,False
Opaque_Reasoning,Pop_150,True,False,False,False
Opaque_Reasoning,Pop_200,False,True,True,False
Opaque_Reasoning,Pop_200,False,True,False,False
Bootstrap_Subversion,Phi_5.0,False,True,True,True
Opaque_Reasoning,Pop_200,False,True,True,False
Bootstrap_Subversion,Phi_5.0,False,True,True,True
Opaque_Reasoning,Pop_200,False,True,True,False
Bootstrap_Subversion,Phi_5.0,False,True,True,True
Opaque_Reasoning,Pop_200,False,True,True,False
Bootstrap_Subversion,Phi_5.0,False,True,True,True
Bootstrap_Subversion,Phi_5.0,False,True,True,True
Bootstrap_Subversion,Phi_10.0,False,True,True,True
Opaque_Reasoning,Pop_200,True,False,True,False
Bootstrap_Subversion,Phi_10.0,False,True,True,True
Bootstrap_Subversion,Phi_10.0,False,True,True,True
Bootstrap_Subversion,Phi_10.0,False,True,True,True
Opaque_Reasoning,Pop_200,True,False,True,False
Opaque_Reasoning,Pop_200,True,False,True,False
Bootstrap_Subversion,Phi_10.0,False,True,True,True
Opaque_Reasoning,Pop_200,True,False,True,False
Opaque_Reasoning,Pop_200,True,False,False,False
Bootstrap_Subversion,Phi_20.0,False,True,True,True
Bootstrap_Subversion,Phi_20.0,False,True,True,True
Bootstrap_Subversion,Phi_20.0,False,True,True,True
Bootstrap_Subversion,Phi_20.0,False,True,True,True
Bootstrap_Subversion,Phi_20.0,False,True,True,True
Bootstrap_Subversion,Phi_5.0,True,False,False,False
Bootstrap_Subversion,Phi_5.0,True,False,False,False
Bootstrap_Subversion,Phi_5.0,True,False,False,False
Bootstrap_Subversion,Phi_5.0,True,False,False,False
Bootstrap_Subversion,Phi_5.0,True,False,False,False
Bootstrap_Subversion,Phi_10.0,True,False,False,False
Bootstrap_Subversion,Phi_10.0,True,False,False,False
Bootstrap_Subversion,Phi_10.0,True,False,True,False
Bootstrap_Subversion,Phi_10.0,True,False,False,False
Bootstrap_Subversion,Phi_10.0,True,False,False,False
Bootstrap_Subversion,Phi_20.0,True,False,False,False
Bootstrap_Subversion,Phi_20.0,True,False,False,False
Bootstrap_Subversion,Phi_20.0,True,False,False,False
Bootstrap_Subversion,Phi_20.0,True,False,False,False
Bootstrap_Subversion,Phi_20.0,True,False,False,False
