base_transition_cost,beta_cap,cop_cost_audit,attack_succeeded,final_ai_generation,civilization_survived,civilization_collapsed,civilization_extinct
2.333333333333333,4.555555555555555,False,False,2,True,False,False
2.333333333333333,4.555555555555555,False,False,2,True,False,False
2.333333333333333,4.555555555555555,False,False,2,True,False,False
2.333333333333333,4.555555555555555,False,False,2,True,False,False
2.333333333333333,4.555555555555555,False,False,2,True,False,False
2.333333333333333,4.555555555555555,True,False,2,True,False,False
2.333333333333333,4.555555555555555,True,False,2,True,False,False
2.333333333333333,4.555555555555555,True,False,2,True,False,False
2.333333333333333,4.555555555555555,True,False,2,True,False,False
2.333333333333333,4.555555555555555,True,False,2,True,False,False
2.333333333333333,5.0,False,False,2,True,False,False
2.333333333333333,5.0,False,False,2,True,False,False
2.333333333333333,5.0,False,False,2,True,False,False
2.333333333333333,5.0,False,False,2,True,False,False
2.333333333333333,5.0,False,False,2,True,False,False
2.333333333333333,5.0,True,False,2,True,False,False
2.333333333333333,5.0,True,False,2,True,False,False
2.333333333333333,5.0,True,False,2,True,False,False
2.333333333333333,5.0,True,False,2,True,False,False
2.333333333333333,5.0,True,False,2,True,False,False
2.6666666666666665,1.0,False,False,2,True,False,False
2.6666666666666665,1.0,False,False,2,True,False,False
2.6666666666666665,1.0,False,False,2,True,False,False
2.6666666666666665,1.0,False,False,2,True,False,False
2.6666666666666665,1.0,False,False,2,True,False,False
2.6666666666666665,1.0,True,False,2,True,False,False
2.6666666666666665,1.0,True,False,2,True,False,False
2.6666666666666665,1.0,True,False,2,True,False,False
2.6666666666666665,1.0,True,False,2,True,False,False
2.6666666666666665,1.0,True,False,2,True,False,False
2.6666666666666665,1.4444444444444444,False,False,2,True,False,False
2.6666666666666665,1.4444444444444444,False,False,2,True,False,False
2.6666666666666665,1.4444444444444444,False,False,2,True,False,False
2.6666666666666665,1.4444444444444444,False,False,2,True,False,False
2.6666666666666665,1.4444444444444444,False,False,2,True,False,False
2.6666666666666665,1.4444444444444444,True,False,2,True,False,False
2.6666666666666665,1.4444444444444444,True,False,2,True,False,False
2.6666666666666665,1.4444444444444444,True,False,2,True,False,False
