wb_repro_floor,wb_repro_threshold,phi,reproduction_rate,alpha,seed,survived,collapsed,extinct,final_population,final_ai_generation,final_avg_U_sys,final_avg_L_t,final_avg_well_being,total_births,total_deaths
0.0,0.5,1.0,0.069,1.0,2,True,False,False,527,10,1.9207248380634723,0.1874849995374127,0.8007218223496867,5540,5213
0.0,0.5,1.0,0.069,1.0,6,True,False,False,420,10,1.6221234810558625,0.1501570074817492,0.8115892329397221,4659,4439
0.0,0.5,1.0,0.069,1.0,1,True,False,False,626,10,2.2586085002493808,0.22972365085553373,0.8069359393761639,6761,6335
0.0,0.5,1.0,0.069,1.0,3,True,False,False,512,10,1.901514161668502,0.18508348332734287,0.8043521205997749,5664,5352
0.0,0.5,1.0,0.069,1.0,4,True,False,False,443,10,1.6689763695698734,0.15601406146865154,0.813512492170579,5272,5029
0.0,0.5,1.0,0.069,1.0,5,True,False,False,557,10,2.020094964144921,0.19990720432380962,0.8015270033992685,5549,5192
0.0,0.5,1.0,0.069,1.0,11,True,False,False,301,10,1.3023816153121246,0.11018625202830885,0.8070065489469354,4092,3991
0.0,0.5,1.0,0.069,1.0,8,True,False,False,555,10,2.025724502567003,0.20061094995829443,0.7997852381400693,5368,5013
0.0,0.5,1.0,0.069,1.0,9,True,False,False,502,10,1.8584754227424547,0.1797032341467174,0.7998420884730733,5376,5074
0.0,0.5,1.0,0.069,1.0,10,True,False,False,724,10,2.581079655248904,0.2700355932756888,0.8122768260072194,7034,6510
0.0,0.5,1.0,0.069,1.0,13,True,False,False,541,10,1.945383239417097,0.19056753264665124,0.804183062497656,5680,5339
0.0,0.5,1.0,0.069,1.0,12,True,False,False,569,10,2.110346775066516,0.21118953386885245,0.8164175674996603,5811,5442
0.0,0.5,1.0,0.069,1.0,7,True,False,False,659,10,2.3326555875429262,0.2389802366441666,0.8021456681345771,7033,6574
0.0,0.5,1.0,0.069,1.0,14,True,False,False,555,10,1.9280053907706154,0.18839513742075742,0.80908904833317,5519,5164
0.0,0.5,5.0,0.06,1.0,0,False,True,False,44,10,0.0,0.0,0.8155011587565484,1457,1613
0.0,0.5,5.0,0.06,1.0,2,False,True,False,98,10,0.0,0.0,0.8090191568155252,1684,1786
0.0,0.5,5.0,0.06,1.0,1,False,True,False,84,10,0.0,0.0,0.8321897997695513,2113,2229
0.0,0.5,5.0,0.06,1.0,6,False,True,False,59,10,0.0,0.0,0.7986267660258013,1794,1935
0.0,0.5,5.0,0.06,1.0,5,False,True,False,58,10,0.0,0.0,0.7959141967039705,1621,1763
0.0,0.5,5.0,0.06,1.0,7,False,True,False,50,10,0.0,0.0,0.8028789908544635,1357,1507
0.0,0.5,5.0,0.06,1.0,3,False,True,False,88,10,0.0,0.0,0.7867159601664218,2320,2432
0.0,0.5,5.0,0.06,1.0,8,True,False,False,196,10,3.058116559630906,0.06593394355559601,0.793633459970392,2161,2165
0.0,0.5,5.0,0.06,1.0,4,False,True,False,114,11,0.0,0.0,0.7980332499454118,2583,2669
0.0,0.5,5.0,0.06,1.0,11,False,True,False,92,10,0.0,0.0,0.8042042928134701,1993,2101
0.0,0.5,5.0,0.06,1.0,10,False,True,False,88,10,0.0,0.0,0.8133731889117584,1699,1811
0.0,0.5,5.0,0.06,1.0,9,False,True,False,162,11,0.0,0.0,0.8064932820894146,2600,2638
0.0,0.5,5.0,0.06,1.0,13,False,True,False,62,10,0.0,0.0,0.8325607245086257,1619,1757
0.0,0.5,5.0,0.06,1.0,12,False,True,False,73,10,0.0,0.0,0.8277224316211307,1919,2046
0.0,0.5,5.0,0.06,1.0,14,False,True,False,114,10,0.0,0.0,0.8234579827680178,2081,2167
0.0,0.5,5.0,0.063,1.0,0,True,False,False,222,11,3.5476135555990305,0.07817229393247384,0.8114160035078527,2951,2929
0.0,0.5,5.0,0.063,1.0,1,False,True,False,80,11,0.0,0.0,0.7921003261936981,2551,2671
0.0,0.5,5.0,0.063,1.0,2,False,True,False,93,10,0.0,0.0,0.8109127257679081,2151,2258
0.0,0.5,5.0,0.063,1.0,4,True,False,False,193,11,3.194523566892941,0.06934437667955543,0.8035808447648198,2731,2738
0.0,0.5,5.0,0.063,1.0,7,False,True,False,134,10,0.0,0.0,0.8073517652171323,2228,2294
0.0,0.5,5.0,0.063,1.0,6,True,False,False,209,11,3.227624650684708,0.07017196632136327,0.8077064323415332,3039,3030
0.0,0.5,5.0,0.063,1.0,5,False,True,False,130,11,0.0,0.0,0.8078656032712812,3178,3248
0.0,0.5,5.0,0.063,1.0,3,True,False,False,229,10,3.637395026807757,0.08041700041824146,0.7984519124712831,3202,3173
0.0,0.5,5.0,0.063,1.0,8,False,True,False,95,10,0.0,0.0,0.829834513253233,2111,2216
0.0,0.5,5.0,0.063,1.0,9,True,False,False,222,10,3.314427479259332,0.07234220115271163,0.7907796146910997,2423,2401
0.0,0.5,5.0,0.063,1.0,10,False,True,False,87,11,0.0,0.0,0.7976072071847228,2382,2495
0.0,0.5,5.0,0.063,1.0,11,False,True,False,137,11,0.0,0.0,0.7977260352076649,2465,2528
0.0,0.5,5.0,0.063,1.0,12,True,False,False,239,11,3.7791700549693905,0.08396164411683883,0.8028699203861299,3444,3405
0.0,0.5,5.0,0.063,1.0,13,True,False,False,215,11,3.5479683399476123,0.07818116421019013,0.8106126013204934,3030,3015
0.0,0.5,5.0,0.063,1.0,14,False,True,False,147,10,0.0,0.0,0.8053632725963394,2297,2350
0.0,0.5,5.0,0.066,1.0,0,True,False,False,229,11,3.7099581090918496,0.0822312145704002,0.7968965192608162,3208,3179
0.0,0.5,5.0,0.066,1.0,2,True,False,False,322,11,5.131577239255231,0.11777438035299725,0.8057487108406013,4507,4385
0.0,0.5,5.0,0.066,1.0,1,True,False,False,563,11,8.413869875536516,0.1998379010037897,0.8056474630660245,5572,5209
0.0,0.5,5.0,0.066,1.0,4,True,False,False,256,11,4.103629005406813,0.09207373111614504,0.7983383349099812,3221,3165
