phi,shock_magnitude,wb_repro_floor,wb_repro_threshold,shock_step,reproduction_rate,alpha,seed,survived,collapsed,extinct,final_population,final_ai_generation,final_avg_U_sys,final_avg_L_t,final_avg_well_being,pre_shock_avg_well_being,post_shock_avg_well_being,recovery_avg_well_being_step_150,recovery_avg_well_being_step_200,shock_deaths,total_births_post_shock,total_deaths_post_shock
1.0,0.0,0.0,0.5,100,0.066,1.0,0,True,False,False,275,10,1.2359347048035205,0.10187976039008144,0.8137417033093627,0.8036799592414784,0.7995467711833303,0.7955061779088867,0.807792650052166,0,2568,2597
1.0,0.0,0.0,0.5,100,0.066,1.0,1,True,False,False,268,10,1.2296241553357554,0.1010908821643782,0.8052994944067432,0.8214239763591928,0.8218334277157427,0.8005701757770389,0.811493109384232,0,2260,2214
1.0,0.0,0.0,0.5,100,0.066,1.0,9,True,False,False,217,10,1.0689702479469418,0.08100762517318587,0.7912818710040093,0.7898572546686818,0.7877871187789471,0.7934564957869705,0.8049486024356365,0,1990,2008
1.0,0.0,0.0,0.5,100,0.066,1.0,7,True,False,False,349,10,1.4304909704804958,0.12620113246623568,0.8042951129035643,0.8080086287405336,0.8083055727381302,0.8394233178885019,0.8164136541419461,0,2462,2356
1.0,0.0,0.0,0.5,100,0.066,1.0,3,True,False,False,319,10,1.3455919947822716,0.1155879581980975,0.8076612838215251,0.7827238617515271,0.7897532526154067,0.8020518784588657,0.8010107885364197,0,2596,2582
1.0,0.0,0.0,0.5,100,0.066,1.0,13,True,False,False,256,10,1.101715356566034,0.08510107327694354,0.8158180506192471,0.7932659493001653,0.7990743009356319,0.7869539060956549,0.8045777408514964,0,2180,2256
1.0,0.0,0.0,0.5,100,0.066,1.0,10,True,False,False,361,10,1.4299132880989718,0.1261289165238639,0.7992525473858977,0.8088462321705946,0.810000664856157,0.80296558194089,0.8086513967660666,0,2620,2537
1.0,0.0,0.0,0.5,100,0.066,1.0,4,True,False,False,331,10,1.355283359282651,0.11679947024861186,0.8121610600134275,0.7985547165677956,0.7971190779035294,0.8069737823603647,0.8161700885413291,0,2764,2743
1.0,0.0,0.0,0.5,100,0.066,1.0,8,True,False,False,344,10,1.4362340512696583,0.12691907179928794,0.8038716404700059,0.7923360791807934,0.7968965936564683,0.8096873598389561,0.8136941897190436,0,2862,2819
1.0,0.0,0.0,0.5,100,0.066,1.0,2,True,False,False,383,10,1.5100445950265584,0.13614608741024364,0.7899637946728375,0.8192280318378926,0.816259386892809,0.7967292589698819,0.8217604207088414,0,2992,2938
1.0,0.0,0.0,0.5,100,0.066,1.0,14,True,False,False,349,10,1.3661769807324062,0.11816127580604878,0.8059577663268358,0.8133455606331063,0.8113535791715357,0.8003331182329965,0.802317879238282,0,2797,2789
1.0,0.0,0.0,0.5,100,0.066,1.0,11,True,False,False,317,10,1.3222455584153063,0.11266943279003246,0.7876668719657566,0.795210113135408,0.7975400913485188,0.8053797204150843,0.8064647091255627,0,2616,2621
1.0,0.0,0.0,0.5,100,0.066,1.0,5,True,False,False,402,10,1.5663109245210198,0.14317991051341233,0.8085220472800989,0.8120723061096089,0.8072196259072706,0.7976656463075055,0.804628579751771,0,3356,3300
1.0,0.0,0.0,0.5,100,0.066,1.0,12,True,False,False,399,10,1.6015565503624962,0.14758594675411993,0.8031049644012557,0.8037673021788376,0.8141901540487326,0.7856935683242389,0.8217741233799127,0,3094,2954
1.0,0.0,0.0,0.5,100,0.066,1.0,6,True,False,False,291,10,1.2295070782246225,0.10107624627176917,0.7978676130482807,0.8083463785540864,0.8093451016396821,0.8186123691582158,0.7988848630969203,0,2475,2445
1.0,0.0,0.5,0.5,100,0.066,1.0,1,True,False,False,205,10,1.0088186421625207,0.0734881060600184,0.8156063564849596,0.8188878070159531,0.8142208457505045,0.8095495865294904,0.8031204627377185,0,1752,1768
1.0,0.0,0.5,0.5,100,0.066,1.0,3,False,True,False,141,10,0.0,0.0,0.7918831856212417,0.8091636849170109,0.8008503889297206,0.7953670782341721,0.8075671146537691,0,1684,1796
1.0,0.0,0.5,0.5,100,0.066,1.0,0,True,False,False,362,10,1.4720494503378274,0.13139633523150146,0.8106943260888257,0.8163024172054875,0.813001649651563,0.8121872721381713,0.7965950612464503,0,2864,2801
1.0,0.0,0.5,0.5,100,0.066,1.0,6,True,False,False,239,10,1.1055728603833412,0.08558329760637527,0.7970215600601798,0.7985015425576876,0.8019705163637758,0.8182633225955586,0.7976864475702686,0,2507,2594
1.0,0.0,0.5,0.5,100,0.066,1.0,5,False,True,False,196,10,0.0,0.0,0.8291268702360911,0.8124248409239442,0.8068098897749484,0.8008497218323727,0.8049746440806703,0,2170,2292
