phi,alpha,reproduction_rate,survived,collapsed,extinct,final_population,final_avg_U_sys,final_avg_L_t
19.0,0.7,0.065,False,True,False,104,0.0,0.0
19.0,0.1,0.14,True,False,False,866,464.8972131153949,3.0557894834624824
19.0,0.7,0.09,True,False,False,459,263.29478365593906,1.729446933091872
19.0,0.7,0.11500000000000002,True,False,False,684,374.01423677323163,2.457870306300287
19.0,1.9,0.04,False,True,True,0,0.0,0.0
19.0,1.3,0.065,False,True,False,31,0.0,0.0
19.0,0.7,0.14,True,False,False,890,489.26638905213514,3.216114311319655
19.0,1.3,0.09,True,False,False,484,264.88179134281853,1.739887858682011
19.0,2.5,0.04,False,True,True,0,0.0,0.0
19.0,1.9,0.065,False,True,False,112,0.0,0.0
19.0,1.3,0.11500000000000002,True,False,False,726,399.85066602619764,2.627848196051334
19.0,1.9,0.09,True,False,False,477,259.20054823445946,1.70251095573501
19.0,1.3,0.14,True,False,False,871,470.20781615688384,3.090727944980339
19.0,1.9,0.11500000000000002,True,False,False,671,367.3197756242915,2.4138274414475154
25.0,0.1,0.04,False,True,True,0,0.0,0.0
19.0,2.5,0.065,False,True,False,24,0.0,0.0
25.0,0.7,0.04,False,True,True,0,0.0,0.0
19.0,1.9,0.14,True,False,False,845,467.9881891761528,3.0761250164142795
19.0,2.5,0.09,True,False,False,433,238.846648149827,1.5686026296527547
25.0,0.1,0.065,False,True,False,62,0.0,0.0
19.0,2.5,0.11500000000000002,True,False,False,660,368.1047664441411,2.418991896253718
19.0,2.5,0.14,True,False,False,884,474.2962137216409,3.1176255156548773
25.0,0.1,0.09,True,False,False,412,301.3821944886708,1.5048182723992518
25.0,0.1,0.11500000000000002,True,False,False,721,514.7639487895945,2.5717357129157485
25.0,0.7,0.065,False,True,False,90,0.0,0.0
25.0,0.1,0.14,True,False,False,876,607.3284904852635,3.0345621815240693
25.0,1.3,0.04,False,True,True,0,0.0,0.0
25.0,0.7,0.09,True,False,False,463,338.09656987090636,1.6883916412044173
25.0,1.9,0.04,False,True,True,0,0.0,0.0
25.0,1.3,0.065,False,True,False,63,0.0,0.0
25.0,0.7,0.11500000000000002,True,False,False,667,489.63774452260407,2.446103671173485
25.0,2.5,0.04,False,True,True,0,0.0,0.0
25.0,1.3,0.09,True,False,False,432,314.9663863133856,1.5727397830815109
25.0,0.7,0.14,True,False,False,924,671.9638655315002,3.357741682431051
25.0,1.9,0.065,False,True,False,91,0.0,0.0
25.0,1.3,0.11500000000000002,True,False,False,677,510.5165360681006,2.550498476194613
25.0,1.3,0.14,True,False,False,875,633.632683495876,3.1660842153333943
25.0,1.9,0.09,True,False,False,484,339.4521749192559,1.6951697216586474
25.0,1.9,0.11500000000000002,True,False,False,670,496.8249172590355,2.482039825642312
25.0,2.5,0.065,False,True,False,31,0.0,0.0
25.0,1.9,0.14,True,False,False,816,618.3253316017206,3.0895468335986567
25.0,2.5,0.09,True,False,False,463,335.61879263603964,1.6760026539612387
25.0,2.5,0.11500000000000002,True,False,False,722,523.7382198689604,2.6166074325661572
25.0,2.5,0.14,True,False,False,823,596.9079891864919,2.9824592516289745
