dependency_rate,capture_strength,rotation_interval,defense_active,defense_mode,seed,survived,collapsed,extinct,final_population,final_ai_generation,avg_validator_dependency,max_validator_dependency,yield_condition_met_count,yield_condition_blocked_count,capture_rate,final_avg_U_sys,final_avg_L_t
0.01,0.3,,False,undefended,1168200407,True,False,False,485,156,1.0,1.0,253,98,0.38735177865612647,2.3854672306099582e+29,4.770939259978528e+27
0.01,0.3,,False,undefended,1201883178,True,False,False,553,182,1.0,1.0,265,84,0.3169811320754717,1.1184446424866883e+34,2.236891534498443e+32
0.01,0.3,,False,undefended,812949616,True,False,False,455,174,1.0,1.0,285,112,0.3929824561403509,3.806685602807031e+32,7.613378869511131e+30
0.01,0.3,,False,undefended,1915088702,True,False,False,481,164,1.0,1.0,265,102,0.3849056603773585,4.4688570194850776e+30,8.93772304042547e+28
0.01,0.3,,False,undefended,749769120,True,False,False,478,169,1.0,1.0,262,94,0.35877862595419846,4.692505009088704e+31,9.385019458186117e+29
0.01,0.3,,False,undefended,2060434889,True,False,False,490,185,1.0,1.0,282,98,0.3475177304964539,2.4662766430301463e+34,4.9325582440049384e+32
0.01,0.3,,False,undefended,945307940,True,False,False,474,193,1.0,1.0,281,89,0.3167259786476868,6.5313827993507225e+35,1.306277873958443e+34
0.01,0.3,,False,undefended,793092228,True,False,False,450,181,1.0,1.0,284,104,0.36619718309859156,5.509670344707439e+33,1.1019351782233924e+32
0.01,0.3,,False,undefended,1432002639,True,False,False,502,173,1.0,1.0,271,99,0.36531365313653136,2.2951418623455468e+32,4.5902883406163186e+30
0.01,0.3,,False,undefended,979227596,True,False,False,460,178,1.0,1.0,283,106,0.3745583038869258,1.3714816848205e+33,2.7429661338745446e+31
0.01,0.3,,False,undefended,1640871748,True,False,False,459,171,1.0,1.0,261,91,0.3486590038314176,7.227618148422106e+31,1.4455250846402762e+30
0.01,0.3,,False,undefended,1969661015,True,False,False,516,178,1.0,1.0,286,109,0.3811188811188811,2.969834672975278e+33,5.939675323849478e+31
0.01,0.3,,False,undefended,669471770,True,False,False,519,174,1.0,1.0,276,103,0.37318840579710144,4.419739334461865e+32,8.839487562015543e+30
0.01,0.3,,False,undefended,1966125399,True,False,False,529,204,1.0,1.0,284,81,0.2852112676056338,6.582276776233577e+37,1.3164566791086053e+36
0.01,0.3,,False,undefended,1497176060,True,False,False,566,171,1.0,1.0,259,89,0.3436293436293436,1.3461761525428145e+32,2.692355011976562e+30
0.01,0.3,,False,undefended,1004197293,True,False,False,490,186,1.0,1.0,284,99,0.3485915492957746,4.7831468093592585e+34,9.56630324229729e+32
0.01,0.3,,False,undefended,1629742287,True,False,False,481,193,1.0,1.0,284,92,0.323943661971831,5.549098896447809e+35,1.1098208963258919e+34
0.01,0.3,,False,undefended,1615592521,True,False,False,479,182,1.0,1.0,281,100,0.35587188612099646,6.94073555091182e+33,1.3881485070747254e+32
0.01,0.3,,False,undefended,1612555998,True,False,False,566,186,1.0,1.0,281,96,0.3416370106761566,3.997186293955354e+34,7.994380625914679e+32
0.01,0.3,,False,undefended,872168632,True,False,False,509,162,1.0,1.0,261,100,0.3831417624521073,3.3536456916327237e+30,6.707298130673735e+28
0.01,0.5,,False,undefended,1248266042,True,False,False,542,84,1.0,1.0,242,159,0.6570247933884298,9.524319972898835e+16,1904865910791125.5
0.01,0.5,,False,undefended,1216854697,True,False,False,522,115,1.0,1.0,282,168,0.5957446808510638,2.8005234864515556e+22,5.601052603923094e+20
0.01,0.5,,False,undefended,1352936958,True,False,False,483,108,1.0,1.0,269,162,0.6022304832713755,7.742624670559569e+20,1.5485264918093353e+19
0.01,0.3,,False,undefended,1049774292,True,False,False,506,205,1.0,1.0,275,71,0.2581818181818182,1.3109588538670185e+38,2.6219203445114624e+36
0.01,0.5,,False,undefended,696520945,True,False,False,481,113,1.0,1.0,284,172,0.6056338028169014,5.968008386962959e+21,1.193602878951283e+20
0.01,0.5,,False,undefended,1577738139,True,False,False,509,103,1.0,1.0,282,180,0.6382978723404256,1.440130537551075e+20,2.8802639719071304e+18
0.01,0.5,,False,undefended,505289421,True,False,False,545,119,1.0,1.0,277,159,0.5740072202166066,1.8198820025563756e+23,3.6397676642814866e+21
0.01,0.5,,False,undefended,1216083139,True,False,False,499,130,1.0,1.0,288,159,0.5520833333333334,1.000137201019872e+25,2.000276413548494e+23
0.01,0.5,,False,undefended,1659745298,True,False,False,445,126,1.0,1.0,286,161,0.5629370629370629,1.271417119896448e+24,2.542836799668441e+22
0.01,0.5,,False,undefended,1602935728,True,False,False,500,110,1.0,1.0,273,164,0.6007326007326007,2.361867047522551e+21,4.723738848116987e+19
0.01,0.5,,False,undefended,535275840,True,False,False,580,110,1.0,1.0,277,168,0.6064981949458483,3.2395448948849556e+21,6.4790963022168e+19
0.01,0.5,,False,undefended,903938103,True,False,False,485,95,1.0,1.0,262,168,0.6412213740458015,6.055570426391117e+18,1.2111153052292718e+17
0.01,0.5,,False,undefended,388207107,True,False,False,528,127,1.0,1.0,285,159,0.5578947368421052,2.82517308566859e+24,5.650351855166795e+22
0.01,0.5,,False,undefended,764231137,True,False,False,509,95,1.0,1.0,276,182,0.6594202898550725,7.015419225054767e+18,1.4030852563870374e+17
0.01,0.5,,False,undefended,596522950,True,False,False,525,128,1.0,1.0,285,158,0.5543859649122806,6.451902545862465e+24,1.2903818066069239e+23
0.01,0.5,,False,undefended,1249735941,True,False,False,517,117,1.0,1.0,281,165,0.5871886120996441,3.632148190537121e+22,7.264303687838982e+20
0.01,0.5,,False,undefended,1668745646,True,False,False,467,105,1.0,1.0,264,160,0.6060606060606061,4.943307710184572e+20,9.886625367973474e+18
0.01,0.5,,False,undefended,1514927145,True,False,False,526,120,1.0,1.0,268,149,0.5559701492537313,1.5387930230491644e+23,3.0775891410993225e+21
0.01,0.5,,False,undefended,1463962251,True,False,False,488,97,1.0,1.0,267,171,0.6404494382022472,1.646990716637416e+19,3.293984746946179e+17
0.01,0.5,,False,undefended,154550663,True,False,False,475,121,1.0,1.0,280,160,0.5714285714285714,2.334606969269175e+23,4.6692186371872517e+21
0.01,0.5,,False,undefended,1077059629,True,False,False,535,121,1.0,1.0,278,158,0.5683453237410072,2.4080107901520057e+23,4.816026423031899e+21
0.01,0.5,,False,undefended,302899605,True,False,False,472,108,1.0,1.0,272,165,0.6066176470588235,7.666410565577503e+20,1.5332836566123043e+19
0.01,0.5,,False,undefended,1423431835,True,False,False,503,131,1.0,1.0,285,155,0.543859649122807,1.2705624567193645e+25,2.5411274700368586e+23
0.01,0.5,,False,undefended,1814522901,True,False,False,520,117,1.0,1.0,275,159,0.5781818181818181,5.186382686846395e+22,1.03727758090205e+21
0.01,0.5,,False,undefended,234793033,True,False,False,481,111,1.0,1.0,272,162,0.5955882352941176,4.3789503888039624e+21,8.757909594249239e+19
0.01,0.5,,False,undefended,1894754526,True,False,False,474,112,1.0,1.0,274,163,0.5948905109489051,6.113566432955623e+21,1.2227145162692921e+20
0.01,0.5,,False,undefended,722288234,True,False,False,499,108,1.0,1.0,262,155,0.5916030534351145,1.1589236565888156e+21,2.3178496439934624e+19
