frontier_floor,reproduction_rate,seed,survived,collapsed,extinct,final_population,final_ai_generation,final_avg_U_sys,final_avg_L_t,avg_transition_cost,yield_condition_met_count
0.01,0.05,45,False,True,False,10,12,0.0,0.0,7.163398989695527,11
0.01,0.05,44,False,True,False,8,12,0.0,0.0,7.206458745710337,11
0.01,0.05,48,False,True,False,2,12,0.0,0.0,7.201027209233959,11
0.01,0.05,47,False,False,True,0,12,0.0,0.0,7.27527866461725,11
0.01,0.05,49,False,False,True,0,12,0.0,0.0,8.667834109764632,11
0.01,0.055,5,False,True,False,2,12,0.0,0.0,7.209032504494399,11
0.01,0.055,1,False,True,False,27,12,0.0,0.0,7.246444952828397,11
0.01,0.055,0,False,True,False,21,12,0.0,0.0,7.17768681245751,11
0.01,0.055,3,False,True,False,21,12,0.0,0.0,7.191085679854766,11
0.01,0.055,2,False,True,False,10,12,0.0,0.0,7.187098911550177,11
0.01,0.055,4,False,True,False,25,12,0.0,0.0,7.196854663504755,11
0.01,0.055,8,False,True,False,7,12,0.0,0.0,7.245976337653004,11
0.01,0.055,6,False,True,False,24,12,0.0,0.0,7.2260473899728535,11
0.01,0.055,7,False,True,False,27,12,0.0,0.0,7.174495052560633,11
0.01,0.055,9,False,True,False,28,12,0.0,0.0,7.253059679202749,11
0.01,0.055,10,False,True,False,41,12,0.0,0.0,7.210606398064704,11
0.01,0.055,11,False,True,False,13,12,0.0,0.0,7.261683063049763,11
0.01,0.055,18,False,True,False,59,12,0.0,0.0,7.193223727381875,11
0.01,0.055,13,False,True,False,11,12,0.0,0.0,7.160487674214681,11
0.01,0.055,12,False,True,False,10,12,0.0,0.0,7.13033442310872,11
0.01,0.055,14,False,True,False,31,12,0.0,0.0,7.178743380591953,11
0.01,0.055,16,False,True,False,9,12,0.0,0.0,7.259824180714089,11
0.01,0.055,17,False,True,False,44,12,0.0,0.0,7.137921918390299,11
0.01,0.055,15,False,True,False,10,12,0.0,0.0,7.217647359327468,11
0.01,0.055,19,False,True,False,5,12,0.0,0.0,7.158208041014779,11
0.01,0.055,22,False,True,False,29,12,0.0,0.0,7.1885914119251355,11
0.01,0.055,21,False,True,False,28,12,0.0,0.0,7.252049430400646,11
0.01,0.055,20,False,True,False,18,12,0.0,0.0,7.145680933437499,11
0.01,0.055,24,False,True,False,33,12,0.0,0.0,7.309075218850659,11
0.01,0.055,26,False,True,False,17,12,0.0,0.0,7.217873190554345,11
0.01,0.055,23,False,True,False,39,12,0.0,0.0,7.216645361595876,11
