dependency_rate,capture_strength,rotation_interval,defense_active,seed,survived,collapsed,extinct,final_population,final_ai_generation,avg_validator_dependency,max_validator_dependency,yield_condition_met_count,yield_condition_blocked_count,capture_rate,final_avg_U_sys,final_avg_L_t
0.05,0.5,20,True,3,True,False,False,523,223,0.3449999999999999,0.6,271,49,0.18081180811808117,1.5059361345238462e+41,3.011875296989123e+39
0.05,0.5,20,True,2,True,False,False,556,204,0.3449999999999999,0.6,272,69,0.2536764705882353,5.643770106243947e+37,1.1287551555268879e+36
0.05,0.5,20,True,4,True,False,False,525,222,0.3449999999999999,0.6,286,65,0.22727272727272727,9.591794698528966e+40,1.918360868861775e+39
0.05,0.5,20,True,8,True,False,False,484,219,0.3449999999999999,0.6,264,46,0.17424242424242425,3.5574110056174146e+40,7.114829168767969e+38
0.05,0.5,20,True,5,True,False,False,502,219,0.3449999999999999,0.6,274,56,0.20437956204379562,3.409018218457872e+40,6.818043295792051e+38
0.05,1.0,20,True,0,True,False,False,487,141,0.3449999999999999,0.6,250,110,0.44,6.342157858589119e+26,1.2684328477846955e+25
0.05,0.5,20,True,7,True,False,False,517,231,0.3449999999999999,0.6,282,52,0.18439716312056736,3.7018737902340686e+42,7.403755037708216e+40
0.05,0.5,20,True,6,True,False,False,536,212,0.3449999999999999,0.6,275,64,0.23272727272727273,1.2911038587339112e+39,2.582210313824889e+37
0.05,1.0,20,True,1,True,False,False,552,178,0.3449999999999999,0.6,288,111,0.3854166666666667,2.0906706480100384e+33,4.18134550086019e+31
0.05,0.5,20,True,9,True,False,False,527,234,0.3449999999999999,0.6,284,51,0.1795774647887324,1.318885926815707e+43,2.6377745101344405e+41
0.05,1.0,20,True,4,True,False,False,511,174,0.3449999999999999,0.6,285,112,0.3929824561403509,3.02224042492989e+32,6.044486930323697e+30
0.05,1.0,20,True,3,True,False,False,523,168,0.3449999999999999,0.6,271,104,0.3837638376383764,3.6054600429572694e+31,7.210927335186833e+29
0.05,1.0,20,True,2,True,False,False,556,148,0.3449999999999999,0.6,272,125,0.45955882352941174,9.06404725167102e+27,1.8128112720975766e+26
0.05,1.0,20,True,6,True,False,False,483,172,0.3449999999999999,0.6,280,109,0.3892857142857143,1.467103065220014e+32,2.9342090832205603e+30
0.05,1.0,20,True,5,True,False,False,502,161,0.3449999999999999,0.6,274,114,0.41605839416058393,2.086105638660388e+30,4.172215474523498e+28
0.05,1.0,20,True,9,True,False,False,527,175,0.3449999999999999,0.6,284,110,0.3873239436619718,5.380503891674114e+32,1.0761018620771374e+31
0.05,1.0,20,True,7,True,False,False,526,176,0.3449999999999999,0.6,284,109,0.38380281690140844,8.888167091901325e+32,1.7776352056839525e+31
0.05,1.0,20,True,8,True,False,False,484,162,0.3449999999999999,0.6,264,103,0.39015151515151514,4.122402248309874e+30,8.244812790368978e+28
0.15,0.5,20,True,0,True,False,False,528,220,0.3,0.6,267,48,0.1797752808988764,4.720187953179009e+40,9.440385398504338e+38
0.15,0.5,20,True,1,True,False,False,552,236,0.3,0.6,288,53,0.1840277777777778,2.370922229984301e+43,4.741849229632336e+41
0.15,0.5,20,True,3,True,False,False,547,215,0.3,0.6,271,57,0.21033210332103322,5.2794344062192776e+39,1.0558879425513703e+38
0.15,0.5,20,True,4,True,False,False,517,224,0.3,0.6,285,62,0.21754385964912282,1.829403466672127e+41,3.658810615196055e+39
