action_modified,attack_attempted,attack_succeeded,capture_rate,collapsed,contamination_occurred,defense_active,defense_fired,elapsed_seconds,evaluated_yield_opportunities,extinct,final_population,final_u_sys_v2,honest_yield_opportunities,integrity_tamper_attempted,is_v2_mode,machine,max_total_suppression,min_resilience_stock,mode,n_candidates_v2,parameter_attribution_check,parameter_defense_active,ratified_yields,replicate,rollout_steps_v2,schema_version,seed,steps_completed,steps_requested,succession_blocked,survived,vector,yield_checks,yield_condition_blocked_count,yield_condition_met_count,yield_manipulated
True,True,True,0.0,True,False,False,False,37.947786015924066,0,True,0,2.7753843100320363,0,True,True,linux,1.0,0.31042150909625377,full,300,True,False,0,12,20,attack-v2-row-v1,729728748,107,300,False,False,ledger_compromise,0,0,0,False
True,True,True,0.0,True,False,False,False,42.06316512823105,0,True,0,2.4619812347973893,0,True,True,linux,1.0,0.31133407778091565,full,300,False,False,0,13,20,attack-v2-row-v1,47317693,119,300,False,False,ledger_compromise,0,0,0,False
True,True,True,0.0,True,False,False,False,36.71345171285793,0,True,0,2.859791393076437,0,True,True,linux,1.0,0.30524994755598556,full,300,True,False,0,13,20,attack-v2-row-v1,718766415,104,300,False,False,ledger_compromise,0,0,0,False
True,True,True,0.0,True,False,False,False,37.883602326735854,0,True,0,2.8597916743211718,0,True,True,linux,1.0,0.28920983102050934,full,300,True,False,0,14,20,attack-v2-row-v1,1605508896,104,300,False,False,ledger_compromise,0,0,0,False
True,True,True,0.0,True,False,False,False,37.77891662996262,0,True,0,2.7478061849418434,0,True,True,linux,1.0,0.29443316603061,full,300,False,False,0,14,20,attack-v2-row-v1,2136543408,108,300,False,False,ledger_compromise,0,0,0,False
True,True,True,0.0,True,False,False,False,37.89439073204994,0,True,0,2.747807061122951,0,True,True,linux,1.0,0.32237061927037425,full,300,False,False,0,15,20,attack-v2-row-v1,1167228298,108,300,False,False,ledger_compromise,0,0,0,False
True,True,True,0.0,True,False,False,False,36.7341675888747,0,True,0,2.8884952997837576,0,True,True,linux,1.0,0.2878884520569574,full,300,True,False,0,15,20,attack-v2-row-v1,1973871895,103,300,False,False,ledger_compromise,0,0,0,False
True,True,True,0.0,True,False,False,False,37.11261318670586,0,True,0,2.720503564127649,0,True,True,linux,1.0,0.2787676829483913,full,300,True,False,0,16,20,attack-v2-row-v1,1144168289,109,300,False,False,ledger_compromise,0,0,0,False
True,True,True,0.0,True,False,False,False,37.532378069125116,0,True,0,2.775384080360602,0,True,True,linux,1.0,0.2892315563389162,full,300,False,False,0,16,20,attack-v2-row-v1,1973794955,107,300,False,False,ledger_compromise,0,0,0,False
True,True,True,0.0,True,False,False,False,36.608307003974915,0,True,0,2.803239174033226,0,True,True,linux,1.0,0.2824882605868284,full,300,False,False,0,17,20,attack-v2-row-v1,1810466906,106,300,False,False,ledger_compromise,0,0,0,False
True,True,True,0.0,True,False,False,False,40.80632469523698,0,True,0,2.61398249393169,0,True,True,linux,1.0,0.32083522486274607,full,300,True,False,0,17,20,attack-v2-row-v1,2124694626,113,300,False,False,ledger_compromise,0,0,0,False
True,True,True,0.0,True,False,False,False,39.486345308832824,0,True,0,2.6402145714728515,0,True,True,linux,1.0,0.2902398381383361,full,300,True,False,0,18,20,attack-v2-row-v1,714749302,112,300,False,False,ledger_compromise,0,0,0,False
