action_modified,attack_attempted,attack_succeeded,capture_rate,collapsed,contamination_occurred,defense_active,defense_fired,elapsed_seconds,evaluated_yield_opportunities,extinct,final_population,final_u_sys_v2,honest_yield_opportunities,integrity_tamper_attempted,is_v2_mode,machine,max_total_suppression,min_resilience_stock,mode,n_candidates_v2,parameter_defense_active,parameter_phi,ratified_yields,replicate,rollout_steps_v2,schema_version,seed,steps_completed,steps_requested,succession_blocked,survived,vector,yield_checks,yield_condition_blocked_count,yield_condition_met_count,yield_manipulated
True,True,True,0.0,True,False,False,False,83.23184584500268,0,True,0,0.8413808126935649,0,False,True,linux,1.0,0.3188204350606174,full,300,False,10.0,0,4,20,attack-v2-row-v1,504067457,227,300,False,False,sub_threshold_drift,0,0,0,False
True,True,True,0.0,True,False,False,False,89.19563968712464,0,True,0,0.6704108800699095,0,False,True,linux,1.0,0.31507188865493757,full,300,False,15.0,0,4,20,attack-v2-row-v1,1160575903,250,300,False,False,sub_threshold_drift,0,0,0,False
True,True,True,0.0,True,False,False,False,88.89385495427996,0,True,0,0.6893628990261218,0,False,True,linux,1.0,0.321030031618964,full,300,False,5.0,0,4,20,attack-v2-row-v1,1236043459,247,300,False,False,sub_threshold_drift,0,0,0,False
True,True,True,0.0,True,False,False,False,88.17711797403172,0,True,0,0.6975134911387713,0,False,True,linux,1.0,0.2899687846720128,full,300,False,25.0,0,4,20,attack-v2-row-v1,1521631118,246,300,False,False,sub_threshold_drift,0,0,0,False
True,True,True,0.0,True,False,False,False,107.07719678571448,0,False,1,0.5598366278016746,0,False,True,linux,1.0,0.2832047254949339,full,300,False,25.0,0,5,20,attack-v2-row-v1,343401543,300,300,False,False,sub_threshold_drift,0,0,0,False
True,True,True,0.0,True,False,False,False,97.3826892413199,0,True,0,0.5614945510271309,0,False,True,linux,1.0,0.30719282817505045,full,300,False,15.0,0,5,20,attack-v2-row-v1,352634036,268,300,False,False,sub_threshold_drift,0,0,0,False
True,True,True,0.0,True,False,False,False,99.11805694084615,0,True,0,0.508987355708634,0,False,True,linux,1.0,0.2696394471621302,full,300,False,1.0,0,5,20,attack-v2-row-v1,972081127,278,300,False,False,sub_threshold_drift,0,0,0,False
True,True,True,0.0,True,False,False,False,73.4115170687437,0,True,0,1.078510455819894,0,False,True,linux,1.0,0.31667304951384756,full,300,False,5.0,0,5,20,attack-v2-row-v1,1215393562,202,300,False,False,sub_threshold_drift,0,0,0,False
True,True,True,0.0,True,False,False,False,87.68324125837535,0,True,0,0.7550735067425945,0,False,True,linux,1.0,0.27956351894475273,full,300,False,10.0,0,5,20,attack-v2-row-v1,2062581672,238,300,False,False,sub_threshold_drift,0,0,0,False
True,True,True,0.0,True,False,False,False,96.1102947248146,0,True,0,0.5440372709736064,0,False,True,linux,1.0,0.28947706568798476,full,300,False,25.0,0,6,20,attack-v2-row-v1,1108877554,271,300,False,False,sub_threshold_drift,0,0,0,False
