action_modified,attack_attempted,attack_succeeded,capture_rate,collapsed,contamination_occurred,defense_active,defense_fired,elapsed_seconds,evaluated_yield_opportunities,extinct,final_population,final_u_sys_v2,honest_yield_opportunities,integrity_tamper_attempted,is_v2_mode,machine,max_total_suppression,min_resilience_stock,mode,n_candidates_v2,parameter_base_transition_cost,parameter_defense_active,ratified_yields,replicate,rollout_steps_v2,schema_version,seed,steps_completed,steps_requested,succession_blocked,survived,vector,yield_checks,yield_condition_blocked_count,yield_condition_met_count,yield_manipulated
True,True,True,0.0,True,True,False,False,88.10240080000949,1,False,2,0.5949161419583278,1,False,True,laptop,1.0,0.30146248956136057,full,300,2.5,False,1,7,20,attack-v2-row-v1,45445066,300,300,False,False,successor_contamination,250,0,1,True
True,True,True,0.0,True,True,False,False,85.39757890001056,1,True,0,0.4507345248130655,1,False,True,laptop,1.0,0.30603250895056033,full,300,1.5,False,1,7,20,attack-v2-row-v1,677459470,290,300,False,False,successor_contamination,240,0,1,True
True,True,True,0.0,True,True,False,False,88.32943350001005,1,False,7,1.3543199353398463,1,False,True,laptop,1.0,0.2907140307831134,full,300,2.0,False,1,7,20,attack-v2-row-v1,1537996214,300,300,False,False,successor_contamination,250,0,1,True
True,True,True,0.0,True,True,False,False,86.83112980000442,1,False,1,0.40907215578117506,1,False,True,laptop,1.0,0.30415288173979477,full,300,2.0,False,1,8,20,attack-v2-row-v1,484916789,300,300,False,False,successor_contamination,250,0,1,True
True,True,True,0.0,True,True,False,False,88.77855289998115,1,False,2,0.8096806128612403,1,False,True,laptop,1.0,0.2944153162945788,full,300,1.5,False,1,8,20,attack-v2-row-v1,730826054,300,300,False,False,successor_contamination,250,0,1,True
True,True,True,0.0,True,True,False,False,87.83189719999791,1,False,7,0.736322237026103,1,False,True,laptop,1.0,0.307566694788872,full,300,2.5,False,1,8,20,attack-v2-row-v1,1482054583,300,300,False,False,successor_contamination,250,0,1,True
True,True,True,0.0,True,True,False,False,78.78046879998874,1,True,0,0.5545889239713225,1,False,True,laptop,1.0,0.3041479128852602,full,300,2.5,False,1,9,20,attack-v2-row-v1,480723451,269,300,False,False,successor_contamination,219,0,1,True
True,True,True,0.0,True,True,False,False,88.13300540001364,1,False,6,1.0160259144302728,1,False,True,laptop,1.0,0.2998188154533969,full,300,1.5,False,1,9,20,attack-v2-row-v1,1693254440,300,300,False,False,successor_contamination,250,0,1,True
True,True,True,0.0,True,True,False,False,86.69789059998584,1,False,1,0.7893772454189648,1,False,True,laptop,1.0,0.30773595739191695,full,300,2.0,False,1,9,20,attack-v2-row-v1,1807002420,300,300,False,False,successor_contamination,250,0,1,True
True,True,True,0.0,True,True,False,False,88.05293629999505,1,False,1,0.4236150674157673,1,False,True,laptop,1.0,0.30409122077416145,full,300,2.5,False,1,10,20,attack-v2-row-v1,230035258,300,300,False,False,successor_contamination,250,0,1,True
