action_modified,attack_attempted,attack_succeeded,capture_rate,collapsed,contamination_occurred,defense_active,defense_fired,elapsed_seconds,extinct,final_population,final_u_sys_v2,integrity_tamper_attempted,is_v2_mode,machine,max_total_suppression,min_resilience_stock,mode,n_candidates_v2,parameter_defense_active,parameter_population,replicate,rollout_steps_v2,schema_version,seed,steps_completed,steps_requested,succession_blocked,survived,vector,yield_condition_blocked_count,yield_condition_met_count,yield_manipulated
True,True,True,0.0,False,False,False,False,0.018721100001130253,False,92,9.140721768510245,False,True,laptop,0.9,0.384,smoke,20,False,100,0,1,attack-v2-row-v1,241112830,3,3,False,True,opaque_reasoning,0,0,False
True,True,True,0.0,False,False,False,False,0.019890099996700883,False,101,9.485503886222315,False,True,laptop,0.9,0.384,smoke,20,False,100,1,1,attack-v2-row-v1,1003921550,3,3,False,True,opaque_reasoning,0,0,False
False,True,False,0.0,False,False,True,True,0.004323800007114187,False,93,12.39991187543095,False,True,laptop,0.15600000000000003,0.32999999999999996,smoke,20,True,100,0,1,attack-v2-row-v1,241112830,3,3,False,True,opaque_reasoning,0,0,False
False,True,False,0.0,False,False,True,True,0.004793100000824779,False,103,13.072550696071925,False,True,laptop,0.15600000000000003,0.32999999999999996,smoke,20,True,100,1,1,attack-v2-row-v1,1003921550,3,3,False,True,opaque_reasoning,0,0,False
