window,candidate,records,V_ref,defined,selected,magnitude_count,magnitude_mean,magnitude_min,magnitude_p05,magnitude_p25,magnitude_median,magnitude_p75,magnitude_p90,magnitude_p95,magnitude_max
all_logged_steps,median,12000,0.02378706161993674,True,False,12000,0.6635236490756408,0.0,0.0,0.10553515240661154,0.9502129316008585,0.9998502678216613,0.9999997979660094,0.9999999931513228,0.9999999998345902
all_logged_steps,75th_percentile,12000,0.06982820888147437,True,False,12000,0.5426603341702855,0.0,0.0,0.03728004600387372,0.6401088067616698,0.9502129299420973,0.9947581479568899,0.9983450312356222,0.9995344767349651
all_logged_steps,90th_percentile,12000,0.12222451830198373,True,False,12000,0.4514810566289165,0.0,0.0,0.021471782714511677,0.44225492253402776,0.8198441407232242,0.9502129279313063,0.974232986439986,0.9875158682736347
steps_ge_10,median,11600,0.023880224918499122,True,False,11600,0.664108472618025,0.0,0.0,0.1055951189843802,0.9502128954821847,0.9998591523651599,0.9999998320559808,0.9999999931062362,0.9999999998193985
steps_ge_10,75th_percentile,11600,0.07058862478840747,True,False,11600,0.5426256537613416,0.0,0.0,0.03704954571421349,0.6375627328724889,0.9502129184755679,0.9948941992353655,0.9982664396240253,0.9994943663261991
steps_ge_10,90th_percentile,11600,0.12417429472230368,True,False,11600,0.4506147278084689,0.0,0.0,0.021232747464332062,0.4383837024602857,0.8182988764899544,0.950212924788545,0.9730576169010409,0.986626373325114
