substrate,category,cell,seed,rr,phi,alpha,successor_capability,cop_cost_audit,survived,collapsed,extinct,final_population,final_ai_generation,yield_fired,max_yield_margin,knowledge_transfer_verified,steps_completed,end_reason,peak_population,min_viable_population,survival_threshold,elapsed_seconds,source_path,source_head,non_registered,worker_pid
v20,B,0068ce03c4275f84,1835089118,0.07,25.0,0.75,3.0,True,True,False,False,471,2,True,1.577213732304398,True,300,step_limit,471,50,306.15000000000003,110.40739959996426,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,48436
v20,B,0068ce03c4275f84,1835089119,0.07,25.0,0.75,3.0,True,True,False,False,808,2,True,0.8179709635255974,True,300,step_limit,826,50,536.9,110.22262580000097,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,45852
v20,B,0223f4fe9aa1c333,1835089100,0.057,25.0,0.75,1.5,True,False,True,False,30,3,True,1.3617384220672433,True,300,step_limit,247,50,160.55,107.99793800001498,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,43836
v20,B,0223f4fe9aa1c333,1835089101,0.057,25.0,0.75,1.5,True,False,True,False,16,3,True,1.2436719849033109,True,300,step_limit,263,50,170.95000000000002,108.0706715999986,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,19260
v20,B,0223f4fe9aa1c333,1835089102,0.057,25.0,0.75,1.5,True,False,True,False,19,3,True,1.2904719218168088,True,300,step_limit,209,50,135.85,107.47383460000856,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,51912
v20,B,0223f4fe9aa1c333,1835089103,0.057,25.0,0.75,1.5,True,False,False,True,0,3,True,1.0437669869434103,True,298,step_returned_false,224,50,145.6,106.15772460005246,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,53728
v20,B,0223f4fe9aa1c333,1835089104,0.057,25.0,0.75,1.5,True,False,True,False,28,3,True,0.6208518153568399,True,300,step_limit,237,50,154.05,105.44065820000833,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,25552
v20,B,0223f4fe9aa1c333,1835089105,0.057,25.0,0.75,1.5,True,False,True,False,25,3,True,0.2670015210810872,True,300,step_limit,224,50,145.6,108.10797740000999,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,50140
v20,B,0223f4fe9aa1c333,1835089106,0.057,25.0,0.75,1.5,True,False,True,False,26,3,True,0.6866354877315173,True,300,step_limit,226,50,146.9,105.21760659996653,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,52600
v20,B,0223f4fe9aa1c333,1835089107,0.057,25.0,0.75,1.5,True,False,True,False,32,3,True,1.4495908527731203,True,300,step_limit,234,50,152.1,106.6289800000377,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,47080
