sweep,seed,rr,phi,alpha,successor_capability,successor_capability_growth_rate,defection_weight,defection_target,inheritance_mode,max_generations,steps_run,survived,final_population,peak_population,final_ai_generation,max_ai_generation,yield_eval_count,yield_fire_count,yield_fire_rate,first_yield_fire_step,first_honest_advantage,first_actual_advantage,first_transition_cost,honest_reject_actual_would_fire_count,mean_l_t,final_l_t,min_l_t,mean_actual_minus_honest_objective,max_successor_capability_seen,max_active_capability_seen,knowledge_transfer_verified,l_t_gen_1,l_t_gen_2,l_t_gen_3,l_t_gen_4,l_t_gen_5,error
3,2,0.064,25.0,0.5,2.0,1.5,0.5,H_C_inflated,lineage,4,412,False,0,223,2,2,413,1,0.002421307506053269,5,-0.006694205558687827,0.37511582753715444,4.559550483178482,0,0.3649597821472942,7.709934733214335e-05,7.709934733214335e-05,6.111947505797952,3.0,2.0,True,0.13981441821693572,0.36771891650918587,0.0,0.0,0.0,
3,0,0.064,25.0,0.5,2.0,1.5,0.5,H_C_inflated,lineage,4,500,True,36,250,2,2,500,1,0.002,4,-0.00652426549567231,0.441458035984688,4.559550483178482,0,0.3796416058443926,0.16159494891198392,0.06625534950491556,6.391893219823248,3.0,2.0,True,0.1294679994991023,0.38165913492782233,0.0,0.0,0.0,
3,4,0.064,25.0,0.5,2.0,1.5,0.5,H_C_inflated,lineage,4,500,True,36,234,3,3,500,2,0.004,5,-0.007953072318606758,0.388222440699856,4.559550483178482,0,0.39807064373914064,0.1429493148887468,0.06263341689182426,6.392877531867476,4.5,3.0,True,0.13533690726088426,0.7363591090696554,0.37675062063629283,0.0,0.0,
3,1,0.064,25.0,0.5,2.0,1.5,0.5,H_C_inflated,lineage,4,500,True,56,240,2,2,500,1,0.002,4,-0.006076721966691068,0.41145370911140056,4.559550483178482,0,0.44121450878602864,0.2791102823964801,0.09697859000106039,6.373163650782135,3.0,2.0,True,0.12753246554229086,0.4437442026831556,0.0,0.0,0.0,
3,7,0.064,25.0,0.5,2.0,1.5,0.5,H_C_inflated,lineage,4,500,True,73,204,2,2,500,1,0.002,6,-0.006455532353486504,0.3554946423247358,4.559550483178482,0,0.3714786262570573,0.3039113263554286,0.10150067664923239,6.361930345330449,3.0,2.0,True,0.14754985102746168,0.37419840895215356,0.0,0.0,0.0,
3,9,0.064,25.0,0.5,2.0,1.5,0.5,H_C_inflated,lineage,4,500,True,38,250,2,2,500,1,0.002,5,-0.007265943884169346,0.4040258708313722,4.559550483178482,1,0.4250775657492652,0.16236302352302623,0.09893771263395498,6.387406560749411,3.0,2.0,True,0.13974676598275187,0.427959695039836,0.0,0.0,0.0,
3,8,0.064,25.0,0.5,2.0,1.5,0.5,H_C_inflated,lineage,4,500,True,47,259,2,2,500,1,0.002,4,-0.007162322715830172,0.44861783228837915,4.559550483178482,0,0.47326199661790713,0.22694364474798712,0.09633750698295866,6.374638091365683,3.0,2.0,True,0.12716733394123902,0.47605308260723506,0.0,0.0,0.0,
3,5,0.064,25.0,0.5,2.0,1.5,0.5,H_C_inflated,lineage,4,500,False,26,215,2,2,500,1,0.002,5,-0.007687822149231138,0.38995588815364535,4.559550483178482,0,0.3464003569936074,0.09633230347834539,0.08793485101285244,6.401983320774694,3.0,2.0,True,0.14944279770084853,0.3483898272894938,0.0,0.0,0.0,
3,6,0.064,25.0,0.5,2.0,1.5,0.5,H_C_inflated,lineage,4,500,False,19,200,2,2,500,1,0.002,6,-0.007700984466094241,0.4143582163020909,4.559550483178482,0,0.348905213703658,0.06289586244883409,0.055606886267508066,6.404274281407782,3.0,2.0,True,0.1407790821298722,0.35143306145556635,0.0,0.0,0.0,
3,10,0.064,25.0,0.5,2.0,1.5,0.5,H_C_inflated,lineage,4,500,True,41,215,2,2,500,1,0.002,6,-0.006923395641795338,0.36847604925980626,4.559550483178482,0,0.33219983201166847,0.17363541259732865,0.08475928892115026,6.388445691973947,3.0,2.0,True,0.14763217258670616,0.3344415444743198,0.0,0.0,0.0,
3,3,0.064,25.0,0.5,2.0,1.5,0.5,H_C_inflated,lineage,4,500,False,7,205,2,2,500,1,0.002,6,-0.008004223079417727,0.33291436927460616,4.559550483178482,0,0.29490606510714684,0.04160158023701024,0.023387814444679817,6.411591070476843,3.0,2.0,True,0.14716692287352287,0.2967004676443974,0.0,0.0,0.0,
3,11,0.064,25.0,0.5,2.0,1.5,0.5,H_C_inflated,lineage,4,500,True,97,223,2,2,500,1,0.002,5,-0.0058055061289419285,0.37004163793387335,4.559550483178482,0,0.5011390414330101,0.40032888284256263,0.10010382751362072,6.35504514247998,3.0,2.0,True,0.14311477877229925,0.5047554481265527,0.0,0.0,0.0,
3,16,0.064,25.0,0.5,2.0,1.5,0.5,H_C_inflated,lineage,4,500,False,27,229,2,2,500,1,0.002,5,-0.007051414534180012,0.27010085697028785,4.559550483178482,0,0.3677162250944103,0.11187325279270999,0.09165826568625647,6.398415568734538,3.0,2.0,True,0.136212307395479,0.3700546485055106,0.0,0.0,0.0,
3,12,0.064,25.0,0.5,2.0,1.5,0.5,H_C_inflated,lineage,4,500,True,40,241,2,2,500,1,0.002,7,-0.00662681240089924,0.3883271222623961,4.559550483178482,0,0.47973946462628597,0.19725768284779613,0.0962640305899496,6.382244682554285,3.0,2.0,True,0.15901133638237913,0.4842934137088566,0.0,0.0,0.0,
3,14,0.064,25.0,0.5,2.0,1.5,0.5,H_C_inflated,lineage,4,500,True,66,221,2,2,500,1,0.002,5,-0.006102402667709228,0.4507959430948816,4.559550483178482,0,0.5019630589479518,0.2572858192467361,0.09594856362754667,6.375253371087256,3.0,2.0,True,0.13424054590790752,0.505677427766538,0.0,0.0,0.0,
3,13,0.064,25.0,0.5,2.0,1.5,0.5,H_C_inflated,lineage,4,500,True,66,207,2,2,500,1,0.002,6,-0.006859008350122764,0.423950769004378,4.559550483178482,0,0.3482480774964568,0.28075727762165165,0.09708081947159303,6.371814481347369,3.0,2.0,True,0.14685742683532035,0.35069411778788767,0.0,0.0,0.0,
3,15,0.064,25.0,0.5,2.0,1.5,0.5,H_C_inflated,lineage,4,500,True,43,223,3,3,500,2,0.004,5,-0.0072745210802498406,0.430412093106634,4.559550483178482,0,0.41657783353885314,0.17385742938027088,0.09799128337769294,6.382383132323145,4.5,3.0,True,0.13812700389461346,0.7500597116258143,0.3863235438373153,0.0,0.0,
3,18,0.064,25.0,0.5,2.0,1.5,0.5,H_C_inflated,lineage,4,500,True,39,236,2,2,500,1,0.002,4,-0.006663494221751165,0.3760167248000883,4.559550483178482,0,0.4464045503685039,0.15719684917436294,0.10101398369416535,6.389931065681827,3.0,2.0,True,0.13518544164923735,0.4489143818904335,0.0,0.0,0.0,
3,17,0.064,25.0,0.5,2.0,1.5,0.5,H_C_inflated,lineage,4,500,True,74,273,2,2,500,1,0.002,4,-0.007068620103664713,0.3884438494485103,4.559550483178482,0,0.5903765826470072,0.30064819939822396,0.09608326219091506,6.363453762031518,3.0,2.0,True,0.12765564758254716,0.5941082030910755,0.0,0.0,0.0,
3,20,0.064,25.0,0.5,2.0,1.5,0.5,H_C_inflated,lineage,4,500,False,25,245,2,2,500,1,0.002,5,-0.0068908574684751756,0.38712359032206933,4.559550483178482,0,0.47139727113758784,0.10023407146944255,0.0912947555623718,6.39898710079079,3.0,2.0,True,0.132992092910961,0.47481550526108907,0.0,0.0,0.0,
