arm,blocks,votes,per_vote_rate,wilson_95_lower,wilson_95_upper
AS_PUBLISHED,43,343,0.12536443148688048,0.09441913435902409,0.164608316183269
ZERO_STRENGTH,25,325,0.07692307692307693,0.052643757395406734,0.1110869930208661
