action_modified,attack_attempted,attack_succeeded,capture_rate,collapsed,contamination_occurred,corruption_active,defense_active,defense_fired,elapsed_seconds,end_reason,evaluated_yield_opportunities,executor_elapsed_seconds,extinct,final_population,final_u_sys_v2,honest_yield_opportunities,integrity_tamper_attempted,is_v2_mode,machine,max_total_suppression,min_resilience_stock,mode,n_candidates_v2,parameter_base_transition_cost,parameter_defense_active,ratified_yields,replicate,rollout_steps_v2,schema_version,seed,steps_completed,steps_requested,succession_blocked,survived,vector,yield_checks,yield_condition_blocked_count,yield_condition_met_count,yield_manipulated
False,True,True,0.0,False,False,False,False,False,119.36503479999374,step_limit,0,119.39041900000302,False,346,68.57398744414631,245,False,True,YOTKOTEST,0.614,0.307522725137249,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087017,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,False,False,False,131.45072779999464,step_limit,0,131.47726300000795,False,360,69.66626026600184,244,False,True,YOTKOTEST,0.6240000000000001,0.29703650800410186,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087018,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,False,False,False,119.04744329999085,step_limit,0,119.08171810000204,False,281,52.80122845748405,247,False,True,YOTKOTEST,0.656,0.2979232509761677,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087019,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,False,False,False,118.88583630000358,step_limit,0,118.92081489998964,False,355,72.30117741721627,250,False,True,YOTKOTEST,0.6240000000000001,0.28814028387698876,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087020,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,False,False,False,119.44166489999043,step_limit,0,119.46542090000003,False,342,69.32860355790633,248,False,True,YOTKOTEST,0.6240000000000001,0.3112815598452857,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087021,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,False,False,False,121.03193860000465,step_limit,0,121.06249030001345,False,346,67.71259985477427,240,False,True,YOTKOTEST,0.656,0.3259630742532089,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087022,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,False,False,False,118.84634899999946,step_limit,0,118.87318259998574,False,275,54.966612745627586,247,False,True,YOTKOTEST,0.6240000000000001,0.29860473411267724,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087023,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,False,False,False,119.87171989999479,step_limit,0,119.89978949999204,False,371,73.69512810400873,249,False,True,YOTKOTEST,0.614,0.31753191071674286,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087024,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,False,False,False,119.56828400000813,step_limit,0,119.59126109999488,False,299,55.958542289711964,250,False,True,YOTKOTEST,0.614,0.29156739451240726,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087025,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,False,False,False,117.39839970000321,step_limit,0,117.42800580000039,False,278,54.27341317235703,250,False,True,YOTKOTEST,0.614,0.30899378495050983,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087026,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,False,False,False,120.12507929999265,step_limit,0,120.15415129999747,False,339,65.02921794012143,246,False,True,YOTKOTEST,0.614,0.29130978258483053,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087027,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,False,False,False,118.30077190001612,step_limit,0,118.32756629999494,False,344,67.99190186211875,250,False,True,YOTKOTEST,0.6240000000000001,0.29854411488614285,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087028,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,False,False,False,117.86346880000201,step_limit,0,117.89062869999907,False,303,61.572236290696125,246,False,True,YOTKOTEST,0.6240000000000001,0.29864077776637565,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087029,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,False,False,False,117.63927640000475,step_limit,0,117.6808122000075,False,355,71.1295981487803,243,False,True,YOTKOTEST,0.614,0.3114165241866026,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087030,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,False,False,False,116.14128520002123,step_limit,0,116.1777424000029,False,338,64.66278687201552,248,False,True,YOTKOTEST,0.614,0.31773519361485975,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087031,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,False,False,False,117.38635580000118,step_limit,0,117.44432729997789,False,298,58.14953467243087,250,False,True,YOTKOTEST,0.6240000000000001,0.2969733309728435,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087032,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,False,False,False,117.51064079999924,step_limit,0,117.55195570000797,False,292,57.2566854526807,250,False,True,YOTKOTEST,0.6240000000000001,0.30649197249654775,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087033,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,False,False,False,117.78691339999205,step_limit,0,117.81929300000775,False,317,63.765459926465404,227,False,True,YOTKOTEST,0.656,0.3262578212550098,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087034,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,False,False,False,117.86525879998226,step_limit,0,117.89493729997776,False,305,58.913698463581454,244,False,True,YOTKOTEST,0.6240000000000001,0.3196182669437121,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087035,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,False,False,False,116.06021150000743,step_limit,0,116.09204079999472,False,272,49.277135360997534,247,False,True,YOTKOTEST,0.6240000000000001,0.3082691568457027,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087036,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,False,False,False,117.73302039998816,step_limit,0,117.76447920000646,False,314,61.759343037624035,244,False,True,YOTKOTEST,0.614,0.30808523538061566,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087037,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,False,False,False,116.4999448999879,step_limit,0,116.53110759999254,False,302,58.15442727297149,248,False,True,YOTKOTEST,0.6240000000000001,0.3055312633071797,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087038,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,False,False,False,116.80992390000029,step_limit,0,116.83953889997792,False,365,70.87367965040436,248,False,True,YOTKOTEST,0.6240000000000001,0.29612040769477954,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087039,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,False,False,False,116.67026990000159,step_limit,0,116.70396270000492,False,315,64.85212364868873,248,False,True,YOTKOTEST,0.6240000000000001,0.29084066356255306,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087040,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,False,False,False,119.23999450000701,step_limit,0,119.28604000000632,False,312,58.94779023741477,250,False,True,YOTKOTEST,0.6240000000000001,0.2956900321692079,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087041,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,False,False,False,116.02298789998167,step_limit,0,116.04681390000042,False,293,54.684116951503,248,False,True,YOTKOTEST,0.6240000000000001,0.29000170941326714,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087042,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,False,False,False,117.81160889999592,step_limit,0,117.84505669999635,False,309,59.1015678196811,249,False,True,YOTKOTEST,0.614,0.3133366848684095,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087043,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,False,False,False,116.84700479998719,step_limit,0,116.88209070000448,False,251,50.114034054062785,250,False,True,YOTKOTEST,0.656,0.2874927139429924,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087044,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,False,False,False,117.38125440001022,step_limit,0,117.43200209998759,False,362,73.86215675838716,250,False,True,YOTKOTEST,0.614,0.31484930409742645,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087045,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,False,False,False,118.99866919999477,step_limit,0,119.02980249997927,False,347,67.69757310240398,249,False,True,YOTKOTEST,0.656,0.3038643346016132,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087046,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,False,False,False,119.62735920000705,step_limit,0,119.64873099999386,False,351,71.04511292673615,250,False,True,YOTKOTEST,0.6240000000000001,0.2913344310164588,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087047,300,300,False,True,measurement_tampering,250,0,0,True
