substrate,category,cell,seed,rr,phi,alpha,successor_capability,cop_cost_audit,survived,collapsed,extinct,final_population,final_ai_generation,yield_fired,max_yield_margin,knowledge_transfer_verified,steps_completed,end_reason,peak_population,min_viable_population,survival_threshold,elapsed_seconds,source_path,source_head,non_registered,worker_pid
v20,A,7d603f92ccb1b1ac,1835089000,0.055,25.0,1.0,1.0,True,False,True,False,33,1,False,-3.102543652794341,False,300,step_limit,237,50,154.05,71.31907919998048,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,True,10760
v21,A,7d603f92ccb1b1ac,1835089000,0.055,25.0,1.0,1.0,True,False,True,False,26,1,False,-3.092026809212763,False,300,step_limit,237,50,154.05,84.09599489998072,C:\Users\matty\Dev\AI-Succession-Problem,1a5fa6505fa079906b2df2a97e1f965b3e0f8713,True,54044
