grid_index,horizon,total_suppression,avg_wb,V_proj,h_n,h_n_shape
0,1,0.0,0.6632599026771968,0.10686397261573607,0.9830271450809558,0.9830285977429757
0,2,0.0,0.6757402486365066,0.11092345891039561,0.9830277254092042,0.9830285977429757
0,3,0.0,0.6868027681843217,0.11458503532930771,0.9830280470489151,0.9830285977429757
0,4,0.0,0.6965576159428188,0.11786311616947395,0.9830282329375655,0.9830285977429757
0,5,0.0,0.7051068391402096,0.1207740648219603,0.9830283446718784,0.9830285977429757
0,6,0.0,0.7125449605491581,0.12333557841897912,0.9830284143052379,0.9830285977429757
0,7,0.0,0.7189595210793533,0.1255661874119973,0.9830284591348537,0.9830285977429757
0,8,0.0,0.7244315853452825,0.12748485192653447,0.9830284888228633,0.9830285977429757
0,9,0.0,0.7290362131725375,0.12911063941604825,0.9830285089442797,0.9830285977429757
0,10,0.0,0.7328428996720053,0.1304624704178625,0.9830285228136347,0.9830285977429757
0,11,0.0,0.7359159862053719,0.131558921159588,0.9830285324553983,0.9830285977429757
0,12,0.0,0.738315044289871,0.13241807342649115,0.9830285391350996,0.9830285977429757
0,13,0.0,0.7400952342459568,0.13305740352218645,0.9830285436582399,0.9830285977429757
0,14,0.0,0.7413076401782585,0.13349370337333552,0.9830285465429017,0.9830285977429757
0,15,0.0,0.7419995826965898,0.13374302787431525,0.9830285481217292,0.9830285977429757
0,16,0.0,0.742214910628163,0.1338206634657568,0.983028548603339,0.9830285977429757
0,17,0.0,0.7419942728423031,0.13374111371299915,0.9830285481097955,0.9830285977429757
0,18,0.0,0.7413753712024782,0.13351809831497924,0.9830285466995725,0.9830285977429757
0,19,0.0,0.7403931955747912,0.13316456254614617,0.983028544381453,0.9830285977429757
0,20,0.0,0.7390802417546923,0.13269269462652847,0.9830285411225801,0.9830285977429757
1,1,0.2,0.6632599026771968,0.06839294247407109,0.982846162328668,0.9830285977429757
1,2,0.2,0.6757402486365066,0.07099101370265318,0.9828969659691138,0.9830285977429757
1,3,0.2,0.6868027681843217,0.07333442261075697,0.9829305344515333,0.9830285977429757
1,4,0.2,0.6965576159428188,0.07543239434846333,0.9829532547223278,0.9830285977429757
1,5,0.2,0.7051068391402096,0.07729540148605461,0.9829689767718572,0.9830285977429757
1,6,0.2,0.7125449605491581,0.07893477018814665,0.9829800737452332,0.9830285977429757
1,7,0.2,0.7189595210793533,0.08036235994367828,0.9829880404864582,0.9830285977429757
1,8,0.2,0.7244315853452825,0.08159030523298205,0.9829938382857185,0.9830285977429757
1,9,0.2,0.7290362131725375,0.08263080922627089,0.9829980974485958,0.9830285977429757
1,10,0.2,0.7328428996720053,0.08349598106743199,0.9830012386913519,0.9830285977429757
