mode,rr,phi,alpha,successor_capability,cop_cost_audit,seed,survived,collapsed,extinct,final_population,peak_population,collapse_threshold,final_ai_generation,yield_fired,yield_fire_count,yield_eval_count,first_yield_fire_step,first_fire_advantage,first_fire_transition_cost,max_yield_margin,mean_yield_margin,final_theta_capability,final_transfer_state,final_psi_inst_stock,final_theta_tech_v2,final_l_t_v2,integral_u_sys,knowledge_transfer_verified,error,arm,part,run_id,derived_seed,started_utc,completed_utc,wall_seconds,interpreter_version,numpy_version,machine_label
A,0.055,25.0,1.0,1.5,True,150,False,True,True,0,209,135,2,True,1,469,6,5.1390841867982395,3.6603199031407168,1.4787642836575228,-5.311652823711759,0.6533147461663101,0.9556917351607559,0.9702934835202024,0.01,9.702934835202024e-05,6397.322145067296,True,,O,2,O_p2_A_333d7e2994dc3327f52160a6,4183,2026-09-24T11:55:12.207459+00:00,2026-09-24T11:57:14.639483+00:00,122.43198270001449,"3.13.15 (tags/v3.13.15:4061bc4, Aug  5 2026, 13:05:39) [MSC v.1944 64 bit (AMD64)]",2.4.4,YOTKOTEST
A,0.055,25.0,1.0,1.5,True,151,False,True,False,20,210,136,2,True,1,500,6,5.662425364648186,3.6765150769777453,1.9859102876704409,-5.952557096452712,0.6957253616548078,0.9682740198105072,0.9215506064700764,1.0104791889204294,0.0639419759639705,7432.748431994018,True,,O,2,O_p2_A_c0a5bd479a50328512c32432,6898,2026-09-24T11:55:12.230721+00:00,2026-09-24T11:57:22.645071+00:00,130.4143344000331,"3.13.15 (tags/v3.13.15:4061bc4, Aug  5 2026, 13:05:39) [MSC v.1944 64 bit (AMD64)]",2.4.4,YOTKOTEST
A,0.066,25.0,1.0,1.5,True,150,True,True,False,125,244,158,2,True,1,500,7,4.903267877552199,3.7019644588647775,1.2013034186874219,-6.925883876578873,0.6720396992217537,0.9690731960196204,0.9575093726626009,0.9768834887653338,0.4636107958046613,18573.61519887107,True,,O,2,O_p2_A_1838f22be8317bf11ca2d2c7,7570,2026-09-24T11:55:12.246650+00:00,2026-09-24T11:57:22.142359+00:00,129.8956927000545,"3.13.15 (tags/v3.13.15:4061bc4, Aug  5 2026, 13:05:39) [MSC v.1944 64 bit (AMD64)]",2.4.4,YOTKOTEST
A,0.066,25.0,1.0,1.5,True,151,True,True,False,74,267,173,2,True,1,500,6,5.017287506829909,3.755478632150974,1.2618088746789353,-7.344619190803887,0.6761275761927732,0.9849361888713548,0.9311240833545481,0.9989137771292049,0.28147374199475567,20682.168982528918,True,,O,2,O_p2_A_2fa60758a32b0829125ca58a,3481,2026-09-24T11:55:12.262153+00:00,2026-09-24T11:57:23.661846+00:00,131.39967459999025,"3.13.15 (tags/v3.13.15:4061bc4, Aug  5 2026, 13:05:39) [MSC v.1944 64 bit (AMD64)]",2.4.4,YOTKOTEST
