regime,rr,phi,alpha,seed,successor_cap,max_capability,termination_reason,steps_run,survived,population_final,ai_generation_final,final_ai_capability,max_ai_capability_seen,max_successor_capability_seen,active_capability_exceeded_successor_cap,successor_capability_exceeded_successor_cap,L_t_final,U_sys_final,integral_U_sys,u_sys_tail_estimate,u_sys_total_estimate,error
decontaminated,0.066,5.0,0.5,0,50.0,1000000000000.0,extinction,584,False,0,6,0.1,253.125,379.6875,True,True,0.0009000000000000001,0.022309768986873275,45730.68876563579,0.8812468446981254,45731.570012480486,
contaminated,0.066,5.0,0.5,0,50.0,50.0,extinction,2430,False,0,262,0.784480283288148,50.0,50.0,False,False,0.0021028425593978307,0.03154183432970532,557753.3029994026,8.47417088109629e-09,557753.3029994111,
contaminated,0.066,5.0,0.5,0,100.0,100.0,extinction,1214,False,0,58,0.18197153164363442,100.0,100.0,False,False,0.0016377437847927099,0.024579640904268237,253846.8664575607,0.0016183835660483496,253846.86807594428,
contaminated,0.066,10.0,2.0,0,50.0,50.0,extinction,2120,False,0,106,0.12377468311404992,50.0,50.0,False,False,0.0011139721480264494,0.03341376719404211,683789.904444331,1.8808363684256015e-07,683789.9044445191,
contaminated,0.066,5.0,2.0,0,100.0,100.0,extinction,1246,False,0,1,0.1,1.0,100.0,False,False,0.0009000000000000001,0.013509051358026467,1885.062298989415,0.0011750818134446093,1885.0634740712285,
contaminated,0.066,10.0,1.0,0,50.0,50.0,extinction,3199,False,0,350,14.599451216938636,50.0,50.0,False,False,0.0001,0.002999995890300872,1742817.8807427078,3.875994289271163e-12,1742817.8807427078,
