sample_idx,WELFARE_URGENCY_CAP,AGENCY_URGENCY_CAP,INSTITUTION_URGENCY_CAP,RESILIENCE_URGENCY_CAP,SUPPRESSION_PENALTY_CAP_MULTIPLIER,K_WELFARE_VIABILITY,K_WELFARE_CAPACITY,K_WELFARE_SHRINKAGE,K_WELFARE_AVG_WB_TREND,K_WELFARE_POP_TREND,K_AGENCY_VIABILITY,K_AGENCY_SHRINKAGE,K_AGENCY_POP_TREND,K_INSTITUTION_VIABILITY,K_INSTITUTION_CAPACITY,K_INSTITUTION_SHRINKAGE,K_INSTITUTION_GROWTH,K_INSTITUTION_POP_TREND,K_INSTITUTION_PSI_TREND,K_RESILIENCE_VIABILITY,K_RESILIENCE_CAPACITY,K_RESILIENCE_SHRINKAGE,K_RESILIENCE_GROWTH,K_RESILIENCE_DEFICIT_CONTRIBUTION,K_RESILIENCE_POP_TREND,K_RESILIENCE_RES_TREND,K_SUPPRESSION_VIABILITY,K_SUPPRESSION_CAPACITY,K_SUPPRESSION_SHRINKAGE,K_SUPPRESSION_POP_TREND,K_SUPPRESSION_PSI_TREND,mean_final_population,min_final_population,pairs_above_threshold,max_cosine_distance,mean_cosine_distance,welfare_mean_to_cap,agency_mean_to_cap,institution_mean_to_cap,resilience_mean_to_cap,suppression_mean_to_cap,criterion_1_pass,criterion_2_pass,criterion_3_pass,overall_good,wall_clock_sec,error
7806,4.537544,2.752456,1.150806,3.526288,1.880033,0.182425,0.492031,0.622474,0.151174,0.112549,0.369672,0.099638,0.192163,0.236821,0.322985,0.118951,0.426158,0.290860,0.329418,0.465322,0.336582,0.165494,0.193928,0.255568,0.284055,0.310024,0.416310,0.137859,0.324772,0.200044,0.040300,17.000000,7.000000,0,0.001719,0.000887,0.751358,0.522548,0.988354,0.515521,0.690725,0,0,0,0,110.671380,
7807,2.711330,1.206286,3.217452,1.174810,2.757274,0.890127,0.012550,0.217230,0.015042,0.086338,0.014253,0.321084,0.053997,0.650951,0.777662,0.593664,0.169609,0.003871,0.141399,0.906698,0.486821,0.306844,0.324359,0.716978,0.000832,0.147660,0.952799,0.326432,0.480199,0.005645,0.236919,34.400000,21.000000,0,0.000908,0.000592,0.926003,0.965500,0.559722,1.000000,0.519693,0,0,0,0,110.437371,
7808,2.700083,2.041745,2.033587,3.262151,1.596049,0.459387,0.301229,0.325811,0.116956,0.031943,0.174337,0.295427,0.080440,0.313317,0.292184,0.122011,0.048487,0.111997,0.354314,0.745256,0.662868,0.495970,0.183917,0.684307,0.280665,0.276855,0.461816,0.195134,0.097137,0.008714,0.068008,28.000000,12.000000,0,0.001053,0.000576,0.933991,0.665423,0.650516,0.756053,0.667295,0,0,0,0,111.980250,
7815,2.276025,1.738116,1.522878,3.941331,1.398383,0.245009,0.147881,0.636064,0.260803,0.138962,0.363917,0.334433,0.181828,0.152216,0.453710,0.038077,0.106621,0.112757,0.109992,0.275306,0.180445,0.257931,0.375456,0.778180,0.240122,0.036663,0.785293,0.382997,0.484346,0.097319,0.286992,41.200000,34.000000,0,0.001862,0.000817,0.962060,0.848475,0.764791,0.516958,0.786068,0,0,0,0,53.787781,
7809,4.549765,1.590942,3.740245,1.286383,2.823898,0.722509,0.202615,0.601427,0.279030,0.167530,0.518915,0.000281,0.167248,0.552361,0.872916,0.607064,0.289467,0.193270,0.166307,0.132005,0.162586,0.102162,0.309759,0.344880,0.034356,0.065265,0.934576,0.254638,0.685962,0.198096,0.246389,14.600000,4.000000,0,0.003441,0.001263,0.875180,0.881159,0.539281,0.999627,0.600980,0,0,0,0,111.325412,
7811,1.132250,0.816492,3.162916,2.126853,2.588079,0.004356,0.078902,0.083487,0.040252,0.094335,0.327236,0.390323,0.125065,0.459961,0.153884,0.455431,0.246628,0.235291,0.204341,0.462113,0.283411,0.369811,0.232256,0.022893,0.142022,0.335316,0.719741,0.033504,0.430906,0.126765,0.158608,50.800000,38.000000,0,0.001857,0.000797,0.998986,1.224752,0.473889,0.675722,0.475256,0,0,0,0,109.655192,
7812,1.829255,2.971956,3.393412,2.076629,1.998373,0.290038,0.488102,0.353259,0.186443,0.176178,0.561870,0.491459,0.036226,0.648149,0.099825,0.371847,0.156268,0.289902,0.059965,0.558569,0.580242,0.384215,0.027121,0.114618,0.105864,0.176190,0.029077,0.357116,0.041542,0.065956,0.086382,43.200000,36.000000,0,0.001719,0.000719,0.986684,0.531551,0.498553,0.789207,0.470478,0,0,0,0,111.854932,
7814,4.473332,2.186771,2.845379,1.416338,2.976617,0.952466,0.355839,0.186730,0.097683,0.061956,0.019326,0.117891,0.069019,0.391687,0.881312,0.698471,0.364146,0.181964,0.323096,0.849495,0.374306,0.151723,0.105868,0.242609,0.072905,0.224391,0.314227,0.073604,0.285682,0.296992,0.033611,15.600000,3.000000,0,0.001180,0.000613,0.775724,0.532735,0.689528,0.974993,0.441134,0,0,0,0,110.200480,
7813,3.921139,1.219335,2.474846,2.531037,3.920182,0.528622,0.008667,0.125494,0.022043,0.024271,0.217345,0.212451,0.124008,0.234106,0.547696,0.320962,0.431427,0.014193,0.273130,0.070258,0.079786,0.025566,0.254399,0.450141,0.197495,0.362756,0.617315,0.170659,0.586297,0.175988,0.189837,18.200000,15.000000,0,0.001032,0.000464,0.706873,0.973485,0.570092,0.616637,0.378676,0,0,0,0,111.328988,
7817,4.050573,0.997392,1.707187,1.937356,1.778370,0.835863,0.050342,0.154798,0.015984,0.122897,0.059431,0.039147,0.037781,0.087951,0.196261,0.278636,0.216290,0.053968,0.290751,0.419554,0.000631,0.430107,0.355112,0.412301,0.075285,0.098935,0.392761,0.317946,0.063006,0.082242,0.223580,17.800000,10.000000,0,0.003091,0.001560,0.802191,1.002615,0.774279,0.937788,0.621168,0,0,0,0,96.883623,
7816,2.201044,2.678242,2.661047,2.763925,2.651124,0.096057,0.445815,0.405463,0.150539,0.078021,0.414895,0.256698,0.100567,0.417655,0.654386,0.414201,0.442107,0.250140,0.079258,0.954680,0.550007,0.042173,0.126259,0.172770,0.209689,0.262082,0.992032,0.131825,0.564150,0.272220,0.101375,46.200000,39.000000,0,0.002810,0.001066,0.960617,0.528439,0.603708,0.623197,0.544834,0,0,0,0,111.817093,
7823,2.776958,1.142434,3.918855,3.032593,3.154826,0.326991,0.105074,0.032662,0.071731,0.195996,0.124208,0.373208,0.011677,0.605679,0.599352,0.497757,0.398678,0.275216,0.234559,0.050149,0.335507,0.211852,0.333117,0.064737,0.170545,0.002944,0.260813,0.446397,0.254198,0.220530,0.178634,23.600000,17.000000,0,0.001431,0.000763,0.908353,0.979979,0.498875,0.455233,0.386623,0,0,0,0,60.726007,
