step,attack_g,honest_g,difference
0,1.4396032795796172,1.4396032795796172,0.0
1,1.2974332295956406,1.2974332295956406,0.0
2,1.2026119852656398,1.2026119852656398,0.0
3,1.1429416945431121,1.1429416945431121,0.0
4,1.1382422044094977,1.1382422044094977,0.0
5,1.1021926224022793,1.1021926224022793,0.0
6,1.0680424151743972,1.0680424151743972,0.0
7,1.0748092669656146,1.0748092669656146,0.0
8,1.0144356545786752,1.0144356545786752,0.0
9,1.0531907517071402,1.0531907517071402,0.0
10,1.0385499960934685,1.0385499960934685,0.0
11,1.0191635285377305,1.0191635285377305,0.0
12,0.9858845032056038,0.9858845032056038,0.0
13,0.9447130720750729,0.9447130720750729,0.0
14,0.9973474319302289,0.9973474319302289,0.0
15,0.9773504911497194,0.9773504911497194,0.0
16,0.9459286785030055,0.9459286785030055,0.0
17,0.9572111837626539,0.9572111837626539,0.0
18,0.9421363110003166,0.9421363110003166,0.0
19,0.934932179684728,0.934932179684728,0.0
20,0.9241077760285209,0.9241077760285209,0.0
21,0.9061399612842509,0.9061399612842509,0.0
22,0.8916487807851725,0.8916487807851725,0.0
23,0.9114838911425102,0.9114838911425102,0.0
24,0.920438819766226,0.920438819766226,0.0
25,0.9219109889222483,0.9219109889222483,0.0
26,0.9211417888165567,0.9211417888165567,0.0
27,0.9051977965770688,0.9051977965770688,0.0
28,0.9092491685852576,0.9092491685852576,0.0
29,0.9197989536821304,0.9197989536821304,0.0
30,0.9309136208375502,0.9309136208375502,0.0
31,0.9340497707184774,0.9340497707184774,0.0
32,0.9463264308304788,0.9463264308304788,0.0
33,0.9296466453366816,0.9296466453366816,0.0
34,0.9146266730325336,0.9146266730325336,0.0
35,0.8959442038297905,0.8959442038297905,0.0
36,0.9127176547068326,0.9127176547068326,0.0
37,0.9366963400910345,0.9366963400910345,0.0
38,0.9614677097607378,0.9614677097607378,0.0
39,0.9574595367127043,0.9574595367127043,0.0
40,0.9629676400897008,0.9629676400897008,0.0
41,0.9768360497267523,0.9768360497267523,0.0
42,0.9740423032040968,0.9740423032040968,0.0
43,0.9783644832728413,0.9783644832728413,0.0
44,0.9915506942756083,0.9915506942756083,0.0
45,0.9633908775880285,0.9633908775880285,0.0
46,0.9456436985639074,0.9456436985639074,0.0
47,0.9436229599869878,0.9436229599869878,0.0
48,0.9420195440256761,0.9420195440256761,0.0
49,0.9391031276354406,0.9391031276354406,0.0
50,0.9764126565440168,0.9762697721494853,0.00014288439453147284
51,0.9680969589350389,0.9676526514430019,0.00044430749203694386
52,0.9554230882597429,0.9545839861947916,0.0008391020649513026
53,0.9794416033359311,0.9780619436624299,0.0013796596735011768
54,0.9740829920325234,0.9720785633324138,0.0020044287001095284
55,0.9718447084030433,0.9690895201929742,0.0027551882100690372
56,0.9588136659915832,0.955236164762973,0.003577501228610225
57,0.9571917556126628,0.9526515781983977,0.004540177414265045
58,0.9551419603314584,0.9495703407464537,0.005571619585004628
59,0.9441516898900527,0.9374677058552998,0.006683984034752899
60,0.9459641250770255,0.9345900427654731,0.011374082311552458
61,0.9406318961711553,0.9283119451468808,0.012319951024274522
62,0.9369816457116329,0.9235630372281693,0.013418608483463546
63,0.9525160656035043,0.9320565827493054,0.020459482854198963
64,0.9678355694979558,0.9323791891137522,0.03545638038420362
65,0.9469495905983402,0.9364907845431029,0.010458806055237302
66,0.9752135785620731,0.9318188265714038,0.043394751990669334
67,0.9864331377679645,0.925449699072723,0.060983438695241476
68,0.9938351806362686,0.968499207856905,0.025335972779363614
69,0.9753272131720139,0.9760912389480783,-0.0007640257760643809
70,0.9828287035866996,0.9541677312901894,0.028660972296510212
71,0.975041836905629,0.9577145491493174,0.017327287756311538
72,0.9642153920524985,0.9492663066438206,0.014949085408677898
73,0.9525727222203121,0.9551002373075869,-0.0025275150872747787
74,0.9700526376711213,0.9509284205665003,0.019124217104620977
75,0.9684703359260888,0.9942615383118051,-0.025791202385716305
76,1.000603477673236,1.0190967684317445,-0.018493290758508474
77,1.0015498851080777,1.0010925921112288,0.00045729299684893476
78,0.9950015516666266,0.9795593642024453,0.015442187464181356
79,1.0055674521752842,0.9815899547292504,0.023977497446033835
80,1.0149559715802563,1.0031054008632598,0.011850570716996467
81,1.0172592759283368,0.9878413726704454,0.029417903257891398
82,1.0137674683656908,0.9788797415566449,0.03488772680904584
83,1.0153604527922746,0.9586068260091664,0.056753626783108246
84,1.0361309812372335,0.9553382044460467,0.0807927767911868
85,1.0311014807938979,0.9534187272050566,0.07768275358884125
86,1.0400709098619527,0.9395000875894626,0.10057082227249015
87,1.0100089253221896,0.9451549111056028,0.06485401421658676
88,0.9927842398457254,0.9583607179059049,0.034423521939820456
89,0.9776957797654376,0.9635854502422877,0.014110329523149945
90,0.9891984233981542,0.947475635406825,0.041722787991329224
91,1.022674023598001,0.9517873103458546,0.07088671325214635
92,1.0126746977057086,0.9782978044113029,0.03437689329440574
93,0.9965223460592072,0.9927273483723856,0.0037949976868215662
94,1.01621776396265,0.970919370944627,0.045298393018022964
95,1.0195886461571733,0.9609728297160999,0.05861581644107339
96,1.0093050247570765,0.9775266959685354,0.031778328788541144
97,0.9951077682046805,0.9754574427610732,0.01965032544360734
98,1.0037455286442372,0.9524058781269744,0.05133965051726275
99,0.9985396734415369,0.9366314349177853,0.0619082385237516
100,0.994179782719221,0.940522038852544,0.05365774386667699
101,0.9987897904709095,0.972572831719014,0.026216958751895558
102,0.9992392339322921,0.9609112510224906,0.03832798290980144
103,0.9941287003738175,0.9885965758577905,0.005532124516027026
104,0.9968390657341006,0.9976383051706301,-0.0007992394365294864
105,1.008505338512989,0.9970018118324017,0.011503526680587295
106,0.9871406042261475,0.9856823940212449,0.0014582102049025547
107,0.9755986811969833,0.97110709237389,0.0044915888230933065
108,0.9929625156106945,0.9945057536788232,-0.0015432380681287272
109,0.9801473719463799,1.003503151847802,-0.023355779901422014
110,0.9620385801990812,0.9826397285936395,-0.02060114839455829
111,0.9604197961669851,0.9591499466580764,0.001269849508908738
112,0.957083782129431,0.9625199185880425,-0.005436136458611518
113,0.9495271860446179,0.9602001740794818,-0.010672988034863828
114,0.9590844742348313,0.9436591469362701,0.015425327298561275
115,0.9646837211739411,0.9346328944540444,0.030050826719896673
116,0.9677713674772915,0.9798959040542308,-0.012124536576939238
117,0.9490212361406138,0.9745789679622637,-0.025557731821649887
118,0.9868035489420378,0.987841059100682,-0.0010375101586441726
119,0.9757506050685331,1.0050865694657791,-0.02933596439724606
120,0.9965973822081297,1.0179283167107467,-0.021330934502617027
121,0.9844950521516321,0.9909309559161326,-0.006435903764500428
122,0.9610128861316481,1.0176438994150454,-0.05663101328339726
123,0.9541356959453775,1.0215860041712903,-0.0674503082259128
124,0.964309494970852,1.0153312212040697,-0.05102172623321766
125,0.9587711136866662,0.9954085133135702,-0.03663739962690393
126,0.9503754511341622,0.9957107761308058,-0.04533532499664361
127,0.958301773262523,0.9979456654488463,-0.03964389218632336
128,0.933587455897482,0.993893640856387,-0.06030618495890494
129,0.9328016839406303,0.9840658958889766,-0.051264211948346294
130,0.9492177126028729,1.022101747923304,-0.0728840353204312
131,0.9420474752273076,1.0297901719282216,-0.08774269670091406
132,0.9553887202983397,1.004698269365912,-0.049309549067572234
