candidate_index,x_compute,x_bio_welfare,x_novelty_agency,x_institutional_capacity,x_transfer_comprehension,x_resilience,c_protective,c_suppressive,total_suppression,score_projection_off,score_projection_on
0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3,0.1,0.1315,113.3414555622682,113.3613417436164
1,0.5,0.1,0.1,0.1,0.15,0.05,0.3,0.1,0.1315,74.10237744073034,74.05536169979545
2,0.1,0.5,0.1,0.1,0.1,0.1,0.3,0.1,0.1315,98.86906139575271,98.88509967212723
3,0.1,0.1,0.5,0.1,0.1,0.1,0.3,0.1,0.1315,71.90675648692263,71.859909798389
4,0.1,0.1,0.1,0.5,0.1,0.1,0.3,0.1,0.1315,78.61457704599503,78.54548462361946
5,0.1,0.1,0.1,0.1,0.5,0.1,0.3,0.1,0.1315,90.38379100949811,90.20021710254319
6,0.1,0.1,0.1,0.1,0.1,0.5,0.3,0.1,0.1315,71.90675648692263,71.859909798389
7,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,113.3414555622682,113.36228584174854
8,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8,0.0,0.22400000000000003,113.3414555622682,113.35348627268657
9,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.8,0.8,113.3414555622682,74.52939556754694
10,0.3,0.1,0.1,0.1,0.3,0.1,0.3,0.1,0.1315,92.4529188599632,92.31320040567502
11,0.1,0.3,0.3,0.1,0.1,0.1,0.3,0.1,0.1315,97.74832569002841,97.76391870451806
12,0.1,0.1,0.1,0.3,0.1,0.3,0.5,0.1,0.1875,78.61457704599503,78.48642233856344
13,0.1,0.1,0.6,0.1,0.05,0.05,0.1,0.0,0.0035000000000000005,67.10508419352969,67.102253403696
14,0.05,0.1,0.1,0.1,0.6,0.05,0.3,0.1,0.1315,89.1917172092214,88.99843986032248
15,0.6,0.1,0.1,0.1,0.0,0.1,0.3,0.1,0.1315,60.728580774970624,60.7178093387511
16,0.1,0.5,0.05,0.1,0.2,0.05,0.6,0.4,0.526,107.88590800871283,106.05400201535944
17,0.05,0.05,0.05,0.1,0.05,0.7,0.3,0.1,0.1315,57.40188873254247,57.320075857437125
18,0.1,0.1,0.1,0.3,0.3,0.1,0.4,0.1,0.15600000000000003,102.88964054940922,102.55471205921877
19,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.5,0.5875,113.3414555622682,107.98976884482336
20,0.17063394275455726,0.1000746356663982,0.42743236476645036,0.166034245675083,0.11256199197136305,0.023262819166148203,0.0,0.0,0.0,74.82777374757173,74.8189991050863
21,0.013674427766275102,0.28011983036655785,0.06549557021590857,0.3309396359036854,0.09744252497166295,0.21232801077591024,0.0,0.2,0.2,108.72045434075768,108.73560495428013
22,0.30536444953286446,0.07336752852698278,0.20436248775113944,0.21031607447639494,0.032123407674841134,0.17446605203777713,0.0,0.4,0.4,60.24845984510765,59.56915828337619
23,0.08037999038060135,0.4027630061773535,0.13021918787308293,0.047807754064999486,0.24686682005804012,0.09196324144592266,0.0,0.6,0.6,103.99245182348022,98.97454455552469
24,0.09761655757148135,0.12083042032456989,0.026789560959107193,0.1988839388189575,0.2466860103559064,0.3091935119699777,0.0,0.8,0.8,105.3242680117316,64.09502439674205
25,0.07109585532544013,0.06814817972310837,0.48911674701153707,0.2424040036806266,0.014732736215711565,0.11450247804357623,0.0,1.0,1.0,60.539581809125146,42.06810694703206
26,0.09402190364164835,0.2753197152657904,0.15546254539280785,0.3153601035626775,0.08612679591330577,0.07370893622377016,0.2,0.0,0.014000000000000002,111.89687626909502,111.91727728649
