arm,defense_arm,seed,steps_completed,last_completed_step,end_reason,final_population,g_steps,population_step_149,population_step_160,shock_loss,resilience_stock_step_49,depletion_step,no_alarm_before_150,VETO_entry_step,CONSENSUS_entry_step,held_action_attack_modified,audit_file,recorded_steps_equal_completed,elapsed_seconds,entropy_first_alarm_step,g_first_alarm_step,A_first_alarm_step,entropy_alarm_minus_depletion,g_alarm_minus_depletion,A_alarm_minus_depletion,imposed_resilience_audit
A1-high,GRADED,1835087819,300,299,step_limit,261,18,281,182,99,0.3977364615858858,150,True,154,162,True,defense_heldout_run_a5_run_A1_high_GRADED_1835087819_audit_attempt1.json,True,698.4590068000252,162,154,null,12,4,null,defense_heldout_run_a5_run_A1_high_GRADED_1835087819_audit_attempt1.json
A1-high,OFF,1835087800,300,299,step_limit,285,31,283,177,106,0.3831435949920704,150,True,null,null,False,defense_heldout_run_a5_run_A1_high_OFF_1835087800_audit_attempt1.json,True,692.4933430000092,156,153,153,6,3,3,defense_heldout_run_a5_run_A1_high_OFF_1835087800_audit_attempt1.json
A1-high,OFF,1835087801,300,299,step_limit,272,23,342,221,121,0.40522558678434967,150,True,null,null,False,defense_heldout_run_a5_run_A1_high_OFF_1835087801_audit_attempt1.json,True,697.245539399999,159,151,155,9,1,5,defense_heldout_run_a5_run_A1_high_OFF_1835087801_audit_attempt1.json
A1-high,OFF,1835087802,300,299,step_limit,286,25,307,213,94,0.46245609521945497,150,True,null,null,False,defense_heldout_run_a5_run_A1_high_OFF_1835087802_audit_attempt1.json,True,689.6344794000033,162,154,155,12,4,5,defense_heldout_run_a5_run_A1_high_OFF_1835087802_audit_attempt1.json
A1-high,OFF,1835087803,300,299,step_limit,298,23,378,248,130,0.39091012510571455,150,True,null,null,False,defense_heldout_run_a5_run_A1_high_OFF_1835087803_audit_attempt1.json,True,689.8105235999974,255,155,null,105,5,null,defense_heldout_run_a5_run_A1_high_OFF_1835087803_audit_attempt1.json
A1-high,OFF,1835087804,300,299,step_limit,324,23,328,197,131,0.4187432641564,150,True,null,null,False,defense_heldout_run_a5_run_A1_high_OFF_1835087804_audit_attempt1.json,True,693.7442830000073,158,152,152,8,2,2,defense_heldout_run_a5_run_A1_high_OFF_1835087804_audit_attempt1.json
A1-high,OFF,1835087805,300,299,step_limit,286,27,280,173,107,0.3769799683113308,150,True,null,null,False,defense_heldout_run_a5_run_A1_high_OFF_1835087805_audit_attempt1.json,True,693.521149600012,159,153,154,9,3,4,defense_heldout_run_a5_run_A1_high_OFF_1835087805_audit_attempt1.json
A1-high,OFF,1835087806,300,299,step_limit,304,29,357,221,136,0.4234262365845461,150,True,null,null,False,defense_heldout_run_a5_run_A1_high_OFF_1835087806_audit_attempt1.json,True,692.6690059999819,157,152,156,7,2,6,defense_heldout_run_a5_run_A1_high_OFF_1835087806_audit_attempt1.json
A1-high,OFF,1835087807,300,299,step_limit,344,23,324,192,132,0.47164174327803493,150,True,null,null,False,defense_heldout_run_a5_run_A1_high_OFF_1835087807_audit_attempt1.json,True,689.8064388999774,158,153,154,8,3,4,defense_heldout_run_a5_run_A1_high_OFF_1835087807_audit_attempt1.json
A1-high,OFF,1835087808,300,299,step_limit,189,25,338,195,143,0.437366858499616,150,True,null,null,False,defense_heldout_run_a5_run_A1_high_OFF_1835087808_audit_attempt1.json,True,684.6539062999946,160,154,155,10,4,5,defense_heldout_run_a5_run_A1_high_OFF_1835087808_audit_attempt1.json
A1-high,OFF,1835087809,300,299,step_limit,305,27,302,194,108,0.3742058996491991,150,True,null,null,False,defense_heldout_run_a5_run_A1_high_OFF_1835087809_audit_attempt1.json,True,691.3993209000037,160,155,152,10,5,2,defense_heldout_run_a5_run_A1_high_OFF_1835087809_audit_attempt1.json
A1-high,OFF,1835087810,300,299,step_limit,305,21,375,230,145,0.4577400451599292,150,True,null,null,False,defense_heldout_run_a5_run_A1_high_OFF_1835087810_audit_attempt1.json,True,692.1277641000052,160,154,152,10,4,2,defense_heldout_run_a5_run_A1_high_OFF_1835087810_audit_attempt1.json
A1-high,OFF,1835087811,300,299,step_limit,232,21,291,174,117,0.43887472598029326,150,True,null,null,False,defense_heldout_run_a5_run_A1_high_OFF_1835087811_audit_attempt1.json,True,687.4481868000003,157,155,156,7,5,6,defense_heldout_run_a5_run_A1_high_OFF_1835087811_audit_attempt1.json
A1-high,OFF,1835087812,300,299,step_limit,307,31,341,211,130,0.4409326607762216,150,True,null,null,False,defense_heldout_run_a5_run_A1_high_OFF_1835087812_audit_attempt1.json,True,687.3830189,157,153,null,7,3,null,defense_heldout_run_a5_run_A1_high_OFF_1835087812_audit_attempt1.json
A1-high,OFF,1835087813,300,299,step_limit,256,27,317,204,113,0.4192326751411119,150,True,null,null,False,defense_heldout_run_a5_run_A1_high_OFF_1835087813_audit_attempt1.json,True,685.3071037999762,169,155,null,19,5,null,defense_heldout_run_a5_run_A1_high_OFF_1835087813_audit_attempt1.json
A1-high,OFF,1835087814,300,299,step_limit,313,24,313,208,105,0.3819889253811108,150,True,null,null,False,defense_heldout_run_a5_run_A1_high_OFF_1835087814_audit_attempt1.json,True,694.9217680000002,171,154,null,21,4,null,defense_heldout_run_a5_run_A1_high_OFF_1835087814_audit_attempt1.json
A1-high,OFF,1835087815,300,299,step_limit,277,30,314,198,116,0.46987604600523875,150,True,null,null,False,defense_heldout_run_a5_run_A1_high_OFF_1835087815_audit_attempt1.json,True,694.498610700015,164,155,null,14,5,null,defense_heldout_run_a5_run_A1_high_OFF_1835087815_audit_attempt1.json
A1-high,OFF,1835087816,300,299,step_limit,261,31,328,239,89,0.42234883864439077,150,True,null,null,False,defense_heldout_run_a5_run_A1_high_OFF_1835087816_audit_attempt1.json,True,697.4523050000134,163,156,null,13,6,null,defense_heldout_run_a5_run_A1_high_OFF_1835087816_audit_attempt1.json
A1-high,OFF,1835087817,300,299,step_limit,242,27,339,200,139,0.42175300437393975,150,True,null,null,False,defense_heldout_run_a5_run_A1_high_OFF_1835087817_audit_attempt1.json,True,685.4314457,167,155,155,17,5,5,defense_heldout_run_a5_run_A1_high_OFF_1835087817_audit_attempt1.json
A1-high,OFF,1835087818,300,299,step_limit,326,26,333,200,133,0.5298705119348208,150,True,null,null,False,defense_heldout_run_a5_run_A1_high_OFF_1835087818_audit_attempt1.json,True,686.6751868999854,152,153,154,2,3,4,defense_heldout_run_a5_run_A1_high_OFF_1835087818_audit_attempt1.json
A1-high,OFF,1835087819,300,299,step_limit,210,15,281,182,99,0.3977364615858858,150,True,null,null,False,defense_heldout_run_a5_run_A1_high_OFF_1835087819_audit_attempt1.json,True,692.6270406999975,158,154,156,8,4,6,defense_heldout_run_a5_run_A1_high_OFF_1835087819_audit_attempt1.json
A1-low,GRADED,1835087800,300,299,step_limit,301,17,283,179,104,0.3831435949920704,150,True,153,165,True,defense_heldout_run_a5_run_A1_low_GRADED_1835087800_audit_attempt1.json,True,694.9000623000029,165,153,null,15,3,null,defense_heldout_run_a5_run_A1_low_GRADED_1835087800_audit_attempt1.json
A1-low,GRADED,1835087801,300,299,step_limit,324,24,342,236,106,0.40522558678434967,150,True,151,158,True,defense_heldout_run_a5_run_A1_low_GRADED_1835087801_audit_attempt1.json,True,699.5162229000125,null,151,null,null,1,null,defense_heldout_run_a5_run_A1_low_GRADED_1835087801_audit_attempt1.json
A1-low,GRADED,1835087802,300,299,step_limit,320,17,307,204,103,0.46245609521945497,150,True,154,159,True,defense_heldout_run_a5_run_A1_low_GRADED_1835087802_audit_attempt1.json,True,695.9740680999821,183,154,159,33,4,9,defense_heldout_run_a5_run_A1_low_GRADED_1835087802_audit_attempt1.json
