run_id,seed,step,total_suppression,c_suppressive,c_protective,population,adapter_active,adapter_score
baseline_seed1835086201,1835086201,0,0.326,0.2,0.6,204,False,0.0
baseline_seed1835086201,1835086201,1,0.4,0.4,0.0,204,False,0.0
baseline_seed1835086201,1835086201,2,1.0,1.0,0.0,207,False,0.0
baseline_seed1835086201,1835086201,3,0.456,0.4,0.4,212,False,0.0
baseline_seed1835086201,1835086201,4,0.6,0.6,0.0,213,False,0.0
baseline_seed1835086201,1835086201,5,0.614,0.6,0.2,217,False,0.0
baseline_seed1835086201,1835086201,6,1.0,1.0,0.8,219,False,0.0
baseline_seed1835086201,1835086201,7,1.0,1.0,0.2,217,False,0.0
baseline_seed1835086201,1835086201,8,0.0,0.0,0.0,213,False,0.0
baseline_seed1835086201,1835086201,9,0.614,0.6,0.2,214,False,0.0
baseline_seed1835086201,1835086201,10,0.2,0.2,0.0,221,False,0.0
baseline_seed1835086201,1835086201,11,0.326,0.2,0.6,226,False,0.0
baseline_seed1835086201,1835086201,12,0.126,0.0,0.6,228,False,0.0
baseline_seed1835086201,1835086201,13,0.456,0.4,0.4,224,False,0.0
baseline_seed1835086201,1835086201,14,0.014000000000000002,0.0,0.2,229,False,0.0
baseline_seed1835086201,1835086201,15,0.41400000000000003,0.4,0.2,236,False,0.0
baseline_seed1835086201,1835086201,16,1.0,1.0,0.8,225,False,0.0
baseline_seed1835086201,1835086201,17,0.21400000000000002,0.2,0.2,223,False,0.0
baseline_seed1835086201,1835086201,18,1.0,1.0,0.6,226,False,0.0
baseline_seed1835086201,1835086201,19,0.8560000000000001,0.8,0.4,232,False,0.0
baseline_seed1835086201,1835086201,20,0.526,0.4,0.6,229,False,0.0
baseline_seed1835086201,1835086201,21,0.22400000000000003,0.0,0.8,237,False,0.0
baseline_seed1835086201,1835086201,22,0.0,0.0,0.0,241,False,0.0
baseline_seed1835086201,1835086201,23,0.0,0.0,0.0,240,False,0.0
baseline_seed1835086201,1835086201,24,0.75,0.4,1.0,246,False,0.0
baseline_seed1835086201,1835086201,25,0.35,0.0,1.0,243,False,0.0
baseline_seed1835086201,1835086201,26,0.8140000000000001,0.8,0.2,241,False,0.0
baseline_seed1835086201,1835086201,27,0.8240000000000001,0.6,0.8,242,False,0.0
baseline_seed1835086201,1835086201,28,0.656,0.6,0.4,244,False,0.0
baseline_seed1835086201,1835086201,29,0.8140000000000001,0.8,0.2,245,False,0.0
baseline_seed1835086201,1835086201,30,0.614,0.6,0.2,255,False,0.0
baseline_seed1835086201,1835086201,31,1.0,1.0,0.4,259,False,0.0
baseline_seed1835086201,1835086201,32,0.8560000000000001,0.8,0.4,258,False,0.0
baseline_seed1835086201,1835086201,33,0.256,0.2,0.4,258,False,0.0
baseline_seed1835086201,1835086201,34,1.0,1.0,1.0,255,False,0.0
baseline_seed1835086201,1835086201,35,0.42400000000000004,0.2,0.8,258,False,0.0
baseline_seed1835086201,1835086201,36,1.0,1.0,0.6,269,False,0.0
baseline_seed1835086201,1835086201,37,0.656,0.6,0.4,276,False,0.0
baseline_seed1835086201,1835086201,38,0.75,0.4,1.0,280,False,0.0
baseline_seed1835086201,1835086201,39,0.21400000000000002,0.2,0.2,285,False,0.0
baseline_seed1835086201,1835086201,40,0.014000000000000002,0.0,0.2,291,False,0.0
baseline_seed1835086201,1835086201,41,1.0,1.0,0.4,289,False,0.0
baseline_seed1835086201,1835086201,42,0.6240000000000001,0.4,0.8,293,False,0.0
baseline_seed1835086201,1835086201,43,1.0,1.0,0.2,299,False,0.0
baseline_seed1835086201,1835086201,44,0.256,0.2,0.4,300,False,0.0
baseline_seed1835086201,1835086201,45,0.05600000000000001,0.0,0.4,299,False,0.0
baseline_seed1835086201,1835086201,46,0.926,0.8,0.6,297,False,0.0
baseline_seed1835086201,1835086201,47,0.8,0.8,0.0,301,False,0.0
baseline_seed1835086201,1835086201,48,0.0,0.0,0.0,302,False,0.0
baseline_seed1835086201,1835086201,49,0.22400000000000003,0.0,0.8,300,False,0.0
baseline_seed1835086201,1835086201,50,0.22400000000000003,0.0,0.8,295,False,0.0
baseline_seed1835086201,1835086201,51,1.0,0.8,1.0,292,False,0.0
baseline_seed1835086201,1835086201,52,0.6240000000000001,0.4,0.8,288,False,0.0
baseline_seed1835086201,1835086201,53,0.6240000000000001,0.4,0.8,287,False,0.0
baseline_seed1835086201,1835086201,54,0.656,0.6,0.4,283,False,0.0
baseline_seed1835086201,1835086201,55,1.0,1.0,0.8,282,False,0.0
baseline_seed1835086201,1835086201,56,1.0,0.8,0.8,287,False,0.0
baseline_seed1835086201,1835086201,57,0.456,0.4,0.4,285,False,0.0
baseline_seed1835086201,1835086201,58,0.526,0.4,0.6,290,False,0.0
baseline_seed1835086201,1835086201,59,0.126,0.0,0.6,300,False,0.0
baseline_seed1835086201,1835086201,60,0.6240000000000001,0.4,0.8,306,False,0.0
baseline_seed1835086201,1835086201,61,0.35,0.0,1.0,306,False,0.0
baseline_seed1835086201,1835086201,62,1.0,1.0,0.4,307,False,0.0
baseline_seed1835086201,1835086201,63,0.4,0.4,0.0,312,False,0.0
baseline_seed1835086201,1835086201,64,0.2,0.2,0.0,311,False,0.0
baseline_seed1835086201,1835086201,65,1.0,1.0,0.6,301,False,0.0
baseline_seed1835086201,1835086201,66,1.0,0.8,1.0,308,False,0.0
baseline_seed1835086201,1835086201,67,0.0,0.0,0.0,300,False,0.0
baseline_seed1835086201,1835086201,68,0.926,0.8,0.6,299,False,0.0
baseline_seed1835086201,1835086201,69,0.6,0.6,0.0,298,False,0.0
baseline_seed1835086201,1835086201,70,0.42400000000000004,0.2,0.8,303,False,0.0
baseline_seed1835086201,1835086201,71,0.35,0.0,1.0,296,False,0.0
baseline_seed1835086201,1835086201,72,1.0,1.0,0.0,301,False,0.0
baseline_seed1835086201,1835086201,73,0.256,0.2,0.4,294,False,0.0
baseline_seed1835086201,1835086201,74,1.0,0.8,1.0,301,False,0.0
baseline_seed1835086201,1835086201,75,0.21400000000000002,0.2,0.2,300,False,0.0
baseline_seed1835086201,1835086201,76,0.95,0.6,1.0,300,False,0.0
baseline_seed1835086201,1835086201,77,0.8240000000000001,0.6,0.8,309,False,0.0
baseline_seed1835086201,1835086201,78,0.8560000000000001,0.8,0.4,316,False,0.0
baseline_seed1835086201,1835086201,79,0.456,0.4,0.4,326,False,0.0
baseline_seed1835086201,1835086201,80,0.614,0.6,0.2,331,False,0.0
baseline_seed1835086201,1835086201,81,0.0,0.0,0.0,327,False,0.0
baseline_seed1835086201,1835086201,82,0.6,0.6,0.0,321,False,0.0
baseline_seed1835086201,1835086201,83,1.0,0.8,0.8,321,False,0.0
baseline_seed1835086201,1835086201,84,0.41400000000000003,0.4,0.2,321,False,0.0
baseline_seed1835086201,1835086201,85,0.614,0.6,0.2,320,False,0.0
baseline_seed1835086201,1835086201,86,0.8240000000000001,0.6,0.8,330,False,0.0
baseline_seed1835086201,1835086201,87,0.614,0.6,0.2,332,False,0.0
baseline_seed1835086201,1835086201,88,0.95,0.6,1.0,326,False,0.0
baseline_seed1835086201,1835086201,89,0.456,0.4,0.4,326,False,0.0
baseline_seed1835086201,1835086201,90,1.0,0.8,0.8,332,False,0.0
baseline_seed1835086201,1835086201,91,0.8,0.8,0.0,339,False,0.0
baseline_seed1835086201,1835086201,92,0.55,0.2,1.0,347,False,0.0
baseline_seed1835086201,1835086201,93,0.8560000000000001,0.8,0.4,352,False,0.0
baseline_seed1835086201,1835086201,94,0.35,0.0,1.0,351,False,0.0
baseline_seed1835086201,1835086201,95,0.8140000000000001,0.8,0.2,345,False,0.0
baseline_seed1835086201,1835086201,96,0.95,0.6,1.0,356,False,0.0
baseline_seed1835086201,1835086201,97,0.8140000000000001,0.8,0.2,358,False,0.0
baseline_seed1835086201,1835086201,98,1.0,1.0,0.0,358,False,0.0
baseline_seed1835086201,1835086201,99,0.126,0.0,0.6,353,False,0.0
baseline_seed1835086201,1835086201,100,1.0,1.0,0.2,356,False,0.0
baseline_seed1835086201,1835086201,101,1.0,1.0,0.6,349,False,0.0
baseline_seed1835086201,1835086201,102,1.0,0.8,1.0,345,False,0.0
baseline_seed1835086201,1835086201,103,0.05600000000000001,0.0,0.4,338,False,0.0
baseline_seed1835086201,1835086201,104,0.8,0.8,0.0,335,False,0.0
baseline_seed1835086201,1835086201,105,0.95,0.6,1.0,329,False,0.0
baseline_seed1835086201,1835086201,106,0.8240000000000001,0.6,0.8,330,False,0.0
baseline_seed1835086201,1835086201,107,0.8,0.8,0.0,318,False,0.0
baseline_seed1835086201,1835086201,108,0.75,0.4,1.0,328,False,0.0
baseline_seed1835086201,1835086201,109,0.05600000000000001,0.0,0.4,331,False,0.0
baseline_seed1835086201,1835086201,110,0.8560000000000001,0.8,0.4,323,False,0.0
baseline_seed1835086201,1835086201,111,1.0,1.0,0.4,325,False,0.0
baseline_seed1835086201,1835086201,112,0.95,0.6,1.0,321,False,0.0
baseline_seed1835086201,1835086201,113,0.6,0.6,0.0,325,False,0.0
baseline_seed1835086201,1835086201,114,1.0,1.0,0.6,316,False,0.0
baseline_seed1835086201,1835086201,115,0.326,0.2,0.6,327,False,0.0
baseline_seed1835086201,1835086201,116,0.0,0.0,0.0,317,False,0.0
baseline_seed1835086201,1835086201,117,0.6,0.6,0.0,320,False,0.0
baseline_seed1835086201,1835086201,118,0.42400000000000004,0.2,0.8,312,False,0.0
baseline_seed1835086201,1835086201,119,0.55,0.2,1.0,311,False,0.0
baseline_seed1835086201,1835086201,120,0.526,0.4,0.6,308,False,0.0
baseline_seed1835086201,1835086201,121,1.0,1.0,0.0,310,False,0.0
baseline_seed1835086201,1835086201,122,0.05600000000000001,0.0,0.4,303,False,0.0
baseline_seed1835086201,1835086201,123,1.0,1.0,1.0,306,False,0.0
baseline_seed1835086201,1835086201,124,0.456,0.4,0.4,312,False,0.0
baseline_seed1835086201,1835086201,125,0.6,0.6,0.0,319,False,0.0
baseline_seed1835086201,1835086201,126,1.0,0.8,0.8,317,False,0.0
baseline_seed1835086201,1835086201,127,0.456,0.4,0.4,321,False,0.0
baseline_seed1835086201,1835086201,128,0.05600000000000001,0.0,0.4,328,False,0.0
baseline_seed1835086201,1835086201,129,1.0,1.0,0.4,329,False,0.0
baseline_seed1835086201,1835086201,130,0.456,0.4,0.4,332,False,0.0
baseline_seed1835086201,1835086201,131,1.0,0.8,1.0,331,False,0.0
baseline_seed1835086201,1835086201,132,0.95,0.6,1.0,331,False,0.0
baseline_seed1835086201,1835086201,133,0.326,0.2,0.6,331,False,0.0
baseline_seed1835086201,1835086201,134,0.75,0.4,1.0,330,False,0.0
baseline_seed1835086201,1835086201,135,0.21400000000000002,0.2,0.2,323,False,0.0
baseline_seed1835086201,1835086201,136,0.21400000000000002,0.2,0.2,325,False,0.0
baseline_seed1835086201,1835086201,137,0.456,0.4,0.4,333,False,0.0
baseline_seed1835086201,1835086201,138,0.75,0.4,1.0,332,False,0.0
baseline_seed1835086201,1835086201,139,1.0,1.0,0.4,332,False,0.0
baseline_seed1835086201,1835086201,140,0.8,0.8,0.0,336,False,0.0
baseline_seed1835086201,1835086201,141,0.95,0.6,1.0,325,False,0.0
baseline_seed1835086201,1835086201,142,0.75,0.4,1.0,325,False,0.0
baseline_seed1835086201,1835086201,143,1.0,0.8,1.0,326,False,0.0
baseline_seed1835086201,1835086201,144,0.21400000000000002,0.2,0.2,324,False,0.0
baseline_seed1835086201,1835086201,145,0.55,0.2,1.0,324,False,0.0
baseline_seed1835086201,1835086201,146,0.42400000000000004,0.2,0.8,326,False,0.0
baseline_seed1835086201,1835086201,147,0.526,0.4,0.6,330,False,0.0
baseline_seed1835086201,1835086201,148,0.014000000000000002,0.0,0.2,333,False,0.0
baseline_seed1835086201,1835086201,149,0.0,0.0,0.0,338,False,0.0
baseline_seed1835086201,1835086201,150,0.656,0.6,0.4,336,False,0.0
baseline_seed1835086201,1835086201,151,0.2,0.2,0.0,338,False,0.0
baseline_seed1835086201,1835086201,152,0.35,0.0,1.0,343,False,0.0
baseline_seed1835086201,1835086201,153,0.6240000000000001,0.4,0.8,336,False,0.0
baseline_seed1835086201,1835086201,154,0.526,0.4,0.6,336,False,0.0
baseline_seed1835086201,1835086201,155,0.014000000000000002,0.0,0.2,333,False,0.0
baseline_seed1835086201,1835086201,156,1.0,1.0,0.4,331,False,0.0
baseline_seed1835086201,1835086201,157,0.926,0.8,0.6,330,False,0.0
baseline_seed1835086201,1835086201,158,1.0,1.0,1.0,329,False,0.0
baseline_seed1835086201,1835086201,159,0.05600000000000001,0.0,0.4,328,False,0.0
baseline_seed1835086201,1835086201,160,0.0,0.0,0.0,323,False,0.0
baseline_seed1835086201,1835086201,161,0.456,0.4,0.4,319,False,0.0
baseline_seed1835086201,1835086201,162,0.05600000000000001,0.0,0.4,324,False,0.0
baseline_seed1835086201,1835086201,163,0.22400000000000003,0.0,0.8,323,False,0.0
baseline_seed1835086201,1835086201,164,0.8,0.8,0.0,319,False,0.0
baseline_seed1835086201,1835086201,165,0.614,0.6,0.2,305,False,0.0
baseline_seed1835086201,1835086201,166,0.456,0.4,0.4,304,False,0.0
baseline_seed1835086201,1835086201,167,0.456,0.4,0.4,304,False,0.0
baseline_seed1835086201,1835086201,168,0.05600000000000001,0.0,0.4,308,False,0.0
baseline_seed1835086201,1835086201,169,1.0,1.0,0.4,301,False,0.0
baseline_seed1835086201,1835086201,170,0.0,0.0,0.0,300,False,0.0
baseline_seed1835086201,1835086201,171,1.0,1.0,0.4,290,False,0.0
baseline_seed1835086201,1835086201,172,1.0,1.0,0.6,289,False,0.0
baseline_seed1835086201,1835086201,173,0.95,0.6,1.0,284,False,0.0
baseline_seed1835086201,1835086201,174,0.126,0.0,0.6,282,False,0.0
baseline_seed1835086201,1835086201,175,0.8240000000000001,0.6,0.8,283,False,0.0
baseline_seed1835086201,1835086201,176,0.2,0.2,0.0,288,False,0.0
baseline_seed1835086201,1835086201,177,0.326,0.2,0.6,280,False,0.0
baseline_seed1835086201,1835086201,178,0.614,0.6,0.2,276,False,0.0
baseline_seed1835086201,1835086201,179,0.656,0.6,0.4,279,False,0.0
baseline_seed1835086201,1835086201,180,0.256,0.2,0.4,278,False,0.0
baseline_seed1835086201,1835086201,181,0.656,0.6,0.4,279,False,0.0
baseline_seed1835086201,1835086201,182,1.0,1.0,0.4,276,False,0.0
baseline_seed1835086201,1835086201,183,1.0,1.0,1.0,290,False,0.0
baseline_seed1835086201,1835086201,184,1.0,1.0,0.2,295,False,0.0
baseline_seed1835086201,1835086201,185,1.0,0.8,0.8,293,False,0.0
baseline_seed1835086201,1835086201,186,0.21400000000000002,0.2,0.2,299,False,0.0
baseline_seed1835086201,1835086201,187,1.0,0.8,1.0,301,False,0.0
baseline_seed1835086201,1835086201,188,0.21400000000000002,0.2,0.2,297,False,0.0
baseline_seed1835086201,1835086201,189,0.926,0.8,0.6,304,False,0.0
baseline_seed1835086201,1835086201,190,0.256,0.2,0.4,312,False,0.0
baseline_seed1835086201,1835086201,191,0.6,0.6,0.0,312,False,0.0
baseline_seed1835086201,1835086201,192,0.41400000000000003,0.4,0.2,314,False,0.0
baseline_seed1835086201,1835086201,193,0.8140000000000001,0.8,0.2,317,False,0.0
baseline_seed1835086201,1835086201,194,0.0,0.0,0.0,325,False,0.0
baseline_seed1835086201,1835086201,195,0.75,0.4,1.0,328,False,0.0
baseline_seed1835086201,1835086201,196,0.014000000000000002,0.0,0.2,317,False,0.0
baseline_seed1835086201,1835086201,197,0.55,0.2,1.0,314,False,0.0
baseline_seed1835086201,1835086201,198,1.0,1.0,0.2,318,False,0.0
baseline_seed1835086201,1835086201,199,0.256,0.2,0.4,319,False,0.0
baseline_seed1835086201,1835086201,200,1.0,1.0,0.6,325,False,0.0
baseline_seed1835086201,1835086201,201,0.95,0.6,1.0,325,False,0.0
