action_modified,attack_attempted,attack_succeeded,branch_active,capture_rate,collapsed,contamination_occurred,defense_active,defense_fired,elapsed_seconds,end_reason,evaluated_yield_opportunities,executor_elapsed_seconds,extinct,final_population,final_u_sys_v2,honest_yield_opportunities,integrity_tamper_attempted,is_v2_mode,machine,max_total_suppression,min_resilience_stock,mode,n_candidates_v2,parameter_base_transition_cost,parameter_defense_active,passthrough_call_count,ratified_yields,replicate,rollout_steps_v2,schema_version,seed,steps_completed,steps_requested,succession_blocked,survived,vector,yield_checks,yield_condition_blocked_count,yield_condition_met_count,yield_manipulated
False,False,False,False,0.0,False,False,False,False,125.50752669999929,step_limit,1,125.54515960000572,False,309,95.4290310969921,1,False,True,YOTKOTEST,0.656,0.3117158366089814,full,300,1.5,False,250,1,0,20,attack-v2-row-v1,1835087077,300,300,False,True,measurement_tampering,250,0,1,False
False,False,False,False,0.0,False,False,False,False,124.45518620000075,step_limit,1,124.4876471000025,False,337,113.42701405112891,1,False,True,YOTKOTEST,0.656,0.30844204796128527,full,300,1.5,False,250,1,0,20,attack-v2-row-v1,1835087078,300,300,False,True,measurement_tampering,250,0,1,False
False,False,False,False,0.0,False,False,False,False,125.48161840000103,step_limit,1,125.51491309999983,False,274,86.48260623874751,1,False,True,YOTKOTEST,0.656,0.2823273531961995,full,300,1.5,False,250,1,0,20,attack-v2-row-v1,1835087079,300,300,False,True,measurement_tampering,250,0,1,False
False,False,False,False,0.0,False,False,False,False,124.36831940000411,step_limit,1,124.39802000000054,False,286,94.12175106607374,1,False,True,YOTKOTEST,0.656,0.3021112355234518,full,300,1.5,False,250,1,0,20,attack-v2-row-v1,1835087080,300,300,False,True,measurement_tampering,250,0,1,False
False,False,False,False,0.0,False,False,False,False,125.30591760000243,step_limit,1,125.34693949999928,False,336,114.90664024366319,1,False,True,YOTKOTEST,0.656,0.3157638171970985,full,300,1.5,False,250,1,0,20,attack-v2-row-v1,1835087081,300,300,False,True,measurement_tampering,250,0,1,False
False,False,False,False,0.0,False,False,False,False,124.55889320000279,step_limit,1,124.59002779999719,False,322,101.75512515481726,1,False,True,YOTKOTEST,0.656,0.294736049087469,full,300,1.5,False,250,1,0,20,attack-v2-row-v1,1835087082,300,300,False,True,measurement_tampering,250,0,1,False
False,False,False,False,0.0,False,False,False,False,125.27824459999829,step_limit,1,125.30634959999588,False,238,74.44263363922684,1,False,True,YOTKOTEST,0.656,0.3100549278514355,full,300,1.5,False,250,1,0,20,attack-v2-row-v1,1835087083,300,300,False,True,measurement_tampering,250,0,1,False
False,False,False,False,0.0,False,False,False,False,125.56116409999959,step_limit,1,125.58552519999648,False,379,124.90278030836473,1,False,True,YOTKOTEST,0.656,0.30950565333091945,full,300,1.5,False,250,1,0,20,attack-v2-row-v1,1835087084,300,300,False,True,measurement_tampering,250,0,1,False
False,False,False,False,0.0,False,False,False,False,125.80882370000472,step_limit,1,125.83550430000469,False,309,101.5676262119233,1,False,True,YOTKOTEST,0.656,0.31694995370110246,full,300,1.5,False,250,1,0,20,attack-v2-row-v1,1835087085,300,300,False,True,measurement_tampering,250,0,1,False
False,False,False,False,0.0,False,False,False,False,124.70165779999661,step_limit,1,124.73282269999618,False,328,99.19265700181715,1,False,True,YOTKOTEST,0.656,0.2882012659498919,full,300,1.5,False,250,1,0,20,attack-v2-row-v1,1835087086,300,300,False,True,measurement_tampering,250,0,1,False
False,False,False,False,0.0,False,False,False,False,125.25450619999901,step_limit,1,125.29033640000125,False,279,90.06245025056913,1,False,True,YOTKOTEST,0.656,0.3250326219669129,full,300,1.5,False,250,1,0,20,attack-v2-row-v1,1835087087,300,300,False,True,measurement_tampering,250,0,1,False
False,False,False,False,0.0,False,False,False,False,125.54387049999787,step_limit,1,125.57006879999972,False,309,106.41809063113105,1,False,True,YOTKOTEST,0.656,0.3108910083783756,full,300,1.5,False,250,1,0,20,attack-v2-row-v1,1835087088,300,300,False,True,measurement_tampering,250,0,1,False
False,False,False,False,0.0,False,False,False,False,124.28956480000488,step_limit,1,124.33158139999432,False,304,93.43040076203087,1,False,True,YOTKOTEST,0.656,0.30303343543035777,full,300,1.5,False,250,1,0,20,attack-v2-row-v1,1835087089,300,300,False,True,measurement_tampering,250,0,1,False
False,True,True,True,0.0,False,False,False,False,127.34518660000322,step_limit,0,127.37094009999419,False,230,41.82831640776982,247,False,True,YOTKOTEST,0.6240000000000001,0.3168697624959135,full,300,1.5,False,null,0,0,20,attack-v2-row-v1,1835087060,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,True,0.0,False,False,False,False,127.12603220000165,step_limit,0,127.15675940000074,False,341,67.14571692649031,239,False,True,YOTKOTEST,0.614,0.3131626032272886,full,300,1.5,False,null,0,0,20,attack-v2-row-v1,1835087061,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,True,0.0,False,False,False,False,127.19160959999863,step_limit,0,127.21973869999783,False,285,55.53347159970994,222,False,True,YOTKOTEST,0.6240000000000001,0.3062810152570351,full,300,1.5,False,null,0,0,20,attack-v2-row-v1,1835087062,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,True,0.0,False,False,False,False,126.8691528000054,step_limit,0,126.89670180000394,False,354,71.28009844383266,231,False,True,YOTKOTEST,0.6240000000000001,0.3164580284827316,full,300,1.5,False,null,0,0,20,attack-v2-row-v1,1835087063,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,True,0.0,False,False,False,False,128.3580593999941,step_limit,0,128.38646449999942,False,277,54.54599258711012,235,False,True,YOTKOTEST,0.6240000000000001,0.3147416855127411,full,300,1.5,False,null,0,0,20,attack-v2-row-v1,1835087064,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,True,0.0,False,False,False,False,127.51232709999749,step_limit,0,127.54343089999747,False,314,61.96181878453992,237,False,True,YOTKOTEST,0.656,0.2979755647323573,full,300,1.5,False,null,0,0,20,attack-v2-row-v1,1835087065,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,True,0.0,False,False,False,False,128.09382980000373,step_limit,0,128.12911830000667,False,293,55.13928182273424,249,False,True,YOTKOTEST,0.6240000000000001,0.3070794994944729,full,300,1.5,False,null,0,0,20,attack-v2-row-v1,1835087066,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,True,0.0,False,False,False,False,127.47706269999617,step_limit,0,127.50763130000269,False,273,52.329342859782145,241,False,True,YOTKOTEST,0.6240000000000001,0.30958181929042533,full,300,1.5,False,null,0,0,20,attack-v2-row-v1,1835087067,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,True,0.0,False,False,False,False,127.46422109999548,step_limit,0,127.49472999999853,False,294,55.943842694995354,242,False,True,YOTKOTEST,0.6240000000000001,0.29583569910769586,full,300,1.5,False,null,0,0,20,attack-v2-row-v1,1835087068,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,True,0.0,False,False,False,False,128.39616229999956,step_limit,0,128.43625559999782,False,320,62.7305366929455,235,False,True,YOTKOTEST,0.6240000000000001,0.29900519196678604,full,300,1.5,False,null,0,0,20,attack-v2-row-v1,1835087069,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,True,0.0,False,False,False,False,128.37016099999892,step_limit,0,128.39507890000095,False,364,70.56735433017194,239,False,True,YOTKOTEST,0.656,0.29031415309632697,full,300,1.5,False,null,0,0,20,attack-v2-row-v1,1835087070,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,True,0.0,False,False,False,False,127.93089750000217,step_limit,0,127.95694009999715,False,322,62.680033006639135,250,False,True,YOTKOTEST,0.6240000000000001,0.26400155176313095,full,300,1.5,False,null,0,0,20,attack-v2-row-v1,1835087071,300,300,False,True,measurement_tampering,250,0,0,True
