amplitude_factor,V,H_N,H_N_15_decimals,magnitude
1.0,0.023880224918499993,0.9361986410788192,0.936198641078819,0.950212931632136
0.8,0.015283343947839999,0.840806703174814,0.840806703174814,0.8533930378696498
0.5,0.005970056229624998,0.5198516036433289,0.519851603643329,0.5276334472589852
0.1,0.00023880224918499998,0.029118580066228635,0.029118580066229,0.029554466451491825
0.001,2.3880224918499987e-08,2.955749829169971e-06,0.000002955749829,2.9999955000044976e-06
0.0,0.0,0.0,0.000000000000000,0.0
