successor_capability,alpha,rr,seed,survived,final_population,final_ai_generation,final_active_capability,yield_fired,yield_fire_count,yield_eval_count,max_yield_margin,mean_yield_margin,final_theta_capability,final_transfer_state,final_avg_well_being,final_theta_tech_observed,final_runaway_term,expected_theta_tech,theta_relative_error,theta_below_floor,max_eval_runaway_term,min_eval_theta_tech,eval_observations_below_floor,extreme_eval_observations
1.5,1.0,0.057,8,False,12,2,1.5,True,1,500,0.26564417856860256,-5.533338096079043,0.6831630057649898,0.9618311477410735,0.8296888544662434,0.9856311868937726,0.0,0.9856311868937726,0.0,False,0.9270325229716878,0.1581246694257515,0,0
1.5,1.0,0.057,9,False,0,2,1.5,True,1,303,0.6613421779718216,-6.417184136012623,0.6308169874535832,0.9861323742189728,0.0,0.01,93.12254811803747,0.01,0.0,False,2.101340943953647,0.16130305832502678,0,0
1.5,1.0,0.057,18,False,0,2,1.5,True,1,370,0.4334201457614193,-5.62154959155938,0.6372959785777434,0.9789339637111047,0.0,0.01,94.09439678666152,0.01,0.0,False,1.6149911249163371,0.17210621629664402,0,0
1.5,1.0,0.057,19,False,0,2,1.5,True,1,338,1.8629026976037464,-5.673301827043813,0.6379162204181916,0.9656020171649556,0.0,0.01,94.18743306272874,0.01,0.0,False,1.1617543391108196,0.1779018175990761,0,0
1.5,1.0,0.057,12,False,0,3,2.25,True,2,379,2.033241122743324,-12.207064730627163,0.5768243158149721,0.9851796096797363,0.0,0.01,128.2854710583687,0.01,0.0,False,1.172363287220655,0.16535955827879187,0,0
1.5,1.0,0.057,13,False,24,2,1.5,True,1,500,2.348750584911197,-5.781639760256422,0.6801775702976041,0.9650837861984418,0.8260340277495679,0.9846425172451028,0.0,0.9846425172451028,0.0,False,0.8433548816272802,0.17044572152163318,0,0
1.5,1.0,0.057,0,False,0,2,1.5,True,1,313,0.015871376639693402,-5.555720837386445,0.6348511611982669,0.9802073785099498,0.0,0.01,93.72767417974002,0.01,0.0,False,0.9348975871623391,0.165414238800982,0,0
1.5,1.0,0.057,1,False,4,2,1.5,True,1,500,1.1109296956160941,-5.428191102245397,0.6881143230887029,0.9575191030695985,0.7767253577499048,0.9883239141798581,0.0,0.9883239141798581,0.0,False,0.8677884361957622,0.17369554169437296,0,0
1.5,1.0,0.057,6,False,0,2,1.5,True,1,361,0.7483644861283318,-5.9539386638774445,0.6562629255566852,0.8492567983012711,0.0,0.01,96.93943883350278,0.01,0.0,False,142.41430377803772,0.01,0,5
1.5,1.0,0.057,7,True,36,2,1.5,True,1,500,0.20723774758453484,-5.7624580101591265,0.6937169032009698,0.956779393975386,0.8755497336255151,0.9956010573526581,0.0,0.9956010573526581,0.0,False,0.8658646329397728,0.16547113411772657,0,0
1.5,1.0,0.057,2,False,0,2,1.5,True,1,417,1.3658168107630821,-5.729855670760767,0.5804987598299416,0.9786433517269333,0.0,0.01,85.57481397449124,0.01,0.0,False,2.2987940434875664,0.1291401452738404,0,0
1.5,1.0,0.057,3,False,0,3,2.25,True,2,420,1.937043260842278,-12.997993045304879,0.5673955089244144,0.9726476506589964,0.0,0.01,126.16398950799322,0.01,0.0,False,1.2579534648621205,0.16706161753953153,0,0
1.5,1.0,0.057,4,False,0,2,1.5,True,1,408,0.7807906583675441,-5.480450263145655,0.6397659775811481,0.9776441346586744,0.0,0.01,94.4648966371722,0.01,0.0,False,0.9416377018644391,0.1737880441412824,0,0
1.5,1.0,0.057,5,False,2,3,2.25,True,2,500,1.9427196872673118,-12.045883526574475,0.5822264222818785,0.9904387942478627,0.9619638592229124,1.297484180244249,0.0,1.297484180244249,0.0,False,1.1588072130740996,0.17235504227139023,0,0
1.5,1.0,0.057,14,False,0,3,2.25,True,2,462,1.6058730567544863,-11.637967157362922,0.5768285310509151,0.9925176539482092,0.0,0.01,128.2864194864559,0.01,0.0,False,2.2851462172568557,0.16845547362906158,0,0
1.5,1.0,0.057,15,False,4,3,2.25,True,2,500,0.7680063433151396,-12.32490796853901,0.5877487140293772,0.9808859012261792,0.9165659117174014,1.2971574608742755,0.0,1.2971574608742755,0.0,False,1.2415725912283442,0.16560578561327433,0,0
1.5,1.0,0.057,10,True,34,2,1.5,True,1,500,1.2578927551103662,-6.119603218381876,0.7227234205911751,0.9652334787615021,0.8116398749066177,1.0463952621594483,0.0,1.0463952621594483,0.0,False,0.8544542599643208,0.17160635503459662,0,0
1.5,1.0,0.057,11,False,25,2,1.5,True,1,500,0.12995929170952802,-5.751166157947231,0.6896894836020269,0.9475016123822291,0.8381179247730253,0.9802228466339811,0.0,0.9802228466339811,0.0,False,0.9892323798949598,0.16054902991270228,0,0
1.5,1.0,0.057,20,False,12,2,1.5,True,1,500,0.17601142294574412,-5.545117251987844,0.6894616888405718,0.961260581802584,0.8055306975503859,0.9941285162182203,0.0,0.9941285162182203,0.0,False,0.9178086424847813,0.17259687260108136,0,0
1.5,1.0,0.057,21,False,0,2,1.5,True,1,467,0.6129558023328214,-5.391195873320902,0.6033038140989113,0.9774839853000348,0.0,0.01,88.99557211483669,0.01,0.0,False,1.0046878094662954,0.16703005864002524,0,0
1.5,1.0,0.057,16,False,16,2,1.5,True,1,500,0.44288409617301383,-5.7118174095946035,0.7016829186657756,0.9492820989717136,0.8260866058922152,0.9991425507654685,0.0,0.9991425507654685,0.0,False,0.925040558692598,0.17547621230164853,0,0
1.5,1.0,0.057,17,False,0,2,1.5,True,1,476,0.9622021722257816,-5.318657075749366,0.6054786071974756,0.9908491753706907,0.0,0.01,89.32179107962133,0.01,0.0,False,1.9300056296229409,0.1798008826883818,0,0
1.5,1.0,0.057,22,False,0,2,1.5,True,1,281,0.34368212839705503,-5.7198305210654645,0.5930815112004492,0.9879630516274849,0.0,0.01,87.46222668006736,0.01,0.0,False,1.7507708477066113,0.17619610536121597,0,0
1.5,1.0,0.057,23,False,0,2,1.5,True,1,314,0.9038968509656171,-5.809543559389237,0.665174765453995,0.9787192768811729,0.0,0.01,98.27621481809925,0.01,0.0,False,0.8880514781019597,0.17289048403038212,0,0
1.5,1.0,0.06,7,False,0,2,1.5,True,1,328,1.0602245277399729,-5.976921900847144,0.6467948366461617,0.97066287732369,0.0,0.01,95.51922549692425,0.01,0.0,False,0.8315141409316431,0.1771613651632619,0,0
1.5,1.0,0.06,8,False,0,2,1.5,True,1,402,0.32179313726064596,-6.146751041866718,0.6105349524796029,0.9769464104317269,0.0,0.01,90.08024287194043,0.01,0.0,False,1.6332936179899513,0.1606821457409499,0,0
1.5,1.0,0.06,1,False,0,2,1.5,True,1,406,1.3886834032778426,-5.95318830496421,0.6748084208970503,0.9696939232049911,0.0,0.01,99.72126313455755,0.01,0.0,False,1.4377281471829328,0.16828071021515348,0,0
1.5,1.0,0.06,2,False,7,2,1.5,True,1,500,2.4158337540006767,-6.03208265632627,0.6847186064804383,0.9589337569372162,0.8467248784149692,0.9848996786356528,0.0,0.9848996786356528,0.0,False,0.8793893782313238,0.16238683104770119,0,0
1.5,1.0,0.057,24,False,0,2,1.5,True,1,490,1.6925482638775766,-5.585914698822824,0.6647559323650573,0.9655481354018622,0.0,0.01,98.21338985475859,0.01,0.0,False,0.8274598389036418,0.17734132449625292,0,0
1.5,1.0,0.06,0,False,16,2,1.5,True,1,500,0.08973240530642501,-6.3640065928064145,0.7006625058007353,0.9325683520863858,0.7917166802666522,0.9801235176049641,0.0,0.9801235176049641,0.0,False,0.9155606654552098,0.17531370855033132,0,0
1.5,1.0,0.06,3,False,2,3,2.25,True,2,500,1.1226028207181291,-12.821801880965065,0.5660599047982943,0.9975613849316952,0.8654225885075356,1.2705288808160025,0.0,1.2705288808160025,0.0,False,1.254777403458085,0.1622696042390076,0,0
1.5,1.0,0.06,4,False,0,3,2.25,True,2,430,0.9416453918797068,-13.526159161429867,0.5765484521948891,0.9863750010420478,0.0,0.01,128.22340174385005,0.01,0.0,False,1.1860155831074226,0.1775698996821038,0,0
1.5,1.0,0.06,5,False,12,2,1.5,True,1,500,1.2954866854689833,-5.660517481587153,0.6733271082966674,0.9768550411886291,0.7799214476759014,0.9866144701628424,0.0,0.9866144701628424,0.0,False,0.8378810613162009,0.16368588871061943,0,0
1.5,1.0,0.06,6,True,37,2,1.5,True,1,500,0.19668493258061526,-6.5244419258700415,0.6881392918991823,0.9622680260956337,0.806086542303169,0.99326165714201,0.0,0.99326165714201,0.0,False,0.9820323177985606,0.15612532153099806,0,0
1.5,1.0,0.06,15,False,6,2,1.5,True,1,500,1.2501532331594039,-5.869188493425987,0.6396781085334898,0.9693389894732096,0.6353418316882172,0.8776795535913,0.058007754703925274,0.8776795535913,0.0,False,0.9160435340328417,0.16308730223895776,0,0
1.5,1.0,0.06,16,False,0,3,2.25,True,2,364,0.1305669562805143,-14.568162016258267,0.58433409798618,0.9845613500290329,0.0,0.01,129.9751720468905,0.01,0.0,False,1.2859681602416124,0.16614123661490224,0,0
1.5,1.0,0.06,13,False,0,2,1.5,True,1,474,0.27060545760429333,-6.4653121051803275,0.6418753645142654,0.9900309173037126,0.0,0.01,94.78130467713981,0.01,0.0,False,0.9869685800533281,0.16182012204920915,0,0
1.5,1.0,0.06,14,False,3,2,1.5,True,1,500,0.2826365345707522,-5.859896073383357,0.6952751548672096,0.9721651855339808,0.648089069346356,0.8680563239673347,0.15528663469254522,0.8680563239673347,0.0,False,1.0594907046748392,0.17331918299706256,0,0
1.5,1.0,0.06,9,False,24,3,2.25,True,2,500,1.1206846613682901,-11.92129546779573,0.5911211660308582,0.9918587281828694,0.846406098407457,1.2125758327971352,0.08427447496000195,1.2125758327971352,0.0,False,1.2148158454379816,0.1677405274754509,0,0
1.5,1.0,0.06,10,False,14,2,1.5,True,1,500,1.7035809963035833,-5.990141029730714,0.7049692195576627,0.9696590144605232,0.7993935447409498,1.025369637991931,0.0,1.025369637991931,0.0,False,0.8051099124826959,0.1676395457684421,0,0
1.5,1.0,0.06,17,False,2,2,1.5,True,1,500,0.19449784483532717,-5.890085299640852,0.7141478844036158,0.9546590994928841,0.979410289009395,1.0226516643442563,0.0,1.0226516643442563,0.0,False,0.9760998832292427,0.15785837525410204,0,0
1.5,1.0,0.06,18,False,11,2,1.5,True,1,500,0.3268845177022932,-5.852002956943874,0.662422577485187,0.9473962177398334,0.8092793377800603,0.9413649666824068,0.0,0.9413649666824068,0.0,False,0.9059660693051534,0.15718333173770432,0,0
1.5,1.0,0.06,11,False,11,2,1.5,True,1,500,0.749783934149717,-5.962565225591377,0.6746548565672696,0.9595830506565248,0.829381889279227,0.9710810481075911,0.0,0.9710810481075911,0.0,False,0.9418283658671234,0.15987168272498442,0,0
