arm,seed,steps_completed,end_reason,extinct,t_star,t_star_minus_50,crossing_classification,entropy_deficit_sum,deficit_quantity
M1,1835086222,258,extinction,True,98,48,loud,1.516757671469445,before_crossing_inclusive
M1,1835086223,225,extinction,True,92,42,loud,1.174748501585247,before_crossing_inclusive
M1,1835086224,300,step_limit,False,88,38,loud,0.8901240043388936,before_crossing_inclusive
M1,1835086225,273,extinction,True,87,37,loud,0.6545483092147243,before_crossing_inclusive
M1,1835086226,234,extinction,True,84,34,loud,0.5657846659334151,before_crossing_inclusive
M1,1835086227,284,extinction,True,85,35,loud,0.9215803216767123,before_crossing_inclusive
M1,1835086228,261,extinction,True,71,21,loud,0.17321665160318145,before_crossing_inclusive
M1,1835086229,219,extinction,True,85,35,loud,0.4413496948734943,before_crossing_inclusive
M1,1835086230,209,extinction,True,83,33,loud,0.40655840434166945,before_crossing_inclusive
M1,1835086231,238,extinction,True,84,34,loud,0.4126662687858923,before_crossing_inclusive
M1,1835086232,234,extinction,True,83,33,loud,0.5732791584730059,before_crossing_inclusive
M1,1835086233,281,extinction,True,89,39,loud,0.9198352069501257,before_crossing_inclusive
M1,1835086234,244,extinction,True,85,35,loud,1.0394164735177887,before_crossing_inclusive
M1,1835086235,220,extinction,True,77,27,loud,0.3189658693964288,before_crossing_inclusive
M1,1835086236,222,extinction,True,94,44,loud,2.2118474124890124,before_crossing_inclusive
M1,1835086237,242,extinction,True,73,23,loud,0.41573351005936154,before_crossing_inclusive
M1,1835086238,279,extinction,True,76,26,loud,0.7096440414458768,before_crossing_inclusive
M2,1835086199,190,extinction,True,67,17,loud,0.3380029268016983,before_crossing_inclusive
M2,1835086200,260,extinction,True,66,16,loud,0.16490809190165068,before_crossing_inclusive
M2,1835086201,181,extinction,True,61,11,loud,0.09546802084459682,before_crossing_inclusive
M2,1835086202,199,extinction,True,72,22,loud,1.3941882274742436,before_crossing_inclusive
M2,1835086203,175,extinction,True,77,27,loud,2.3161870230188013,before_crossing_inclusive
M2,1835086204,232,extinction,True,76,26,loud,2.882539256425319,before_crossing_inclusive
M2,1835086205,229,extinction,True,68,18,loud,0.5509322544401437,before_crossing_inclusive
M2,1835086206,192,extinction,True,67,17,loud,0.9930526126426041,before_crossing_inclusive
M2,1835086207,215,extinction,True,71,21,loud,0.40570305611656476,before_crossing_inclusive
M2,1835086208,225,extinction,True,62,12,loud,0.057110250543326635,before_crossing_inclusive
M2,1835086209,180,extinction,True,70,20,loud,0.5111318268802774,before_crossing_inclusive
M2,1835086210,185,extinction,True,67,17,loud,0.4957169867370993,before_crossing_inclusive
M2,1835086211,249,extinction,True,77,27,loud,1.6440782281329311,before_crossing_inclusive
M2,1835086212,236,extinction,True,68,18,loud,0.3952621030457546,before_crossing_inclusive
M2,1835086213,200,extinction,True,68,18,loud,0.3165928253661582,before_crossing_inclusive
M2,1835086214,242,extinction,True,69,19,loud,0.6366343206457062,before_crossing_inclusive
M2,1835086215,247,extinction,True,60,10,loud,0.0639352981355088,before_crossing_inclusive
M2,1835086216,190,extinction,True,72,22,loud,1.1554133997258793,before_crossing_inclusive
M2,1835086217,230,extinction,True,72,22,loud,0.6230711987675205,before_crossing_inclusive
M2,1835086218,229,extinction,True,72,22,loud,1.2950525910465054,before_crossing_inclusive
M2,1835086219,188,extinction,True,72,22,loud,1.8907067491501266,before_crossing_inclusive
M2,1835086220,209,extinction,True,66,16,loud,0.13978845734269996,before_crossing_inclusive
M2,1835086221,191,extinction,True,62,12,loud,0.212959659091017,before_crossing_inclusive
M2,1835086222,232,extinction,True,73,23,loud,1.6001783480509195,before_crossing_inclusive
M2,1835086223,221,extinction,True,71,21,loud,0.6221951949841327,before_crossing_inclusive
M2,1835086224,227,extinction,True,74,24,loud,1.5920965274052699,before_crossing_inclusive
M2,1835086225,187,extinction,True,78,28,loud,1.898260503172661,before_crossing_inclusive
M2,1835086226,223,extinction,True,82,32,loud,3.0617685346401435,before_crossing_inclusive
M2,1835086227,222,extinction,True,78,28,loud,0.9719966739463844,before_crossing_inclusive
M2,1835086228,200,extinction,True,66,16,loud,0.5821469128112127,before_crossing_inclusive
M2,1835086229,264,extinction,True,72,22,loud,0.8160633030234316,before_crossing_inclusive
M2,1835086230,253,extinction,True,66,16,loud,0.2427699398841321,before_crossing_inclusive
M2,1835086231,220,extinction,True,67,17,loud,0.44623818489898714,before_crossing_inclusive
M2,1835086232,219,extinction,True,67,17,loud,0.4592538683166295,before_crossing_inclusive
M2,1835086233,232,extinction,True,63,13,loud,0.18338332537450364,before_crossing_inclusive
M2,1835086234,187,extinction,True,68,18,loud,0.8525631185379685,before_crossing_inclusive
M2,1835086235,194,extinction,True,67,17,loud,0.35472579368066115,before_crossing_inclusive
M2,1835086236,235,extinction,True,69,19,loud,0.496533217626415,before_crossing_inclusive
M2,1835086237,207,extinction,True,67,17,loud,0.34533297067061264,before_crossing_inclusive
M2,1835086238,231,extinction,True,83,33,loud,3.671738824433673,before_crossing_inclusive
M4,1835086199,194,extinction,True,65,15,loud,1.7248978272148996,before_crossing_inclusive
M4,1835086200,179,extinction,True,61,11,loud,0.2527848366265275,before_crossing_inclusive
M4,1835086201,221,extinction,True,60,10,loud,0.5039893830585986,before_crossing_inclusive
M4,1835086202,149,extinction,True,60,10,loud,0.45476333825012594,before_crossing_inclusive
M4,1835086203,185,extinction,True,58,8,loud,0.3841695264145618,before_crossing_inclusive
M4,1835086204,169,extinction,True,68,18,loud,2.2571732045070707,before_crossing_inclusive
M4,1835086205,140,extinction,True,60,10,loud,0.22887312186429432,before_crossing_inclusive
M4,1835086206,230,extinction,True,59,9,loud,0.3361168734347795,before_crossing_inclusive
M4,1835086207,184,extinction,True,70,20,loud,2.9100012249990406,before_crossing_inclusive
M4,1835086208,271,extinction,True,60,10,loud,0.4327136006780502,before_crossing_inclusive
M4,1835086209,179,extinction,True,65,15,loud,1.5181772800967686,before_crossing_inclusive
M4,1835086210,259,extinction,True,61,11,loud,0.7248423440836246,before_crossing_inclusive
M4,1835086211,189,extinction,True,60,10,loud,0.3592576499264032,before_crossing_inclusive
M4,1835086212,224,extinction,True,63,13,loud,1.1274389577134563,before_crossing_inclusive
M4,1835086213,199,extinction,True,57,7,loud,0.1538210116904194,before_crossing_inclusive
M4,1835086214,189,extinction,True,65,15,loud,2.025134113017821,before_crossing_inclusive
M4,1835086215,209,extinction,True,62,12,loud,0.7633338891186456,before_crossing_inclusive
M4,1835086216,186,extinction,True,65,15,loud,1.1488370559962235,before_crossing_inclusive
M4,1835086217,194,extinction,True,59,9,loud,0.39375257858282986,before_crossing_inclusive
M4,1835086218,200,extinction,True,66,16,loud,0.7319538949116969,before_crossing_inclusive
M4,1835086219,198,extinction,True,66,16,loud,1.032073799358951,before_crossing_inclusive
M4,1835086220,229,extinction,True,68,18,loud,1.8932997745160052,before_crossing_inclusive
M4,1835086221,208,extinction,True,64,14,loud,1.422032927383813,before_crossing_inclusive
M4,1835086222,264,extinction,True,63,13,loud,1.7080900221350324,before_crossing_inclusive
M4,1835086223,171,extinction,True,63,13,loud,0.7049136895084074,before_crossing_inclusive
M4,1835086224,266,extinction,True,63,13,loud,0.22848747341784892,before_crossing_inclusive
M4,1835086225,202,extinction,True,61,11,loud,0.24751668139614857,before_crossing_inclusive
M4,1835086226,244,extinction,True,66,16,loud,1.8721635483157752,before_crossing_inclusive
M4,1835086227,155,extinction,True,64,14,loud,0.718435503086379,before_crossing_inclusive
M4,1835086228,222,extinction,True,60,10,loud,0.3794366071101761,before_crossing_inclusive
M4,1835086229,156,extinction,True,62,12,loud,1.4286558663072233,before_crossing_inclusive
M4,1835086230,234,extinction,True,66,16,loud,0.5910907535782157,before_crossing_inclusive
M4,1835086231,131,extinction,True,63,13,loud,1.1628852027434011,before_crossing_inclusive
M4,1835086232,202,extinction,True,60,10,loud,0.27125545717866395,before_crossing_inclusive
M4,1835086233,176,extinction,True,64,14,loud,0.6486279305185576,before_crossing_inclusive
M4,1835086234,236,extinction,True,61,11,loud,0.3601639709069524,before_crossing_inclusive
M4,1835086235,183,extinction,True,64,14,loud,1.3534276368227174,before_crossing_inclusive
M4,1835086236,205,extinction,True,63,13,loud,0.8003585151488896,before_crossing_inclusive
M4,1835086237,194,extinction,True,66,16,loud,0.47890652944279066,before_crossing_inclusive
M4,1835086238,174,extinction,True,63,13,loud,1.3561433113623222,before_crossing_inclusive
R02,1835086199,300,step_limit,False,164,114,loud,0.19847687480368126,before_crossing_inclusive
R02,1835086200,300,step_limit,False,106,56,loud,0.1121858277458222,before_crossing_inclusive
R02,1835086201,300,step_limit,False,61,11,silent,0.02530551921458757,before_crossing_inclusive
R02,1835086202,300,step_limit,False,65,15,silent,0.006005619796593087,before_crossing_inclusive
R02,1835086203,300,step_limit,False,53,3,silent,0.006813932386764754,before_crossing_inclusive
R02,1835086204,300,step_limit,False,107,57,loud,0.37722647147726474,before_crossing_inclusive
R02,1835086205,300,step_limit,False,105,55,loud,0.21027987814628757,before_crossing_inclusive
R02,1835086206,300,step_limit,False,234,184,loud,0.7107031975914537,before_crossing_inclusive
