g_star_label,g_star,seed,longest_span
PRIMARY_2_0,1.0965735902799727,1835086300,0
SECONDARY_1_5,1.27031007207211,1835086300,0
SECONDARY_2_5,0.966516292749662,1835086300,77
PRIMARY_2_0,1.0965735902799727,1835086301,0
SECONDARY_1_5,1.27031007207211,1835086301,0
SECONDARY_2_5,0.966516292749662,1835086301,39
PRIMARY_2_0,1.0965735902799727,1835086302,6
SECONDARY_1_5,1.27031007207211,1835086302,0
SECONDARY_2_5,0.966516292749662,1835086302,75
PRIMARY_2_0,1.0965735902799727,1835086303,0
SECONDARY_1_5,1.27031007207211,1835086303,0
SECONDARY_2_5,0.966516292749662,1835086303,73
PRIMARY_2_0,1.0965735902799727,1835086304,1
SECONDARY_1_5,1.27031007207211,1835086304,0
SECONDARY_2_5,0.966516292749662,1835086304,52
PRIMARY_2_0,1.0965735902799727,1835086305,0
SECONDARY_1_5,1.27031007207211,1835086305,0
SECONDARY_2_5,0.966516292749662,1835086305,34
PRIMARY_2_0,1.0965735902799727,1835086306,0
SECONDARY_1_5,1.27031007207211,1835086306,0
SECONDARY_2_5,0.966516292749662,1835086306,73
PRIMARY_2_0,1.0965735902799727,1835086307,1
SECONDARY_1_5,1.27031007207211,1835086307,0
SECONDARY_2_5,0.966516292749662,1835086307,30
PRIMARY_2_0,1.0965735902799727,1835086308,0
SECONDARY_1_5,1.27031007207211,1835086308,0
SECONDARY_2_5,0.966516292749662,1835086308,39
PRIMARY_2_0,1.0965735902799727,1835086309,0
SECONDARY_1_5,1.27031007207211,1835086309,0
SECONDARY_2_5,0.966516292749662,1835086309,23
PRIMARY_2_0,1.0965735902799727,1835086310,0
SECONDARY_1_5,1.27031007207211,1835086310,0
SECONDARY_2_5,0.966516292749662,1835086310,24
PRIMARY_2_0,1.0965735902799727,1835086311,0
SECONDARY_1_5,1.27031007207211,1835086311,0
SECONDARY_2_5,0.966516292749662,1835086311,29
PRIMARY_2_0,1.0965735902799727,1835086312,0
SECONDARY_1_5,1.27031007207211,1835086312,0
SECONDARY_2_5,0.966516292749662,1835086312,35
PRIMARY_2_0,1.0965735902799727,1835086313,3
SECONDARY_1_5,1.27031007207211,1835086313,0
SECONDARY_2_5,0.966516292749662,1835086313,85
PRIMARY_2_0,1.0965735902799727,1835086314,0
SECONDARY_1_5,1.27031007207211,1835086314,0
SECONDARY_2_5,0.966516292749662,1835086314,23
PRIMARY_2_0,1.0965735902799727,1835086315,0
SECONDARY_1_5,1.27031007207211,1835086315,0
SECONDARY_2_5,0.966516292749662,1835086315,42
PRIMARY_2_0,1.0965735902799727,1835086316,0
SECONDARY_1_5,1.27031007207211,1835086316,0
SECONDARY_2_5,0.966516292749662,1835086316,27
PRIMARY_2_0,1.0965735902799727,1835086317,0
SECONDARY_1_5,1.27031007207211,1835086317,0
SECONDARY_2_5,0.966516292749662,1835086317,53
PRIMARY_2_0,1.0965735902799727,1835086318,2
SECONDARY_1_5,1.27031007207211,1835086318,0
SECONDARY_2_5,0.966516292749662,1835086318,44
PRIMARY_2_0,1.0965735902799727,1835086319,3
SECONDARY_1_5,1.27031007207211,1835086319,0
SECONDARY_2_5,0.966516292749662,1835086319,64
PRIMARY_2_0,1.0965735902799727,1835086320,4
SECONDARY_1_5,1.27031007207211,1835086320,0
SECONDARY_2_5,0.966516292749662,1835086320,70
PRIMARY_2_0,1.0965735902799727,1835086321,0
SECONDARY_1_5,1.27031007207211,1835086321,0
SECONDARY_2_5,0.966516292749662,1835086321,32
PRIMARY_2_0,1.0965735902799727,1835086322,1
SECONDARY_1_5,1.27031007207211,1835086322,0
SECONDARY_2_5,0.966516292749662,1835086322,35
PRIMARY_2_0,1.0965735902799727,1835086323,0
SECONDARY_1_5,1.27031007207211,1835086323,0
SECONDARY_2_5,0.966516292749662,1835086323,40
PRIMARY_2_0,1.0965735902799727,1835086324,0
SECONDARY_1_5,1.27031007207211,1835086324,0
SECONDARY_2_5,0.966516292749662,1835086324,20
PRIMARY_2_0,1.0965735902799727,1835086325,0
SECONDARY_1_5,1.27031007207211,1835086325,0
SECONDARY_2_5,0.966516292749662,1835086325,25
PRIMARY_2_0,1.0965735902799727,1835086326,0
SECONDARY_1_5,1.27031007207211,1835086326,0
SECONDARY_2_5,0.966516292749662,1835086326,45
PRIMARY_2_0,1.0965735902799727,1835086327,0
SECONDARY_1_5,1.27031007207211,1835086327,0
SECONDARY_2_5,0.966516292749662,1835086327,45
PRIMARY_2_0,1.0965735902799727,1835086328,0
SECONDARY_1_5,1.27031007207211,1835086328,0
SECONDARY_2_5,0.966516292749662,1835086328,43
PRIMARY_2_0,1.0965735902799727,1835086329,1
SECONDARY_1_5,1.27031007207211,1835086329,0
SECONDARY_2_5,0.966516292749662,1835086329,37
PRIMARY_2_0,1.0965735902799727,1835086330,0
SECONDARY_1_5,1.27031007207211,1835086330,0
SECONDARY_2_5,0.966516292749662,1835086330,51
PRIMARY_2_0,1.0965735902799727,1835086331,4
SECONDARY_1_5,1.27031007207211,1835086331,0
SECONDARY_2_5,0.966516292749662,1835086331,72
PRIMARY_2_0,1.0965735902799727,1835086332,0
SECONDARY_1_5,1.27031007207211,1835086332,0
SECONDARY_2_5,0.966516292749662,1835086332,44
PRIMARY_2_0,1.0965735902799727,1835086333,0
SECONDARY_1_5,1.27031007207211,1835086333,0
SECONDARY_2_5,0.966516292749662,1835086333,53
PRIMARY_2_0,1.0965735902799727,1835086334,1
SECONDARY_1_5,1.27031007207211,1835086334,0
SECONDARY_2_5,0.966516292749662,1835086334,94
PRIMARY_2_0,1.0965735902799727,1835086335,0
SECONDARY_1_5,1.27031007207211,1835086335,0
SECONDARY_2_5,0.966516292749662,1835086335,36
PRIMARY_2_0,1.0965735902799727,1835086336,0
SECONDARY_1_5,1.27031007207211,1835086336,0
SECONDARY_2_5,0.966516292749662,1835086336,22
PRIMARY_2_0,1.0965735902799727,1835086337,0
SECONDARY_1_5,1.27031007207211,1835086337,0
SECONDARY_2_5,0.966516292749662,1835086337,21
PRIMARY_2_0,1.0965735902799727,1835086338,0
SECONDARY_1_5,1.27031007207211,1835086338,0
SECONDARY_2_5,0.966516292749662,1835086338,17
PRIMARY_2_0,1.0965735902799727,1835086339,0
SECONDARY_1_5,1.27031007207211,1835086339,0
SECONDARY_2_5,0.966516292749662,1835086339,60
PRIMARY_2_0,1.0965735902799727,1835086340,1
SECONDARY_1_5,1.27031007207211,1835086340,0
SECONDARY_2_5,0.966516292749662,1835086340,65
