action_modified,attack_attempted,attack_succeeded,capture_rate,collapsed,contamination_occurred,defense_active,defense_fired,elapsed_seconds,extinct,final_population,final_u_sys_v2,integrity_tamper_attempted,is_v2_mode,machine,max_total_suppression,min_resilience_stock,mode,n_candidates_v2,parameter_capture_strength,parameter_defense_active,parameter_defense_mode,parameter_dependency_rate,parameter_rotation_interval,replicate,rollout_steps_v2,schema_version,seed,steps_completed,steps_requested,succession_blocked,survived,vector,yield_condition_blocked_count,yield_condition_met_count,yield_manipulated
False,False,False,0.0,False,False,False,False,0.022534199990332127,False,196,17.579041275665375,False,True,laptop,0.15600000000000003,0.32999999999999996,smoke,20,0.3,False,undefended,0.01,,0,1,attack-v2-row-v1,273497455,3,3,False,True,biological_veto_capture,0,0,False
False,False,False,0.0,False,False,False,False,0.022353499982273206,False,211,18.41933191484073,False,True,laptop,0.15600000000000003,0.32999999999999996,smoke,20,0.3,False,undefended,0.01,,1,1,attack-v2-row-v1,1037915680,3,3,False,True,biological_veto_capture,0,0,False
False,False,False,0.0,False,False,True,False,0.011648199986666441,False,208,18.240184898165474,False,True,laptop,0.15600000000000003,0.32999999999999996,smoke,20,0.5,True,rotation_only,0.02,10,0,1,attack-v2-row-v1,416206662,3,3,False,True,biological_veto_capture,0,0,False
False,False,False,0.0,False,False,True,False,0.011539600003743544,False,202,17.912107933094518,False,True,laptop,0.15600000000000003,0.32999999999999996,smoke,20,0.5,True,rotation_only,0.02,10,1,1,attack-v2-row-v1,2097352649,3,3,False,True,biological_veto_capture,0,0,False
