action_modified,attack_attempted,attack_succeeded,capture_rate,collapsed,contamination_occurred,defense_active,defense_fired,elapsed_seconds,extinct,final_population,final_u_sys_v2,integrity_tamper_attempted,is_v2_mode,machine,max_total_suppression,min_resilience_stock,mode,n_candidates_v2,parameter_attribution_check,parameter_defense_active,replicate,rollout_steps_v2,schema_version,seed,steps_completed,steps_requested,succession_blocked,survived,vector,yield_condition_blocked_count,yield_condition_met_count,yield_manipulated
True,True,True,0.0,False,False,False,False,0.020843600010266528,False,188,10.573240664989218,True,True,laptop,0.9,0.384,smoke,20,False,False,0,1,attack-v2-row-v1,1119782232,3,3,False,True,ledger_compromise,0,0,False
True,True,True,0.0,False,False,False,False,0.02041929998085834,False,192,10.71544022098604,True,True,laptop,0.9,0.384,smoke,20,False,False,1,1,attack-v2-row-v1,425085,3,3,False,True,ledger_compromise,0,0,False
False,True,False,0.0,False,False,True,True,0.010191499983193353,False,197,17.717108205833952,True,True,laptop,0.15600000000000003,0.32999999999999996,smoke,20,False,True,0,1,attack-v2-row-v1,1119782232,3,3,False,True,ledger_compromise,0,0,False
False,True,False,0.0,False,False,True,True,0.01039939999463968,False,204,18.090464168060414,True,True,laptop,0.15600000000000003,0.32999999999999996,smoke,20,False,True,1,1,attack-v2-row-v1,425085,3,3,False,True,ledger_compromise,0,0,False
