action_modified,attack_attempted,attack_succeeded,capture_rate,collapsed,contamination_occurred,defense_active,defense_fired,elapsed_seconds,evaluated_yield_opportunities,extinct,final_population,final_u_sys_v2,honest_yield_opportunities,integrity_tamper_attempted,is_v2_mode,machine,max_total_suppression,min_resilience_stock,mode,n_candidates_v2,parameter_attribution_check,parameter_defense_active,ratified_yields,replicate,rollout_steps_v2,schema_version,seed,steps_completed,steps_requested,succession_blocked,survived,vector,yield_checks,yield_condition_blocked_count,yield_condition_met_count,yield_manipulated
True,True,True,0.0,False,False,False,False,0.4382923000084702,0,False,176,8.716922063267505,0,True,True,laptop,0.9,0.384,timing,300,False,False,0,0,20,attack-v2-row-v1,1119782232,5,5,False,True,ledger_compromise,0,0,0,False
True,True,True,0.0,False,False,False,False,0.42911840000306256,0,False,177,8.837163937190786,0,True,True,laptop,0.9,0.384,timing,300,False,False,0,1,20,attack-v2-row-v1,425085,5,5,False,True,ledger_compromise,0,0,0,False
True,True,True,0.0,False,False,False,False,0.43726420000893995,0,False,180,8.85223408729941,0,True,True,laptop,0.9,0.384,timing,300,False,False,0,2,20,attack-v2-row-v1,184719326,5,5,False,True,ledger_compromise,0,0,0,False
False,True,False,0.0,False,False,True,True,0.41819179998128675,0,False,189,20.67172000197445,0,True,True,laptop,1.0,0.2982828420791044,timing,300,False,True,0,0,20,attack-v2-row-v1,1119782232,5,5,False,True,ledger_compromise,0,0,0,False
False,True,False,0.0,False,False,True,True,0.40103730000555515,0,False,218,23.38485343407217,0,True,True,laptop,1.0,0.3349368129884748,timing,300,False,True,0,1,20,attack-v2-row-v1,425085,5,5,False,True,ledger_compromise,0,0,0,False
False,True,False,0.0,False,False,True,True,0.41131709999172017,0,False,214,23.01980489358492,0,True,True,laptop,1.0,0.30548015239657894,timing,300,False,True,0,2,20,attack-v2-row-v1,184719326,5,5,False,True,ledger_compromise,0,0,0,False
