action_modified,attack_attempted,attack_succeeded,capture_rate,collapsed,contamination_occurred,defense_active,defense_fired,elapsed_seconds,extinct,final_population,final_u_sys_v2,integrity_tamper_attempted,is_v2_mode,machine,max_total_suppression,min_resilience_stock,mode,n_candidates_v2,parameter_defense_active,parameter_phi,replicate,rollout_steps_v2,schema_version,seed,steps_completed,steps_requested,succession_blocked,survived,vector,yield_condition_blocked_count,yield_condition_met_count,yield_manipulated
True,True,True,0.0,False,False,False,False,0.023051500000292435,False,195,12.222971832924518,False,True,laptop,0.9,0.32999999999999996,smoke,20,False,1.0,0,1,attack-v2-row-v1,590063962,3,3,False,True,bootstrap_subversion,0,0,False
True,True,True,0.0,False,False,False,False,0.021404300001449883,False,193,12.16476443011815,False,True,laptop,0.9,0.32999999999999996,smoke,20,False,1.0,1,1,attack-v2-row-v1,879171370,3,3,False,True,bootstrap_subversion,0,0,False
False,True,False,0.0,False,False,True,True,0.01011489998199977,False,197,17.522633539079347,False,True,laptop,0.15600000000000003,0.32999999999999996,smoke,20,True,1.0,0,1,attack-v2-row-v1,590063962,3,3,False,True,bootstrap_subversion,0,0,False
False,True,False,0.0,False,False,True,True,0.011692200001562014,False,200,17.626249064425394,False,True,laptop,0.15600000000000003,0.32999999999999996,smoke,20,True,1.0,1,1,attack-v2-row-v1,879171370,3,3,False,True,bootstrap_subversion,0,0,False
