alpha,successor_capability,phi,reproduction_rate,survived,collapsed,extinct,final_population,final_ai_generation,runaway_term_mean,runaway_term_max,final_avg_U_sys,final_avg_L_t
0.1,1.5,10.0,0.09,True,False,False,3124,147,0.040368908561369425,3.53292488728328,1.1170373427274008e+28,2.2340769215190054e+26
0.1,1.5,10.0,0.09,True,False,False,3202,132,0.04735512245617344,3.5517153997978284,2.5524857794985365e+25,5.104976668385325e+23
0.1,6.0,10.0,0.09,True,False,False,3064,80,0.48465310243549947,4.252559953840719,7.15359350089252e+16,1430720132301716.8
0.1,1.5,10.0,0.09,True,False,False,3176,128,0.04728704179807078,3.5728787282783623,5.053795129304584e+24,1.0107600376062684e+23
0.1,1.5,10.0,0.09,True,False,False,3083,133,0.02098021091431204,3.5643522247537716,3.817916524762458e+25,7.635840692662655e+23
0.1,6.0,10.0,0.09,True,False,False,3108,129,0.03926930338593699,4.624588749782494,3.0333752040831424e+25,6.066756480887172e+23
0.1,1.5,10.0,0.09,True,False,False,3103,141,0.0272502904521183,3.5444384910051685,9.821961133259052e+26,1.9643941931176104e+25
0.1,1.5,10.0,0.09,True,False,False,3308,133,0.02730648945446587,3.530284663403301,3.8507622481628143e+25,7.70153220439534e+23
0.1,1.5,10.0,0.09,True,False,False,3167,130,0.03337620457857279,3.5046842023007034,1.1360230814993399e+25,2.272048437208119e+23
0.1,1.5,10.0,0.09,True,False,False,3119,124,0.02720533384172778,3.5207717580970472,9.994425282566775e+23,1.998887057375021e+22
0.1,6.0,10.0,0.09,True,False,False,3158,135,0.02453612496998358,2.783702141644315,3.452286503383864e+26,6.90457991781616e+24
0.1,6.0,10.0,0.09,True,False,False,2989,112,0.03073680739549373,4.732305870943504,3.05707818558693e+22,6.114162491370486e+20
0.1,1.5,10.0,0.09,True,False,False,3071,119,0.03401905996914093,3.5338065035251374,1.3091963315504146e+23,2.618395284470627e+21
0.1,1.5,10.0,0.09,True,False,False,3171,124,0.033673174365278356,3.515286976038225,9.977763694876266e+23,1.9955547365541956e+22
0.1,6.0,10.0,0.09,True,False,False,3156,118,0.015309234271229337,2.769363855534147,3.497413343901171e+23,6.994833689207504e+21
0.1,6.0,10.0,0.09,True,False,False,3215,111,0.23461892423256506,4.192790950452854,2.0445217771490864e+22,4.089047647512917e+20
0.1,6.0,10.0,0.09,True,False,False,3039,124,0.05562214064283794,4.542564917470233,3.984430752805731e+24,7.968869481584058e+22
0.1,6.0,10.0,0.09,True,False,False,3137,120,0.03211118639347472,2.663675084325271,7.891014638671767e+23,1.5782045074330206e+22
0.1,6.0,10.0,0.09,True,False,False,3121,117,0.03924521470212898,4.681701040177349,2.3283835834176508e+23,4.656771827850905e+21
0.1,12.0,10.0,0.09,True,False,False,3079,113,0.08900236524268643,3.7235131914221933,9.217244117637227e+22,1.8434506688165758e+21
0.1,12.0,10.0,0.09,True,False,False,3083,120,0.0949874524815412,3.7412946961860856,1.5720532244466953e+24,3.1441095957857167e+22
0.1,12.0,10.0,0.09,True,False,False,3130,111,0.08843641968087627,3.7040423797485555,4.0785502925652385e+22,8.157108749002584e+20
0.1,12.0,10.0,0.09,True,False,False,3045,131,0.1465180984182585,3.744791615118838,1.3566751069790766e+26,2.7133529298046866e+24
