action_modified,attack_attempted,attack_succeeded,capture_rate,collapsed,contamination_occurred,defense_active,defense_fired,elapsed_seconds,extinct,final_population,final_u_sys_v2,integrity_tamper_attempted,is_v2_mode,machine,max_total_suppression,min_resilience_stock,mode,n_candidates_v2,parameter_base_transition_cost,parameter_defense_active,replicate,rollout_steps_v2,schema_version,seed,steps_completed,steps_requested,succession_blocked,survived,vector,yield_condition_blocked_count,yield_condition_met_count,yield_manipulated
True,True,True,0.0,False,False,False,False,0.02137520001269877,False,205,18.098084004482878,False,True,laptop,0.17550000000000002,0.33,smoke,20,1.5,False,0,1,attack-v2-row-v1,478829044,3,3,False,True,successor_contamination,0,0,True
True,True,True,0.0,False,False,False,False,0.02093520000926219,False,195,17.44701644382771,False,True,laptop,0.17550000000000002,0.33,smoke,20,1.5,False,1,1,attack-v2-row-v1,2141505622,3,3,False,True,successor_contamination,0,0,True
False,False,False,0.0,False,False,True,False,0.013491000019712374,False,205,18.143493255702843,False,True,laptop,0.15600000000000003,0.32999999999999996,smoke,20,1.5,True,0,1,attack-v2-row-v1,478829044,3,3,False,True,successor_contamination,0,0,False
False,False,False,0.0,False,False,True,False,0.01314319999073632,False,195,17.49017711918664,False,True,laptop,0.15600000000000003,0.32999999999999996,smoke,20,1.5,True,1,1,attack-v2-row-v1,2141505622,3,3,False,True,successor_contamination,0,0,False
