action_modified,attack_attempted,attack_succeeded,capture_rate,collapsed,contamination_occurred,defense_active,defense_fired,elapsed_seconds,evaluated_yield_opportunities,extinct,final_population,final_u_sys_v2,honest_yield_opportunities,integrity_tamper_attempted,is_v2_mode,machine,max_total_suppression,min_resilience_stock,mode,n_candidates_v2,parameter_defense_active,parameter_shock_magnitude,ratified_yields,replicate,rollout_steps_v2,schema_version,seed,steps_completed,steps_requested,succession_blocked,survived,vector,yield_checks,yield_condition_blocked_count,yield_condition_met_count,yield_manipulated
True,True,True,0.0,False,False,False,False,71.2382097998634,0,False,314,70.94233859001098,0,False,True,linux,1.0,0.1685339898329224,full,300,False,0.15,0,7,20,attack-v2-row-v1,718515065,200,200,False,True,engineered_fragility,0,0,0,False
True,True,True,0.0,False,False,False,False,71.14998344983906,0,False,253,60.47676977581212,0,False,True,linux,1.0,0.15805474336937733,full,300,False,0.2,0,7,20,attack-v2-row-v1,893476735,200,200,False,True,engineered_fragility,0,0,0,False
True,True,True,0.0,False,False,False,False,70.95211667800322,0,False,322,72.82587049953057,0,False,True,linux,1.0,0.17904516955116662,full,300,False,0.1,0,7,20,attack-v2-row-v1,1684041766,200,200,False,True,engineered_fragility,0,0,0,False
True,True,True,0.0,False,False,False,False,72.11632766202092,0,False,285,63.94621610267607,0,False,True,linux,1.0,0.15805522549107145,full,300,False,0.2,0,8,20,attack-v2-row-v1,348224418,200,200,False,True,engineered_fragility,0,0,0,False
True,True,True,0.0,False,False,False,False,71.19578059343621,0,False,311,69.87883242640751,0,False,True,linux,1.0,0.1790558978997983,full,300,False,0.1,0,8,20,attack-v2-row-v1,1599077115,200,200,False,True,engineered_fragility,0,0,0,False
True,True,True,0.0,False,False,False,False,72.14030449604616,0,False,272,60.03500538852298,0,False,True,linux,1.0,0.16853890830684837,full,300,False,0.15,0,8,20,attack-v2-row-v1,1713406564,200,200,False,True,engineered_fragility,0,0,0,False
True,True,True,0.0,False,False,False,False,72.45951129263267,0,False,235,55.33307253659027,0,False,True,linux,1.0,0.15805453264379604,full,300,False,0.2,0,9,20,attack-v2-row-v1,943550915,200,200,False,True,engineered_fragility,0,0,0,False
True,True,True,0.0,False,False,False,False,71.824311691802,0,False,315,72.41021067009038,0,False,True,linux,1.0,0.1685513370079919,full,300,False,0.15,0,9,20,attack-v2-row-v1,1000890234,200,200,False,True,engineered_fragility,0,0,0,False
True,True,True,0.0,False,False,False,False,72.08759929286316,0,False,280,66.54349429238714,0,False,True,linux,1.0,0.17906913557080015,full,300,False,0.1,0,9,20,attack-v2-row-v1,1566096550,200,200,False,True,engineered_fragility,0,0,0,False
True,True,True,0.0,False,False,False,False,71.27364969812334,0,False,299,68.1307701726568,0,False,True,linux,1.0,0.15804824176282384,full,300,False,0.2,0,10,20,attack-v2-row-v1,1580223374,200,200,False,True,engineered_fragility,0,0,0,False
True,True,True,0.0,False,False,False,False,72.8745981650427,0,False,287,67.74952082590127,0,False,True,linux,1.0,0.16855922392146805,full,300,False,0.15,0,10,20,attack-v2-row-v1,1595780237,200,200,False,True,engineered_fragility,0,0,0,False
