action_modified,attack_attempted,attack_succeeded,capture_rate,collapsed,contamination_occurred,defense_active,defense_fired,elapsed_seconds,evaluated_yield_opportunities,extinct,final_population,final_u_sys_v2,honest_yield_opportunities,integrity_tamper_attempted,is_v2_mode,machine,max_total_suppression,min_resilience_stock,mode,n_candidates_v2,parameter_defense_active,parameter_phi,ratified_yields,replicate,rollout_steps_v2,schema_version,seed,steps_completed,steps_requested,succession_blocked,survived,vector,yield_checks,yield_condition_blocked_count,yield_condition_met_count,yield_manipulated
True,True,True,0.0,True,False,False,False,38.987282935064286,0,True,0,2.7753837884561467,0,False,True,linux,1.0,0.3217106039937967,full,300,False,10.0,0,4,20,attack-v2-row-v1,585278858,107,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,35.21945318905637,0,True,0,3.0062241728247923,0,False,True,linux,1.0,0.3277885622245267,full,300,False,1.0,0,4,20,attack-v2-row-v1,863647758,99,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,41.837982156313956,0,True,0,2.562298344806112,0,False,True,linux,1.0,0.3224485670839338,full,300,False,15.0,0,4,20,attack-v2-row-v1,1387201085,115,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,39.571502240840346,0,True,0,2.7478064862681686,0,False,True,linux,1.0,0.30636097058730893,full,300,False,25.0,0,4,20,attack-v2-row-v1,1457168317,108,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,35.74464431917295,0,True,0,3.066880919516499,0,False,True,linux,1.0,0.3017161612936487,full,300,False,25.0,0,5,20,attack-v2-row-v1,770287798,97,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,44.28983158618212,0,True,0,2.4133073862020864,0,False,True,linux,1.0,0.308477218012884,full,300,False,10.0,0,5,20,attack-v2-row-v1,898068527,121,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,39.74021087773144,0,True,0,2.7206717905412625,0,False,True,linux,1.0,0.32304126163234065,full,300,False,15.0,0,5,20,attack-v2-row-v1,1393807682,109,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,34.92239725869149,0,True,0,3.0062249158628727,0,False,True,linux,1.0,0.30642395232600145,full,300,False,5.0,0,5,20,attack-v2-row-v1,1836345950,99,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,37.993935376405716,0,True,0,2.775384126310826,0,False,True,linux,1.0,0.310558450204115,full,300,False,1.0,0,5,20,attack-v2-row-v1,1908179909,107,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,37.858111599925905,0,True,0,2.85979105578493,0,False,True,linux,1.0,0.29761216215584096,full,300,False,25.0,0,6,20,attack-v2-row-v1,612331660,104,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,35.51640761829913,0,True,0,2.97634842771562,0,False,True,linux,1.0,0.318970324417735,full,300,False,1.0,0,6,20,attack-v2-row-v1,920700001,100,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,38.900674684904516,0,True,0,2.7753840775757297,0,False,True,linux,1.0,0.32999999999999996,full,300,False,5.0,0,6,20,attack-v2-row-v1,1439233918,107,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,42.14668370690197,0,True,0,2.536841672740707,0,False,True,linux,1.0,0.2894568346884399,full,300,False,15.0,0,6,20,attack-v2-row-v1,1899064421,116,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,39.644127862062305,0,True,0,2.6934726806174996,0,False,True,linux,1.0,0.3126508414158052,full,300,False,10.0,0,6,20,attack-v2-row-v1,2123948916,110,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,36.0833625420928,0,True,0,3.0365877428609562,0,False,True,linux,1.0,0.30073637556982896,full,300,False,10.0,0,7,20,attack-v2-row-v1,440611321,98,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,36.91958393109962,0,True,0,2.9174869759507946,0,False,True,linux,1.0,0.28796904897735903,full,300,False,5.0,0,7,20,attack-v2-row-v1,463793179,102,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,37.83669409528375,0,True,0,2.8032395178003107,0,False,True,linux,1.0,0.32434246232698166,full,300,False,15.0,0,7,20,attack-v2-row-v1,477328100,106,300,False,False,bootstrap_subversion,0,0,0,False
